Charity,Food Moved KG,Year,eatwellcatagory_name,member_id
Acorns,912.41,2022,"Beans, pulses, fish, eggs, meat and other proteins",3147
Acorns,722.2,2022,Dairy and alternatives,3147
Acorns,785.69,2022,Eat less often and in small amounts,3147
Acorns,2087.88,2022,Fruit and vegetables,3147
Acorns,579.7,2022,Not Applicable,3147
Acorns,6,2022,Oil & Spreads,3147
Acorns,1169.28,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",3147
AfroLatino Café,34.275,2022,"Beans, pulses, fish, eggs, meat and other proteins",4921
AfroLatino Café,32.4,2022,Dairy and alternatives,4921
AfroLatino Café,24.2,2022,Eat less often and in small amounts,4921
AfroLatino Café,87.5,2022,Fruit and vegetables,4921
AfroLatino Café,21,2022,Not Applicable,4921
AfroLatino Café,46.3,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",4921
Allerton Bywater Primary School,421.6,2022,"Beans, pulses, fish, eggs, meat and other proteins",3376
Allerton Bywater Primary School,562.9,2022,Dairy and alternatives,3376
Allerton Bywater Primary School,750.89,2022,Eat less often and in small amounts,3376
Allerton Bywater Primary School,1602.66,2022,Fruit and vegetables,3376
Allerton Bywater Primary School,355.6,2022,Not Applicable,3376
Allerton Bywater Primary School,3,2022,Oil & Spreads,3376
Allerton Bywater Primary School,1149.18,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",3376
Allerton C of E Primary,574.66,2022,"Beans, pulses, fish, eggs, meat and other proteins",5524
Allerton C of E Primary,601.8,2022,Dairy and alternatives,5524
Allerton C of E Primary,681.93,2022,Eat less often and in small amounts,5524
Allerton C of E Primary,1762.69,2022,Fruit and vegetables,5524
Allerton C of E Primary,439.05,2022,Not Applicable,5524
Allerton C of E Primary,15,2022,Oil & Spreads,5524
Allerton C of E Primary,825,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",5524
Barkerend Primary Academy (Foodbank),127.5,2022,"Beans, pulses, fish, eggs, meat and other proteins",6920
Barkerend Primary Academy (Foodbank),334.3,2022,Dairy and alternatives,6920
Barkerend Primary Academy (Foodbank),543.12,2022,Eat less often and in small amounts,6920
Barkerend Primary Academy (Foodbank),1742,2022,Fruit and vegetables,6920
Barkerend Primary Academy (Foodbank),460.2,2022,Not Applicable,6920
Barkerend Primary Academy (Foodbank),734.1,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",6920
Batley Care and Drop In (RC),740.3,2022,"Beans, pulses, fish, eggs, meat and other proteins",934
Batley Care and Drop In (RC),482.2,2022,Dairy and alternatives,934
Batley Care and Drop In (RC),974.65,2022,Eat less often and in small amounts,934
Batley Care and Drop In (RC),1976.8,2022,Fruit and vegetables,934
Batley Care and Drop In (RC),600.2,2022,Not Applicable,934
Batley Care and Drop In (RC),12,2022,Oil & Spreads,934
Batley Care and Drop In (RC),1086.05,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",934
Batley Drop In (SRC),896.83,2022,"Beans, pulses, fish, eggs, meat and other proteins",3906
Batley Drop In (SRC),780.07,2022,Dairy and alternatives,3906
Batley Drop In (SRC),802.44,2022,Eat less often and in small amounts,3906
Batley Drop In (SRC),2349.74,2022,Fruit and vegetables,3906
Batley Drop In (SRC),513.9,2022,Not Applicable,3906
Batley Drop In (SRC),6,2022,Oil & Spreads,3906
