date,geography,geography code,Disability: Disabled under the Equality Act: Day-to-day activities limited a lot,Disability: Disabled under the Equality Act: Day-to-day activities limited a little,Disability: Not disabled under the Equality Act
2021,North East,E12000001,9.8,11.4,78.8
2021,North West,E12000002,9.1,10.7,80.2
2021,Yorkshire and The Humber,E12000003,8.2,10.7,81.1
2021,East Midlands,E12000004,7.7,10.7,81.6
2021,West Midlands,E12000005,8.0,10.4,81.5
2021,East,E12000006,6.6,10.0,83.4
2021,London,E12000007,7.1,8.5,84.3
2021,South East,E12000008,6.2,9.9,83.9
2021,South West,E12000009,7.0,10.8,82.2
2021,Wales,W92000004,10.0,11.1,78.9
