date,geography,geography code,Distance travelled to work: Total: All usual residents aged 16 years and over in employment the week before the census,Distance travelled to work: Less than 2km,Distance travelled to work: 2km to less than 5km,Distance travelled to work: 5km to less than 10km,Distance travelled to work: 10km to less than 20km,Distance travelled to work: 20km to less than 30km,Distance travelled to work: 30km to less than 40km,Distance travelled to work: 40km to less than 60km,Distance travelled to work: 60km and over,Distance travelled to work: Works mainly from home,"Distance travelled to work: Works mainly at an offshore installation, in no fixed place, or outside the UK"
2021,Hartlepool,E06000001,37749,5891,7286,3159,5623,1779,575,363,711,6570,5792
2021,Middlesbrough,E06000002,56434,7933,13055,9102,3755,1427,833,676,1069,9478,9106
2021,Redcar and Cleveland,E06000003,55621,5697,6555,9153,9990,1906,1002,814,1251,10019,9234
2021,Stockton-on-Tees,E06000004,86443,9414,14069,16003,9943,2085,1097,1208,1561,18809,12254
2021,Darlington,E06000005,49297,8070,9043,3522,4531,3828,524,737,850,11962,6230
2021,Halton,E06000006,58706,7083,9500,8189,7133,2431,1118,329,605,14548,7770
2021,Warrington,E06000007,103191,10064,17211,12283,9141,5962,1759,505,952,32647,12667
2021,Blackburn with Darwen,E06000008,63558,11599,12471,6232,7746,2238,1191,475,551,12388,8667
2021,Blackpool,E06000009,59362,11208,13447,6795,2456,1705,539,497,828,12013,9874
2021,"Kingston upon Hull, City of",E06000010,117789,17927,32635,21377,6446,2763,1549,1470,1901,15534,16187
2021,East Riding of Yorkshire,E06000011,156121,17912,13051,17313,22337,10386,5925,4593,3450,38568,22586
2021,North East Lincolnshire,E06000012,68849,11295,17800,8712,5179,1997,1220,742,1233,9605,11066
2021,North Lincolnshire,E06000013,76223,10651,13554,8429,9924,4503,2521,1411,1256,13277,10697
2021,York,E06000014,96199,14433,17389,7608,3706,2245,2114,1786,1492,34159,11267
2021,Derby,E06000015,116202,16294,24874,12138,12679,4400,1202,1369,1482,27260,14504
2021,Leicester,E06000016,154934,29065,36598,18539,9819,5286,3555,1818,2399,29530,18325
2021,Rutland,E06000017,18784,2718,818,1582,2008,1210,657,403,412,6404,2572
2021,Nottingham,E06000018,128867,17317,27092,17441,7857,3604,1342,761,2717,32915,17821
2021,"Herefordshire, County of",E06000019,88511,13123,10006,7757,9945,5139,1993,1608,2112,22618,14210
2021,Telford and Wrekin,E06000020,85497,9829,15548,12318,6781,4567,1880,1461,1426,20430,11257
2021,Stoke-on-Trent,E06000021,112580,15678,25099,21545,8558,3706,961,1502,1581,17161,16789
2021,Bath and North East Somerset,E06000022,89812,11461,9827,6889,10850,2385,480,600,1154,34611,11555
2021,"Bristol, City of",E06000023,238510,30808,42525,25277,11434,1827,1514,1730,2561,92026,28808
2021,North Somerset,E06000024,102702,12386,9580,9107,13035,6532,2206,820,1178,33466,14392
2021,South Gloucestershire,E06000025,147610,14084,15483,22949,15231,2614,1205,1273,1464,52349,20958
2021,Plymouth,E06000026,121021,17167,27786,21082,4302,1004,1036,1761,2696,25656,18531
2021,Torbay,E06000027,58938,11133,8196,8816,3530,1551,1088,526,826,12155,11117
2021,Swindon,E06000030,117869,13011,22630,15402,4584,3227,1882,2920,2189,36022,16002
2021,Peterborough,E06000031,100969,13340,19954,13349,4409,5347,1817,1788,2265,24747,13953
2021,Luton,E06000032,98721,13850,15685,8685,8561,5530,2184,3598,1079,21199,18350
2021,Southend-on-Sea,E06000033,83259,12254,11712,6508,3882,2400,1220,3401,1084,27823,12975
2021,Thurrock,E06000034,85951,7684,10781,8784,10527,6274,3334,887,743,21081,15856
2021,Medway,E06000035,132606,13333,16797,12668,13080,5844,3682,5450,1541,34466,25745
2021,Bracknell Forest,E06000036,66401,5819,6347,6070,7146,2908,875,848,518,26512,9358
2021,West Berkshire,E06000037,82307,7924,7772,7206,7284,3408,1463,1271,1169,33988,10822
2021,Reading,E06000038,88865,12647,13238,5772,4577,3044,1098,1475,1228,34950,10836
2021,Slough,E06000039,73700,9229,10683,8247,7376,3085,1419,619,647,19976,12419
2021,Windsor and Maidenhead,E06000040,76302,6537,5780,6473,6790,2373,1393,979,536,36565,8876
2021,Wokingham,E06000041,89467,5384,7928,8932,6154,2912,1152,1378,673,45352,9602
2021,Milton Keynes,E06000042,143379,12543,22581,21221,6978,4506,1457,1820,3438,52198,16637
2021,Brighton and Hove,E06000043,139293,19822,19503,7872,6569,2111,1988,908,2807,59495,18218
2021,Portsmouth,E06000044,97787,16450,16986,11347,4494,3760,1076,730,1861,24315,16768
2021,Southampton,E06000045,118227,18254,21608,14393,6150,2259,1511,1193,1857,30282,20720
2021,Isle of Wight,E06000046,57910,10045,5472,8772,8456,810,215,479,782,12922,9957
2021,County Durham,E06000047,222216,22726,21150,26460,37877,17289,6310,2178,3280,53014,31932
2021,Cheshire East,E06000049,192487,22189,18936,18057,23236,9793,4943,2766,2257,67827,22483
2021,Cheshire West and Chester,E06000050,169088,18552,18110,18546,20348,11155,4243,2421,2141,53184,20388
2021,Shropshire,E06000051,152423,19254,13148,11755,16975,12384,5287,4854,3947,41525,23294
2021,Cornwall,E06000052,254245,33604,22542,23409,32388,13148,6075,6157,8463,62832,45627
2021,Isles of Scilly,E06000053,1114,311,32,9,0,0,0,13,216,322,211
2021,Wiltshire,E06000054,252343,29517,18751,22318,28376,11760,8488,6689,5146,85967,35331
2021,Bedford,E06000055,90864,10705,13721,6940,8223,5287,1577,1312,2195,28568,12336
2021,Central Bedfordshire,E06000056,151077,13038,10108,12142,19692,9078,4511,4655,2345,52153,23355
2021,Northumberland,E06000057,140777,15804,9758,14851,20726,8955,4064,3356,3755,38430,21078
2021,"Bournemouth, Christchurch and Poole",E06000058,186032,23231,33408,24931,11865,1925,2079,2012,2659,55150,28772
2021,Dorset,E06000059,167777,20688,13127,16944,18176,8677,6296,4856,3641,47397,27975
2021,Buckinghamshire,E06000060,273236,22831,20522,20961,25735,15610,8216,7128,2716,112181,37336
2021,North Northamptonshire,E06000061,178855,21942,23847,19142,25585,10935,4402,2569,3301,42162,24970
2021,West Northamptonshire,E06000062,215994,22493,31168,24198,20405,12442,4758,3351,4250,62832,30097
2021,Cambridge,E07000008,70598,10723,12729,3283,2145,1157,542,1179,1298,32113,5429
2021,East Cambridgeshire,E07000009,44695,3450,2123,4614,5692,4427,1356,571,690,15606,6166
2021,Fenland,E07000010,47105,7230,4130,3695,6212,4581,1863,1050,960,9463,7921
2021,Huntingdonshire,E07000011,91391,9964,6300,6948,10982,6581,2695,1762,2057,31900,12202
2021,South Cambridgeshire,E07000012,82267,4121,5984,9504,11469,2855,1181,1088,1343,36046,8676
2021,Allerdale,E07000026,44236,5985,3411,3677,5773,4863,1675,1354,646,10757,6095
2021,Barrow-in-Furness,E07000027,31185,8054,7550,3033,1341,382,655,202,442,6051,3475
2021,Carlisle,E07000028,52950,10225,11049,5106,3934,1684,915,883,1208,10187,7759
2021,Copeland,E07000029,30571,3291,3202,3735,6651,1049,359,839,526,7778,3141
2021,Eden,E07000030,27336,3851,1402,2182,2921,1942,1192,713,576,7682,4875
2021,South Lakeland,E07000031,50137,7928,3973,3835,6965,2847,1361,729,1012,13692,7795
2021,Amber Valley,E07000032,60170,6638,6676,8061,10542,2649,636,479,770,15225,8494
2021,Bolsover,E07000033,38100,4217,3700,6307,6866,2310,941,590,584,6884,5701
2021,Chesterfield,E07000034,47533,6470,8903,5350,5687,1321,956,520,584,10772,6970
2021,Derbyshire Dales,E07000035,33227,3375,2077,2675,4481,2451,949,516,412,11376,4915
2021,Erewash,E07000036,54967,6615,6097,9316,8664,1397,502,372,608,13607,7789
2021,High Peak,E07000037,44614,6841,3637,4112,6135,2607,963,580,492,12973,6274
2021,North East Derbyshire,E07000038,46563,3502,4782,8036,7376,2182,765,622,611,11576,7111
2021,South Derbyshire,E07000039,53905,4480,5078,8835,7825,2510,1634,1164,744,14903,6732
2021,East Devon,E07000040,66727,7615,4981,6794,9873,3355,1484,678,1382,19757,10808
2021,Exeter,E07000041,59700,11839,12314,3274,2390,1503,448,773,1101,18285,7773
2021,Mid Devon,E07000042,40282,5134,2006,3487,5767,3241,792,853,642,11963,6397
2021,North Devon,E07000043,45165,8004,4983,4355,5833,1411,498,706,932,10957,7486
2021,South Hams,E07000044,40584,3936,2710,3802,5273,2097,1011,516,635,13451,7153
2021,Teignbridge,E07000045,62136,6660,5689,7532,8666,3248,911,863,892,17497,10178
2021,Torridge,E07000046,30054,3576,2405,2227,5108,1650,593,460,713,7776,5546
2021,West Devon,E07000047,25385,2914,909,2238,2888,1471,1187,933,413,7973,4459
2021,Eastbourne,E07000061,43831,8250,9192,2009,2585,2047,861,491,764,10125,7507
2021,Hastings,E07000062,40899,6476,8006,2744,1450,1552,675,514,801,10943,7738
2021,Lewes,E07000063,44505,4403,2684,4137,6689,1654,628,519,724,15713,7354
2021,Rother,E07000064,37934,3600,2554,4167,4291,1573,743,612,838,12306,7250
2021,Wealden,E07000065,74541,5622,4654,6546,9438,4818,1783,1329,1018,26043,13290
2021,Basildon,E07000066,89012,8912,9992,8179,8729,3633,3501,2303,703,27225,15835
2021,Braintree,E07000067,76284,7697,4934,5478,10634,5481,2302,2764,1500,21933,13561
2021,Brentwood,E07000068,37902,2458,2017,2615,4102,2386,1644,302,259,16784,5335
2021,Castle Point,E07000069,41006,3558,3758,5436,3174,1929,894,1699,328,11672,8558
2021,Chelmsford,E07000070,89861,8886,9928,5629,7955,4002,2330,3049,715,34522,12845
2021,Colchester,E07000071,92015,11653,12856,7877,6132,4522,2251,1370,2917,28165,14272
2021,Epping Forest,E07000072,65796,3745,3790,6665,9196,3885,1128,404,359,25171,11453
2021,Harlow,E07000073,45983,6444,8138,3505,4564,2928,1687,381,279,9631,8426
2021,Maldon,E07000074,31257,2888,1394,2222,4645,2147,628,1005,590,9789,5949
2021,Rochford,E07000075,40658,2488,3762,5723,2767,1279,838,1597,435,14659,7110
2021,Tendring,E07000076,58281,7984,5310,4931,7129,3780,948,1140,1920,13322,11817
2021,Uttlesford,E07000077,45742,3033,2383,3371,5304,2565,1634,1858,614,18011,6969
2021,Cheltenham,E07000078,59156,10013,8993,3363,3833,1626,667,761,943,21711,7246
2021,Cotswold,E07000079,44082,4705,1909,2987,4626,3126,1428,840,886,17228,6347
2021,Forest of Dean,E07000080,39988,3724,2433,3894,5778,3401,1296,598,614,11230,7020
2021,Gloucester,E07000081,65619,10422,12041,7513,6400,1226,527,1212,878,15908,9492
2021,Stroud,E07000082,59916,5664,5364,6725,6970,2817,1388,666,686,20942,8694
2021,Tewkesbury,E07000083,46524,4236,4690,6900,5553,1486,604,743,717,15532,6063
2021,Basingstoke and Deane,E07000084,96973,10872,11058,6910,8173,4614,1616,1927,1681,38057,12065
2021,East Hampshire,E07000085,61734,5289,2717,5430,7311,4013,1943,1228,1071,23141,9591
2021,Eastleigh,E07000086,69516,6028,6547,10766,7069,1448,943,706,858,23893,11258
2021,Fareham,E07000087,55631,4823,6727,7411,6224,1303,407,543,827,19206,8160
2021,Gosport,E07000088,38484,5381,6902,5920,2511,1104,253,324,725,8865,6499
2021,Hart,E07000089,50445,3618,3261,5885,4723,1694,939,1139,501,22579,6106
2021,Havant,E07000090,56368,5906,7283,7894,6391,1521,687,623,875,14413,10775
2021,New Forest,E07000091,78702,8646,6763,8965,9347,4553,1382,769,1367,23960,12950
2021,Rushmoor,E07000092,53010,6472,7275,5801,5362,2188,910,1253,671,15301,7777
2021,Test Valley,E07000093,65862,6595,6064,5424,5365,4178,1761,1158,1279,23856,10182
2021,Winchester,E07000094,60574,5881,4266,4010,6404,2900,1365,943,1319,26249,7237
2021,Broxbourne,E07000095,48306,4519,4051,5772,6216,3297,649,329,251,14218,9004
2021,Dacorum,E07000096,77198,7714,6400,5823,7784,3398,2562,1027,484,30226,11780
2021,Hertsmere,E07000098,52762,4266,3947,5725,6330,2517,449,258,319,21051,7900
2021,North Hertfordshire,E07000099,67161,6942,4815,5147,5435,3240,1928,2229,556,28689,8180
2021,Three Rivers,E07000102,46948,2855,4427,4903,4334,2635,747,306,284,19608,6849
2021,Watford,E07000103,52859,7829,5725,3948,4570,3336,572,323,327,17899,8330
2021,Ashford,E07000105,63615,7209,9105,3845,5100,3927,1822,981,2081,19120,10425
2021,Canterbury,E07000106,66162,8881,5781,7221,5817,3654,1238,1114,2154,20109,10193
2021,Dartford,E07000107,58823,5077,6882,5740,5828,5010,1190,450,458,18217,9971
2021,Dover,E07000108,50926,6324,4147,4550,7953,3701,768,595,1357,12291,9240
2021,Gravesham,E07000109,49762,4899,4749,5286,6081,2681,2254,684,535,13037,9556
2021,Maidstone,E07000110,86409,8336,9418,7898,8894,4094,1949,2739,959,26842,15280
2021,Sevenoaks,E07000111,56385,3639,2946,4496,6575,3556,1860,477,366,23775,8695
2021,Folkestone and Hythe,E07000112,47814,6157,4587,3275,5644,2947,739,924,1391,13770,8380
2021,Swale,E07000113,69200,8371,6864,5859,9022,3807,1584,1796,1570,17587,12740
2021,Thanet,E07000114,59189,8201,10407,6272,2742,3210,709,781,1728,14408,10731
2021,Tonbridge and Malling,E07000115,64428,4803,4826,6659,6854,3207,1725,2098,513,23812,9931
2021,Tunbridge Wells,E07000116,55899,5948,5323,4058,4068,1984,1211,1708,512,23633,7454
2021,Burnley,E07000117,40036,7291,7492,5092,4692,1298,900,359,324,6738,5850
2021,Chorley,E07000118,57242,5585,6679,7009,8412,2480,1481,473,524,16580,8019
2021,Fylde,E07000119,35716,4000,3821,4912,4147,1053,586,533,517,11361,4786
2021,Hyndburn,E07000120,35627,4846,5984,6600,3675,1450,560,360,301,6309,5542
2021,Lancaster,E07000121,62401,10066,9487,7808,3502,2570,2309,741,1290,15430,9198
2021,Pendle,E07000122,39623,7013,5656,5008,4699,1723,860,549,344,7461,6310
2021,Preston,E07000123,66634,9913,13642,7130,5440,2590,928,881,706,16614,8790
2021,Ribble Valley,E07000124,30387,3181,2210,3776,5008,1578,931,636,297,9005,3765
2021,Rossendale,E07000125,33113,3369,3256,4053,6006,2214,600,266,316,8036,4997
2021,South Ribble,E07000126,54711,5530,8161,8779,4762,2213,1139,571,439,15731,7386
2021,West Lancashire,E07000127,53547,6095,5659,6571,8783,3211,927,586,569,13497,7649
2021,Wyre,E07000128,47835,5355,6295,6105,5910,2008,514,552,768,12479,7849
2021,Blaby,E07000129,51446,3569,6593,8760,5410,1665,816,769,535,15526,7803
2021,Charnwood,E07000130,84800,9411,9467,11568,11684,2974,1066,933,1221,25638,10838
2021,Harborough,E07000131,48771,4361,2408,4890,7269,3412,1154,803,788,17474,6212
2021,Hinckley and Bosworth,E07000132,55886,5652,5111,6108,9419,2721,1040,701,647,16666,7821
2021,Melton,E07000133,25465,3886,1805,1854,3012,2310,805,496,398,7261,3638
2021,North West Leicestershire,E07000134,51958,4923,4986,5269,8516,3455,1329,773,735,14874,7098
2021,Oadby and Wigston,E07000135,25989,2713,4057,5103,1491,688,406,357,385,7477,3312
2021,Boston,E07000136,33631,6152,4610,3463,4954,3263,717,907,647,3558,5360
2021,East Lindsey,E07000137,55578,9354,3248,5070,6968,4471,2646,1856,1300,10993,9672
2021,Lincoln,E07000138,46718,9136,8837,4552,1924,3385,605,949,1167,9451,6712
2021,North Kesteven,E07000139,56892,4736,4960,7709,6687,4813,1446,1255,1542,15406,8338
2021,South Holland,E07000140,45234,5767,6530,3940,7114,4003,1255,691,1003,7959,6972
2021,South Kesteven,E07000141,68192,9925,5534,3580,8680,4921,2751,2018,1622,19428,9733
2021,West Lindsey,E07000142,42136,4416,2628,4282,5913,3978,1550,1038,876,10950,6505
2021,Breckland,E07000143,65638,8792,3994,4348,10063,6965,2911,1780,1281,14404,11100
2021,Broadland,E07000144,62589,4389,6771,9343,8164,2512,921,517,771,18934,10267
2021,Great Yarmouth,E07000145,41139,6941,6238,3835,3411,2592,1744,1205,942,6813,7418
2021,King's Lynn and West Norfolk,E07000146,69223,8613,7801,6107,9400,4454,2300,2292,1951,14162,12143
2021,North Norfolk,E07000147,41659,5157,2148,3720,5574,3321,1897,739,848,10106,8149
2021,Norwich,E07000148,65720,11212,13127,5567,2713,1810,1426,476,1229,19468,8692
2021,South Norfolk,E07000149,67748,4999,4759,8486,9656,4064,2013,1081,1020,21339,10331
2021,Craven,E07000163,27134,3619,1414,2636,2649,1641,984,714,538,8833,4106
2021,Hambleton,E07000164,43404,5507,2039,3020,6197,3045,1802,1491,917,13303,6083
2021,Harrogate,E07000165,79685,11092,8891,5610,8137,4021,1741,922,1210,28233,9828
2021,Richmondshire,E07000166,24679,3485,2570,1907,2774,1217,805,645,819,6700,3757
2021,Ryedale,E07000167,25961,3480,1556,1767,3407,2016,962,650,547,7609,3967
2021,Scarborough,E07000168,46548,10414,6352,4248,2794,2943,1208,959,1357,8837,7436
2021,Selby,E07000169,46127,4017,2567,3769,7232,4514,1776,957,793,14331,6171
2021,Ashfield,E07000170,58431,7139,9309,9679,7595,2454,785,492,787,11460,8731
2021,Bassetlaw,E07000171,54918,7640,6616,5211,8441,4629,1743,1051,956,10741,7890
2021,Broxtowe,E07000172,51916,4631,7023,8234,5545,1078,549,317,755,17302,6482
2021,Gedling,E07000173,56186,4758,8124,9746,4600,1792,548,403,594,17220,8401
2021,Mansfield,E07000174,51367,6094,9631,8096,6410,2429,851,476,695,8757,7928
2021,Newark and Sherwood,E07000175,57114,6915,6285,4528,7895,4713,1671,920,964,14786,8437
2021,Rushcliffe,E07000176,56976,3431,4782,6597,6558,2399,945,480,869,24680,6235
2021,Cherwell,E07000177,84972,12865,8561,5691,8658,5510,2539,1460,1593,27343,10752
2021,Oxford,E07000178,73328,12938,14198,4222,3184,923,920,581,1357,28427,6578
2021,South Oxfordshire,E07000179,76476,6909,4417,6642,8572,3974,1377,1104,1065,32709,9707
2021,Vale of White Horse,E07000180,70864,5900,4917,7513,8118,3734,1191,692,965,29239,8595
2021,West Oxfordshire,E07000181,58926,7316,2897,6157,7387,3571,1028,551,966,20629,8424
2021,Mendip,E07000187,55671,7574,3792,5108,6876,3387,1514,625,700,17105,8990
2021,Sedgemoor,E07000188,59147,8623,6970,4611,9340,2894,1503,1212,838,13532,9624
2021,South Somerset,E07000189,80931,12812,7642,7582,10663,4867,1884,1475,1441,20337,12228
2021,Cannock Chase,E07000192,48877,5534,6005,5248,8416,3239,1069,474,517,9529,8846
2021,East Staffordshire,E07000193,59318,9355,8494,5984,7604,3595,1567,1047,731,13235,7706
2021,Lichfield,E07000194,50470,4229,3547,5927,7713,3723,974,611,606,15959,7181
2021,Newcastle-under-Lyme,E07000195,56682,6608,10618,8934,5518,1818,608,816,953,13009,7800
2021,South Staffordshire,E07000196,50699,3067,4091,8380,7734,3064,1069,722,609,14069,7894
2021,Stafford,E07000197,65764,7362,7505,6185,8055,4863,1594,1002,1048,19775,8375
2021,Staffordshire Moorlands,E07000198,45033,4784,2795,6396,8863,2082,987,845,558,10949,6774
2021,Tamworth,E07000199,38158,4736,6865,3197,5210,3039,825,336,458,8238,5254
2021,Babergh,E07000200,42957,4413,2815,3658,5859,3079,1103,677,893,13171,7289
2021,Ipswich,E07000202,67026,11166,12594,5498,5460,2013,1353,819,1109,16664,10350
2021,Mid Suffolk,E07000203,50024,3598,2860,4750,7171,4185,1696,1162,853,15527,8222
2021,Elmbridge,E07000207,66981,4145,5395,5673,4922,2850,500,180,320,35983,7013
2021,Epsom and Ewell,E07000208,39909,3385,4010,3867,3399,1479,242,152,170,17930,5275
2021,Guildford,E07000209,69774,7096,6356,5615,5689,2319,1321,1259,591,30814,8714
2021,Mole Valley,E07000210,42341,3178,2606,3618,4389,1804,754,273,221,19379,6119
2021,Reigate and Banstead,E07000211,75127,6330,7160,7217,6751,3154,1704,614,400,31589,10208
2021,Runnymede,E07000212,42456,3899,4465,4682,4074,1439,721,220,375,16530,6051
2021,Spelthorne,E07000213,51538,3674,6305,7864,4518,1942,408,221,310,18497,7799
2021,Surrey Heath,E07000214,45364,3829,4163,4362,4627,2229,782,764,440,18509,5659
2021,Tandridge,E07000215,42575,2350,2509,4435,4640,2176,902,398,208,18441,6516
2021,Waverley,E07000216,60722,4903,3832,3886,6282,1955,1039,1640,528,28929,7728
