date,geography,geography code,Distance travelled to work: Total: All usual residents aged 16 years and over in employment the week before the census,Distance travelled to work: Less than 2km,Distance travelled to work: 2km to less than 5km,Distance travelled to work: 5km to less than 10km,Distance travelled to work: 10km to less than 20km,Distance travelled to work: 20km to less than 30km,Distance travelled to work: 30km to less than 40km,Distance travelled to work: 40km to less than 60km,Distance travelled to work: 60km and over,Distance travelled to work: Works mainly from home,"Distance travelled to work: Works mainly at an offshore installation, in no fixed place, or outside the UK"
2021,North East,E12000001,1138056,129916,164729,163233,142730,45870,17390,12640,19154,282172,160222
2021,North West,E12000002,3341745,409185,496999,453727,361423,122872,49098,33463,37510,913829,463639
2021,Yorkshire and The Humber,E12000003,2461368,297802,370838,334329,273360,93990,40573,29518,34069,637370,349519
2021,East Midlands,E12000004,2272326,276575,307892,273972,272014,120861,47940,32800,37853,586025,316394
2021,West Midlands,E12000005,2638889,296330,394137,361449,296894,123626,44528,32545,38874,676936,373570
2021,East,E12000006,3028641,332129,316559,268403,315828,170260,80093,63791,45649,966487,469442
2021,London,E12000007,4360077,331191,484894,533671,409530,79897,23145,15808,29917,1836823,615201
2021,South East,E12000008,4471779,478840,477571,425138,411605,193432,84076,71477,63947,1603079,662614
2021,South West,E12000009,2692334,347026,322329,285380,266918,101160,52451,44539,48089,818531,405911
2021,Wales,W92000004,1368449,158919,163384,174625,174245,75403,31059,22351,27546,350470,190447
