date,geography,geography code,Gender identity: Total: All usual residents aged 16 years and over,Gender identity: Gender identity the same as sex registered at birth,Gender identity: Gender identity different from sex registered at birth but no specific identity given,Gender identity: Trans woman,Gender identity: Trans man,Gender identity: Non-binary,Gender identity: All other gender identities,Gender identity: Not answered
2021,North East,E12000001,2178959,2065870,4313,1743,1963,1212,692,103166
2021,North West,E12000002,6025634,5675755,13593,5452,5608,3401,1913,319912
2021,Yorkshire and The Humber,E12000003,4460299,4177019,11147,4151,4165,2819,1693,259305
2021,East Midlands,E12000004,3998045,3735589,8931,3386,3507,2221,1368,243043
2021,West Midlands,E12000005,4801329,4471807,12441,4648,4916,2258,1386,303873
2021,East,E12000006,5148286,4835263,10213,4594,4437,2747,1808,289224
2021,London,E12000007,7103987,6479664,32753,11266,11480,5407,3457,559960
2021,South East,E12000008,7554580,7110048,13504,6691,6735,5149,2748,409705
2021,South West,E12000009,4735837,4451316,6865,3752,3700,3499,2112,264593
2021,Wales,W92000004,2559416,2387304,4015,1888,1922,1548,897,161842
