date,geography,geography code,General health: Total: All usual residents,General health: Very good health,General health: Good health,General health: Fair health,General health: Bad health,General health: Very bad health
2021,North East,E12000001,2647014,1180035,885603,395694,143103,42579
2021,North West,E12000002,7417397,3540521,2425862,991124,353546,106344
2021,Yorkshire and The Humber,E12000003,5480773,2531127,1880570,750808,246178,72090
2021,East Midlands,E12000004,4880054,2256798,1699659,662825,202774,57998
2021,West Midlands,E12000005,5950757,2760968,2045948,805905,259955,77981
2021,East,E12000006,6335072,3058673,2194562,791639,226719,63479
2021,London,E12000007,8799728,4712358,2802395,908941,283864,92170
2021,South East,E12000008,9278065,4636748,3155834,1092213,307131,86139
2021,South West,E12000009,5701187,2713601,1950303,748197,224985,64101
2021,Wales,W92000004,3107495,1436479,1005485,449655,164102,51774
