date,geography,geography code,Hours worked: Total: All usual residents aged 16 years and over in employment the week before the census,Hours worked: Part-time,Hours worked: Part-time: 15 hours or less worked,Hours worked: Part-time: 16 to 30 hours worked,Hours worked: Full-time,Hours worked: Full-time: 31 to 48 hours worked,Hours worked: Full-time: 49 or more hours worked
2021,Hartlepool,E06000001,37749,11962,3441,8521,25787,22207,3580
2021,Middlesbrough,E06000002,56434,19024,5683,13341,37410,32556,4854
2021,Redcar and Cleveland,E06000003,55621,18000,5232,12768,37621,31940,5681
2021,Stockton-on-Tees,E06000004,86443,25685,7625,18060,60758,52004,8754
2021,Darlington,E06000005,49296,14008,4185,9823,35288,30500,4788
2021,Halton,E06000006,58706,15668,4613,11055,43038,37863,5175
2021,Warrington,E06000007,103191,27988,9162,18826,75203,65546,9657
2021,Blackburn with Darwen,E06000008,63557,20574,5863,14711,42983,38715,4268
2021,Blackpool,E06000009,59362,19645,6223,13422,39717,34638,5079
2021,"Kingston upon Hull, City of",E06000010,117789,34692,9459,25233,83097,73103,9994
2021,East Riding of Yorkshire,E06000011,156120,48127,15938,32189,107993,87911,20082
2021,North East Lincolnshire,E06000012,68849,21821,6588,15233,47028,38913,8115
2021,North Lincolnshire,E06000013,76223,22202,7082,15120,54021,45246,8775
2021,York,E06000014,96198,32671,12037,20634,63527,54704,8823
2021,Derby,E06000015,116201,35031,10896,24135,81170,72096,9074
2021,Leicester,E06000016,154934,53344,16608,36736,101590,92168,9422
2021,Rutland,E06000017,18783,5725,2177,3548,13058,10061,2997
2021,Nottingham,E06000018,128867,42906,15071,27835,85961,76165,9796
2021,"Herefordshire, County of",E06000019,88511,28622,9839,18783,59889,47742,12147
2021,Telford and Wrekin,E06000020,85497,22631,7164,15467,62866,54198,8668
2021,Stoke-on-Trent,E06000021,112580,32209,9224,22985,80371,70790,9581
2021,Bath and North East Somerset,E06000022,89812,30884,12067,18817,58928,49585,9343
2021,"Bristol, City of",E06000023,238510,71006,24727,46279,167504,147056,20448
2021,North Somerset,E06000024,102702,32965,11232,21733,69737,58675,11062
2021,South Gloucestershire,E06000025,147612,43784,14192,29592,103828,90398,13430
2021,Plymouth,E06000026,121018,38126,11999,26127,82892,71595,11297
2021,Torbay,E06000027,58935,21164,6943,14221,37771,32078,5693
2021,Swindon,E06000030,117866,30231,9588,20643,87635,77579,10056
2021,Peterborough,E06000031,100968,28172,8768,19404,72796,62866,9930
2021,Luton,E06000032,98721,31020,10454,20566,67701,59062,8639
2021,Southend-on-Sea,E06000033,83259,25753,9518,16235,57506,48451,9055
2021,Thurrock,E06000034,85948,22981,7878,15103,62967,53072,9895
2021,Medway,E06000035,132609,36872,12782,24090,95737,79935,15802
2021,Bracknell Forest,E06000036,66397,16572,5918,10654,49825,42029,7796
2021,West Berkshire,E06000037,82307,22350,8512,13838,59957,49764,10193
2021,Reading,E06000038,88863,22665,8681,13984,66198,57921,8277
2021,Slough,E06000039,73700,20972,7492,13480,52728,46355,6373
2021,Windsor and Maidenhead,E06000040,76302,20072,8051,12021,56230,44700,11530
2021,Wokingham,E06000041,89467,23196,9149,14047,66271,55608,10663
2021,Milton Keynes,E06000042,143378,36586,12397,24189,106792,92935,13857
2021,Brighton and Hove,E06000043,139291,47254,18422,28832,92037,79077,12960
2021,Portsmouth,E06000044,97787,30535,10778,19757,67252,57812,9440
2021,Southampton,E06000045,118228,35465,12460,23005,82763,71148,11615
2021,Isle of Wight,E06000046,57910,21832,7253,14579,36078,30756,5322
2021,County Durham,E06000047,222218,63368,19900,43468,158850,137147,21703
2021,Cheshire East,E06000049,192487,55559,19795,35764,136928,114307,22621
2021,Cheshire West and Chester,E06000050,169088,50037,17164,32873,119051,101055,17996
2021,Shropshire,E06000051,152423,47890,16243,31647,104533,83886,20647
2021,Cornwall,E06000052,254247,90812,31272,59540,163435,134022,29413
2021,Isles of Scilly,E06000053,1114,346,134,212,768,597,171
2021,Wiltshire,E06000054,252345,74804,26840,47964,177541,146830,30711
2021,Bedford,E06000055,90865,24823,8812,16011,66042,55968,10074
2021,Central Bedfordshire,E06000056,151078,40426,14636,25790,110652,92934,17718
2021,Northumberland,E06000057,140777,44414,14253,30161,96363,80360,16003
2021,"Bournemouth, Christchurch and Poole",E06000058,186032,60475,21877,38598,125557,107607,17950
2021,Dorset,E06000059,167777,58375,21420,36955,109402,89075,20327
2021,Buckinghamshire,E06000060,273236,78097,30598,47499,195139,157932,37207
2021,North Northamptonshire,E06000061,178855,46669,15223,31446,132186,111942,20244
2021,West Northamptonshire,E06000062,215995,57055,19541,37514,158940,134486,24454
2021,Cambridge,E07000008,70599,18725,7812,10913,51874,43695,8179
2021,East Cambridgeshire,E07000009,44695,12559,4439,8120,32136,26448,5688
2021,Fenland,E07000010,47108,12789,4219,8570,34319,28284,6035
2021,Huntingdonshire,E07000011,91391,24172,8458,15714,67219,56584,10635
2021,South Cambridgeshire,E07000012,82267,22752,8202,14550,59515,49901,9614
2021,Allerdale,E07000026,44235,14058,4483,9575,30177,25309,4868
2021,Barrow-in-Furness,E07000027,31183,9259,2666,6593,21924,19866,2058
2021,Carlisle,E07000028,52950,16961,5211,11750,35989,29990,5999
2021,Copeland,E07000029,30570,8403,2530,5873,22167,19710,2457
2021,Eden,E07000030,27335,9084,3418,5666,18251,13443,4808
2021,South Lakeland,E07000031,50137,17437,6634,10803,32700,26675,6025
2021,Amber Valley,E07000032,60171,17700,5916,11784,42471,36026,6445
2021,Bolsover,E07000033,38100,10634,3137,7497,27466,23380,4086
2021,Chesterfield,E07000034,47532,14979,4599,10380,32553,28101,4452
2021,Derbyshire Dales,E07000035,33228,11584,4380,7204,21644,16633,5011
2021,Erewash,E07000036,54967,15732,5066,10666,39235,34065,5170
2021,High Peak,E07000037,44614,13981,4701,9280,30633,25786,4847
2021,North East Derbyshire,E07000038,46563,14662,4598,10064,31901,26835,5066
2021,South Derbyshire,E07000039,53906,14318,4638,9680,39588,33110,6478
2021,East Devon,E07000040,66727,23554,8359,15195,43173,35143,8030
2021,Exeter,E07000041,59700,19803,7394,12409,39897,34634,5263
2021,Mid Devon,E07000042,40282,13365,4586,8779,26917,21569,5348
2021,North Devon,E07000043,45163,16249,5651,10598,28914,23636,5278
2021,South Hams,E07000044,40585,15328,5884,9444,25257,20077,5180
2021,Teignbridge,E07000045,62137,21566,7295,14271,40571,33592,6979
2021,Torridge,E07000046,30053,11176,3842,7334,18877,14726,4151
2021,West Devon,E07000047,25384,9082,3397,5685,16302,12630,3672
2021,Eastbourne,E07000061,43831,14903,5204,9699,28928,24787,4141
2021,Hastings,E07000062,40898,14210,4740,9470,26688,22762,3926
2021,Lewes,E07000063,44507,15849,5929,9920,28658,23936,4722
2021,Rother,E07000064,37934,13625,5203,8422,24309,19656,4653
2021,Wealden,E07000065,74543,25447,10015,15432,49096,39472,9624
2021,Basildon,E07000066,89011,25036,9070,15966,63975,53719,10256
2021,Braintree,E07000067,76284,22965,8594,14371,53319,43700,9619
2021,Brentwood,E07000068,37903,10388,4223,6165,27515,21744,5771
2021,Castle Point,E07000069,41006,12670,4575,8095,28336,23564,4772
2021,Chelmsford,E07000070,89862,25836,9697,16139,64026,52813,11213
2021,Colchester,E07000071,92016,28464,10351,18113,63552,52560,10992
2021,Epping Forest,E07000072,65796,19634,7815,11819,46162,37039,9123
2021,Harlow,E07000073,45981,12883,4390,8493,33098,28620,4478
2021,Maldon,E07000074,31256,10099,4057,6042,21157,16921,4236
2021,Rochford,E07000075,40658,12461,4810,7651,28197,23225,4972
2021,Tendring,E07000076,58281,20158,6940,13218,38123,31130,6993
2021,Uttlesford,E07000077,45741,14098,5694,8404,31643,25062,6581
2021,Cheltenham,E07000078,59157,18154,6458,11696,41003,35580,5423
2021,Cotswold,E07000079,44078,14188,5824,8364,29890,23598,6292
2021,Forest of Dean,E07000080,39990,12946,4698,8248,27044,22316,4728
2021,Gloucester,E07000081,65621,19514,5956,13558,46107,40563,5544
2021,Stroud,E07000082,59919,19827,7237,12590,40092,33708,6384
2021,Tewkesbury,E07000083,46522,13792,4548,9244,32730,27898,4832
2021,Basingstoke and Deane,E07000084,96973,24133,8743,15390,72840,62171,10669
2021,East Hampshire,E07000085,61732,18879,7267,11612,42853,34697,8156
2021,Eastleigh,E07000086,69517,20489,6892,13597,49028,41562,7466
2021,Fareham,E07000087,55631,16340,5688,10652,39291,33204,6087
2021,Gosport,E07000088,38486,11220,3585,7635,27266,23135,4131
2021,Hart,E07000089,50445,13732,5296,8436,36713,29759,6954
2021,Havant,E07000090,56368,17908,5916,11992,38460,32705,5755
2021,New Forest,E07000091,78702,26748,10149,16599,51954,42621,9333
2021,Rushmoor,E07000092,53015,13249,4560,8689,39766,34125,5641
2021,Test Valley,E07000093,65864,18574,6591,11983,47290,39188,8102
2021,Winchester,E07000094,60573,18929,7594,11335,41644,32954,8690
2021,Broxbourne,E07000095,48306,14247,5104,9143,34059,28778,5281
2021,Dacorum,E07000096,77199,22394,8384,14010,54805,45046,9759
2021,Hertsmere,E07000098,52766,16061,6468,9593,36705,29693,7012
2021,North Hertfordshire,E07000099,67158,18857,6904,11953,48301,40500,7801
2021,Three Rivers,E07000102,46948,13482,5174,8308,33466,27041,6425
2021,Watford,E07000103,52859,14307,5061,9246,38552,32858,5694
2021,Ashford,E07000105,63615,18592,6754,11838,45023,36702,8321
2021,Canterbury,E07000106,66164,23063,9225,13838,43101,35357,7744
2021,Dartford,E07000107,58822,15125,5210,9915,43697,37138,6559
2021,Dover,E07000108,50926,16164,5631,10533,34762,28511,6251
2021,Gravesham,E07000109,49761,14307,4871,9436,35454,29262,6192
2021,Maidstone,E07000110,86409,24266,8741,15525,62143,50706,11437
2021,Sevenoaks,E07000111,56382,16815,6623,10192,39567,31035,8532
2021,Folkestone and Hythe,E07000112,47818,15160,5399,9761,32658,27109,5549
2021,Swale,E07000113,69203,19520,6660,12860,49683,40567,9116
2021,Thanet,E07000114,59190,20158,6864,13294,39032,32623,6409
2021,Tonbridge and Malling,E07000115,64426,18529,6872,11657,45897,37086,8811
2021,Tunbridge Wells,E07000116,55898,16653,6414,10239,39245,31163,8082
