date,geography,geography code,Hours worked: Total: All usual residents aged 16 years and over in employment the week before the census,Hours worked: Part-time,Hours worked: Part-time: 15 hours or less worked,Hours worked: Part-time: 16 to 30 hours worked,Hours worked: Full-time,Hours worked: Full-time: 31 to 48 hours worked,Hours worked: Full-time: 49 or more hours worked
2021,North East,E12000001,1138056,345176,105030,240146,792880,687220,105660
2021,North West,E12000002,3341743,999720,321084,678636,2342023,2038033,303990
2021,Yorkshire and The Humber,E12000003,2461369,757413,238550,518863,1703956,1459903,244053
2021,East Midlands,E12000004,2272325,670918,221782,449136,1601407,1359550,241857
2021,West Midlands,E12000005,2638889,787700,259933,527767,1851189,1585887,265302
2021,East,E12000006,3028641,898611,326076,572535,2130030,1770151,359879
2021,London,E12000007,4360077,1222653,464497,758156,3137424,2555494,581930
2021,South East,E12000008,4471779,1320834,490872,829962,3150945,2618494,532451
2021,South West,E12000009,2692334,868412,303625,564787,1823922,1534131,289791
2021,Wales,W92000004,1368451,409566,123617,285949,958885,818788,140097
