date,geography,geography code,Hours worked: Total: All usual residents aged 16 years and over in employment the week before the census,Hours worked: Part-time,Hours worked: Part-time: 15 hours or less worked,Hours worked: Part-time: 16 to 30 hours worked,Hours worked: Full-time,Hours worked: Full-time: 31 to 48 hours worked,Hours worked: Full-time: 49 or more hours worked
2021,Hartlepool,E06000001,37749,11962,3441,8521,25787,22207,3580
2021,Middlesbrough,E06000002,56434,19024,5683,13341,37410,32556,4854
2021,Redcar and Cleveland,E06000003,55621,18000,5232,12768,37621,31940,5681
2021,Stockton-on-Tees,E06000004,86443,25685,7625,18060,60758,52004,8754
2021,Darlington,E06000005,49296,14008,4185,9823,35288,30500,4788
2021,Halton,E06000006,58706,15668,4613,11055,43038,37863,5175
2021,Warrington,E06000007,103191,27988,9162,18826,75203,65546,9657
2021,Blackburn with Darwen,E06000008,63557,20574,5863,14711,42983,38715,4268
2021,Blackpool,E06000009,59362,19645,6223,13422,39717,34638,5079
2021,"Kingston upon Hull, City of",E06000010,117789,34692,9459,25233,83097,73103,9994
2021,East Riding of Yorkshire,E06000011,156120,48127,15938,32189,107993,87911,20082
2021,North East Lincolnshire,E06000012,68849,21821,6588,15233,47028,38913,8115
2021,North Lincolnshire,E06000013,76223,22202,7082,15120,54021,45246,8775
2021,York,E06000014,96198,32671,12037,20634,63527,54704,8823
2021,Derby,E06000015,116201,35031,10896,24135,81170,72096,9074
2021,Leicester,E06000016,154934,53344,16608,36736,101590,92168,9422
2021,Rutland,E06000017,18783,5725,2177,3548,13058,10061,2997
2021,Nottingham,E06000018,128867,42906,15071,27835,85961,76165,9796
2021,"Herefordshire, County of",E06000019,88511,28622,9839,18783,59889,47742,12147
2021,Telford and Wrekin,E06000020,85497,22631,7164,15467,62866,54198,8668
2021,Stoke-on-Trent,E06000021,112580,32209,9224,22985,80371,70790,9581
2021,Bath and North East Somerset,E06000022,89812,30884,12067,18817,58928,49585,9343
2021,"Bristol, City of",E06000023,238510,71006,24727,46279,167504,147056,20448
2021,North Somerset,E06000024,102702,32965,11232,21733,69737,58675,11062
2021,South Gloucestershire,E06000025,147612,43784,14192,29592,103828,90398,13430
2021,Plymouth,E06000026,121018,38126,11999,26127,82892,71595,11297
2021,Torbay,E06000027,58935,21164,6943,14221,37771,32078,5693
2021,Swindon,E06000030,117866,30231,9588,20643,87635,77579,10056
2021,Peterborough,E06000031,100968,28172,8768,19404,72796,62866,9930
2021,Luton,E06000032,98721,31020,10454,20566,67701,59062,8639
2021,Southend-on-Sea,E06000033,83259,25753,9518,16235,57506,48451,9055
2021,Thurrock,E06000034,85948,22981,7878,15103,62967,53072,9895
2021,Medway,E06000035,132609,36872,12782,24090,95737,79935,15802
2021,Bracknell Forest,E06000036,66397,16572,5918,10654,49825,42029,7796
2021,West Berkshire,E06000037,82307,22350,8512,13838,59957,49764,10193
2021,Reading,E06000038,88863,22665,8681,13984,66198,57921,8277
2021,Slough,E06000039,73700,20972,7492,13480,52728,46355,6373
2021,Windsor and Maidenhead,E06000040,76302,20072,8051,12021,56230,44700,11530
2021,Wokingham,E06000041,89467,23196,9149,14047,66271,55608,10663
2021,Milton Keynes,E06000042,143378,36586,12397,24189,106792,92935,13857
2021,Brighton and Hove,E06000043,139291,47254,18422,28832,92037,79077,12960
2021,Portsmouth,E06000044,97787,30535,10778,19757,67252,57812,9440
2021,Southampton,E06000045,118228,35465,12460,23005,82763,71148,11615
2021,Isle of Wight,E06000046,57910,21832,7253,14579,36078,30756,5322
2021,County Durham,E06000047,222218,63368,19900,43468,158850,137147,21703
2021,Cheshire East,E06000049,192487,55559,19795,35764,136928,114307,22621
2021,Cheshire West and Chester,E06000050,169088,50037,17164,32873,119051,101055,17996
2021,Shropshire,E06000051,152423,47890,16243,31647,104533,83886,20647
2021,Cornwall,E06000052,254247,90812,31272,59540,163435,134022,29413
2021,Isles of Scilly,E06000053,1114,346,134,212,768,597,171
2021,Wiltshire,E06000054,252345,74804,26840,47964,177541,146830,30711
2021,Bedford,E06000055,90865,24823,8812,16011,66042,55968,10074
2021,Central Bedfordshire,E06000056,151078,40426,14636,25790,110652,92934,17718
2021,Northumberland,E06000057,140777,44414,14253,30161,96363,80360,16003
2021,"Bournemouth, Christchurch and Poole",E06000058,186032,60475,21877,38598,125557,107607,17950
2021,Dorset,E06000059,167777,58375,21420,36955,109402,89075,20327
2021,Buckinghamshire,E06000060,273236,78097,30598,47499,195139,157932,37207
2021,North Northamptonshire,E06000061,178855,46669,15223,31446,132186,111942,20244
2021,West Northamptonshire,E06000062,215995,57055,19541,37514,158940,134486,24454
2021,Bolton,E08000001,125438,39475,11725,27750,85963,75764,10199
2021,Bury,E08000002,88483,26131,8126,18005,62352,54514,7838
2021,Manchester,E08000003,234283,74425,25672,48753,159858,142505,17353
2021,Oldham,E08000004,98206,31334,9088,22246,66872,59308,7564
2021,Rochdale,E08000005,94459,27578,8024,19554,66881,59047,7834
2021,Salford,E08000006,127606,35294,11306,23988,92312,81921,10391
2021,Stockport,E08000007,139807,40202,13170,27032,99605,86908,12697
2021,Tameside,E08000008,105654,29213,8523,20690,76441,68222,8219
2021,Trafford,E08000009,111558,31656,10658,20998,79902,68817,11085
2021,Wigan,E08000010,154614,41925,12340,29585,112689,98905,13784
2021,Knowsley,E08000011,69492,20077,5416,14661,49415,44340,5075
2021,Liverpool,E08000012,205750,64927,21722,43205,140823,125475,15348
2021,St. Helens,E08000013,82623,22346,6605,15741,60277,52995,7282
2021,Sefton,E08000014,124597,39046,12151,26895,85551,74317,11234
2021,Wirral,E08000015,139503,42949,13409,29540,96554,84595,11959
2021,Barnsley,E08000016,111680,31992,9142,22850,79688,68527,11161
2021,Doncaster,E08000017,137858,39882,11361,28521,97976,83659,14317
2021,Rotherham,E08000018,117803,35033,9993,25040,82770,71465,11305
2021,Sheffield,E08000019,242007,80296,25656,54640,161711,142795,18916
2021,Newcastle upon Tyne,E08000021,125077,41814,14916,26898,83263,72848,10415
2021,North Tyneside,E08000022,97265,28129,7898,20231,69136,60931,8205
2021,South Tyneside,E08000023,62508,18535,5108,13427,43973,38273,5700
2021,Sunderland,E08000024,117152,34704,9391,25313,82448,73524,8924
2021,Birmingham,E08000025,442418,146182,49418,96764,296236,261443,34793
2021,Coventry,E08000026,150143,43039,14424,28615,107104,95752,11352
2021,Dudley,E08000027,144640,42808,13105,29703,101832,88508,13324
2021,Sandwell,E08000028,141072,42294,12726,29568,98778,87725,11053
2021,Solihull,E08000029,97939,27862,9825,18037,70077,59863,10214
2021,Walsall,E08000030,118533,35900,10648,25252,82633,71975,10658
2021,Wolverhampton,E08000031,111309,32165,9886,22279,79144,69418,9726
2021,Bradford,E08000032,221137,74807,21924,52883,146330,129284,17046
2021,Calderdale,E08000033,93381,29156,9199,19957,64225,55532,8693
2021,Kirklees,E08000034,190084,60633,18857,41776,129451,112439,17012
2021,Leeds,E08000035,374064,108902,35882,73020,265162,231990,33172
2021,Wakefield,E08000036,164641,45171,12950,32221,119470,103426,16044
2021,Gateshead,E08000037,87518,25535,7400,18135,61983,54932,7051
2021,City of London,E09000001,5351,885,386,499,4466,2760,1706
2021,Barking and Dagenham,E09000002,94588,30887,10801,20086,63701,55490,8211
2021,Barnet,E09000003,186175,59680,23760,35920,126495,101785,24710
2021,Bexley,E09000004,117985,32581,11593,20988,85404,73640,11764
2021,Brent,E09000005,160997,49520,18564,30956,111477,93506,17971
2021,Bromley,E09000006,162122,44067,16708,27359,118055,97180,20875
2021,Camden,E09000007,102511,27005,11879,15126,75506,55453,20053
2021,Croydon,E09000008,189405,55569,20311,35258,133836,114645,19191
2021,Ealing,E09000009,175026,50994,19422,31572,124032,103442,20590
2021,Enfield,E09000010,143864,50819,17931,32888,93045,79164,13881
2021,Greenwich,E09000011,142937,37837,13717,24120,105100,87019,18081
2021,Hackney,E09000012,134310,39474,14022,25452,94836,76457,18379
2021,Hammersmith and Fulham,E09000013,98093,22605,9497,13108,75488,56608,18880
2021,Haringey,E09000014,134381,43466,16523,26943,90915,74963,15952
2021,Harrow,E09000015,125037,36539,13761,22778,88498,73682,14816
2021,Havering,E09000016,124781,35210,12636,22574,89571,76496,13075
2021,Hillingdon,E09000017,142803,40514,14778,25736,102289,87797,14492
2021,Hounslow,E09000018,138800,40321,15624,24697,98479,84207,14272
2021,Islington,E09000019,114970,26896,11025,15871,88074,67481,20593
2021,Kensington and Chelsea,E09000020,69440,17605,7610,9995,51835,33155,18680
2021,Kingston upon Thames,E09000021,84148,23635,9292,14343,60513,49806,10707
2021,Lambeth,E09000022,182818,42625,16700,25925,140193,112911,27282
2021,Lewisham,E09000023,155712,44172,16083,28089,111540,94030,17510
2021,Merton,E09000024,112065,30296,11570,18726,81769,66670,15099
2021,Newham,E09000025,163445,52698,18670,34028,110747,94325,16422
2021,Redbridge,E09000026,141628,44843,16639,28204,96785,81723,15062
2021,Richmond upon Thames,E09000027,97565,25870,10880,14990,71695,54047,17648
2021,Southwark,E09000028,166948,41968,16582,25386,124980,99680,25300
2021,Sutton,E09000029,104226,29203,10702,18501,75023,64135,10888
2021,Tower Hamlets,E09000030,155392,40837,15607,25230,114555,90675,23880
2021,Waltham Forest,E09000031,140371,40743,15075,25668,99628,84719,14909
2021,Wandsworth,E09000032,190442,38648,15478,23170,151794,115966,35828
2021,Westminster,E09000033,101742,24638,10669,13969,77104,51876,25228
2021,Cambridgeshire,E10000003,336059,90996,33130,57866,245063,204912,40151
2021,Cumbria,E10000006,236410,75202,24942,50260,161208,134993,26215
2021,Derbyshire,E10000007,379081,113590,37035,76555,265491,223936,41555
2021,Devon,E10000008,370031,130123,46408,83715,239908,196007,43901
2021,East Sussex,E10000011,241714,84035,31091,52944,157679,130613,27066
2021,Essex,E10000012,713795,214694,80217,134477,499101,410097,89004
2021,Gloucestershire,E10000013,315289,98424,34723,63701,216865,183663,33202
2021,Hampshire,E10000014,687297,200196,72280,127916,487101,406119,80982
2021,Hertfordshire,E10000015,598243,171504,64624,106880,426739,352648,74091
2021,Kent,E10000016,728618,218353,79265,139088,510265,417262,93003
2021,Lancashire,E10000017,556872,168474,55387,113087,388398,333283,55115
