"date","geography","geography code","Household size: Total: All household spaces; measures: Value","Household size: 0 people in household; measures: Value","Household size: 1 person in household; measures: Value","Household size: 2 people in household; measures: Value","Household size: 3 people in household; measures: Value","Household size: 4 people in household; measures: Value","Household size: 5 people in household; measures: Value","Household size: 6 people in household; measures: Value","Household size: 7 people in household; measures: Value","Household size: 8 or more people in household; measures: Value"
"2021","Hartlepool","E06000001",40930,0,13616,13844,6780,4547,1519,440,115,69
"2021","Middlesbrough","E06000002",60262,0,19964,18783,9819,7078,2823,1131,420,244
"2021","Redcar and Cleveland","E06000003",61638,0,20663,21884,9591,6554,2136,590,143,77
"2021","Stockton-on-Tees","E06000004",83756,0,25980,28734,13771,10297,3311,1013,407,243
"2021","Darlington","E06000005",48922,0,16714,17262,7362,5287,1679,444,122,52
"2021","County Durham","E06000047",234759,0,79529,84630,36310,24430,7040,2042,541,237
"2021","Northumberland","E06000057",146922,0,48149,56863,21121,15118,4219,1073,268,111
"2021","Newcastle upon Tyne","E08000021",122797,0,42031,39194,18742,13929,5284,2212,805,600
"2021","North Tyneside","E08000022",96232,0,33553,33266,14822,10971,2735,680,149,56
"2021","South Tyneside","E08000023",68289,0,24550,22878,11001,7092,2023,538,138,69
"2021","Sunderland","E08000024",122182,0,40368,42256,20562,13589,3809,1062,342,194
"2021","Gateshead","E08000037",89000,0,30807,31231,13652,9449,2589,802,237,233
"2021","Halton","E06000006",55951,0,17702,18910,9487,6809,2207,615,155,66
"2021","Warrington","E06000007",90540,0,27364,31577,15267,11776,3401,848,204,103
"2021","Blackburn with Darwen","E06000008",58767,0,17578,16675,9054,7827,4307,1983,800,543
"2021","Blackpool","E06000009",64789,0,24588,21375,9581,6076,2023,762,232,152
"2021","Cheshire East","E06000049",174857,0,53136,64854,27168,21449,6165,1522,373,190
"2021","Cheshire West and Chester","E06000050",155154,0,46887,56529,25045,19291,5455,1390,375,182
"2021","Allerdale","E07000026",43972,0,14672,16517,6194,4767,1344,347,80,51
"2021","Barrow-in-Furness","E07000027",31258,0,11308,10798,4493,3298,1008,260,61,32
"2021","Carlisle","E07000028",50663,0,17780,18164,7232,5235,1655,436,105,56
"2021","Copeland","E07000029",30789,0,10565,11246,4396,3276,948,265,70,23
"2021","Eden","E07000030",24613,0,7618,9858,3298,2617,862,241,66,53
"2021","South Lakeland","E07000031",47656,0,15487,19224,6223,4981,1329,297,72,43
"2021","Burnley","E07000117",39872,0,13126,12801,6279,4463,1857,800,315,231
"2021","Chorley","E07000118",50133,0,14660,18326,8190,6507,1820,451,132,47
"2021","Fylde","E07000119",37606,0,12863,14433,5201,3667,1075,246,83,38
"2021","Hyndburn","E07000120",34791,0,11434,11402,5449,3728,1611,642,291,234
"2021","Lancaster","E07000121",59983,0,19526,21376,8885,6871,2234,724,218,149
"2021","Pendle","E07000122",38066,0,11824,12183,5508,4255,2189,1159,479,469
"2021","Preston","E07000123",59609,0,19400,18312,9564,7401,3127,1195,366,244
"2021","Ribble Valley","E07000124",26747,0,7807,10220,4238,3273,905,204,64,36
"2021","Rossendale","E07000125",30562,0,9708,10398,4922,3737,1221,367,136,73
"2021","South Ribble","E07000126",48588,0,14496,17855,7965,6012,1684,413,113,50
"2021","West Lancashire","E07000127",48533,0,13989,17548,7964,6352,1950,524,154,52
"2021","Wyre","E07000128",50768,0,16346,19636,7409,5245,1559,425,96,52
"2021","Bolton","E08000001",118791,0,36521,36766,19218,15001,6336,2696,1169,1084
"2021","Bury","E08000002",80695,0,24880,26584,13122,10148,3621,1356,555,429
"2021","Manchester","E08000003",214729,0,71577,62664,32180,24487,12817,6275,2700,2029
"2021","Oldham","E08000004",93139,0,27396,28070,15256,11738,5397,2743,1261,1278
"2021","Rochdale","E08000005",90223,0,27641,27854,14951,11210,5003,2146,849,569
"2021","Salford","E08000006",115118,0,39141,37670,18097,12359,4608,1794,664,785
"2021","Stockport","E08000007",126645,0,39439,42565,20627,16999,5049,1328,399,239
"2021","Tameside","E08000008",99527,0,32374,32399,16536,11845,4169,1370,488,346
