"date","geography","geography code","Household size: Total: All household spaces; measures: Value","Household size: 0 people in household; measures: Value","Household size: 1 person in household; measures: Value","Household size: 2 people in household; measures: Value","Household size: 3 people in household; measures: Value","Household size: 4 people in household; measures: Value","Household size: 5 people in household; measures: Value","Household size: 6 people in household; measures: Value","Household size: 7 people in household; measures: Value","Household size: 8 or more people in household; measures: Value"
"2021","North East","E12000001",1175680,0,395924,410822,183528,128338,39167,12028,3687,2186
"2021","North West","E12000002",3153404,0,1014910,1054079,500601,377427,133010,45673,16093,11611
"2021","Yorkshire and The Humber","E12000003",2330658,0,733558,814139,356185,276060,97116,33505,12016,8079
"2021","East Midlands","E12000004",2037334,0,597177,730945,322451,256146,86624,27834,9384,6773
"2021","West Midlands","E12000005",2429493,0,725807,811252,387589,310365,119362,45020,17437,12661
"2021","East","E12000006",2628782,0,759808,915234,422590,359854,117695,35780,11027,6794
"2021","London","E12000007",3423890,0,1001983,1007485,587620,483036,201049,80001,32571,30145
"2021","South East","E12000008",3807966,0,1081739,1324005,617807,535503,172459,51445,15687,9321
"2021","South West","E12000009",2448881,0,741323,910536,364516,298067,93966,27509,8116,4848
"2021","Wales","W92000004",1347114,0,429559,472906,212281,157455,52304,15162,4709,2738
