"date","geography","geography code","Household size: Total: All household spaces; measures: Value","Household size: 0 people in household; measures: Value","Household size: 1 person in household; measures: Value","Household size: 2 people in household; measures: Value","Household size: 3 people in household; measures: Value","Household size: 4 people in household; measures: Value","Household size: 5 people in household; measures: Value","Household size: 6 people in household; measures: Value","Household size: 7 people in household; measures: Value","Household size: 8 or more people in household; measures: Value"
"2021","Darlington","E06000005",48922,0,16714,17262,7362,5287,1679,444,122,52
"2021","County Durham","E06000047",234759,0,79529,84630,36310,24430,7040,2042,541,237
"2021","Hartlepool","E06000001",40930,0,13616,13844,6780,4547,1519,440,115,69
"2021","Middlesbrough","E06000002",60262,0,19964,18783,9819,7078,2823,1131,420,244
"2021","Northumberland","E06000057",146922,0,48149,56863,21121,15118,4219,1073,268,111
"2021","Redcar and Cleveland","E06000003",61638,0,20663,21884,9591,6554,2136,590,143,77
"2021","Stockton-on-Tees","E06000004",83756,0,25980,28734,13771,10297,3311,1013,407,243
"2021","Gateshead","E08000037",89000,0,30807,31231,13652,9449,2589,802,237,233
"2021","Newcastle upon Tyne","E08000021",122797,0,42031,39194,18742,13929,5284,2212,805,600
"2021","North Tyneside","E08000022",96232,0,33553,33266,14822,10971,2735,680,149,56
"2021","South Tyneside","E08000023",68289,0,24550,22878,11001,7092,2023,538,138,69
"2021","Sunderland","E08000024",122182,0,40368,42256,20562,13589,3809,1062,342,194
"2021","Blackburn with Darwen","E06000008",58767,0,17578,16675,9054,7827,4307,1983,800,543
"2021","Blackpool","E06000009",64789,0,24588,21375,9581,6076,2023,762,232,152
"2021","Cheshire East","E06000049",174857,0,53136,64854,27168,21449,6165,1522,373,190
"2021","Cheshire West and Chester","E06000050",155154,0,46887,56529,25045,19291,5455,1390,375,182
"2021","Halton","E06000006",55951,0,17702,18910,9487,6809,2207,615,155,66
"2021","Warrington","E06000007",90540,0,27364,31577,15267,11776,3401,848,204,103
"2021","Cumbria","E10000006",228954,0,77432,85807,31836,24174,7146,1845,455,259
"2021","Bolton","E08000001",118791,0,36521,36766,19218,15001,6336,2696,1169,1084
"2021","Bury","E08000002",80695,0,24880,26584,13122,10148,3621,1356,555,429
"2021","Manchester","E08000003",214729,0,71577,62664,32180,24487,12817,6275,2700,2029
"2021","Oldham","E08000004",93139,0,27396,28070,15256,11738,5397,2743,1261,1278
"2021","Rochdale","E08000005",90223,0,27641,27854,14951,11210,5003,2146,849,569
"2021","Salford","E08000006",115118,0,39141,37670,18097,12359,4608,1794,664,785
"2021","Stockport","E08000007",126645,0,39439,42565,20627,16999,5049,1328,399,239
"2021","Tameside","E08000008",99527,0,32374,32399,16536,11845,4169,1370,488,346
"2021","Trafford","E08000009",96269,0,28369,30169,16038,14824,4766,1448,410,245
"2021","Wigan","E08000010",143105,0,43950,49686,24370,17771,5425,1366,365,172
"2021","Lancashire","E10000017",525247,0,165178,184488,81574,61511,21232,7148,2446,1670
"2021","Knowsley","E08000011",66073,0,20645,20770,12369,8436,2832,758,194,69
"2021","Liverpool","E08000012",207491,0,76340,62338,32801,23081,8364,2854,1054,659
"2021","Sefton","E08000014",123076,0,41520,40852,19654,14538,4632,1297,334,249
"2021","St. Helens","E08000013",81011,0,25561,28261,13961,9445,2798,716,188,81
"2021","Wirral","E08000015",143252,0,49688,47215,22413,16632,5260,1411,424,209
"2021","East Riding of Yorkshire","E06000011",152067,0,45678,61113,21775,17064,4743,1239,316,139
"2021","Kingston upon Hull, City of","E06000010",115472,0,39446,36970,18409,13232,5002,1565,550,298
"2021","North East Lincolnshire","E06000012",69826,0,22718,24895,10966,7689,2535,693,227,103
"2021","North Lincolnshire","E06000013",73177,0,21366,27626,11507,8456,2908,913,259,142
