"date","geography","geography code","Living arrangements: Total; measures: Value","Living arrangements: Living in a couple; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership: Opposite-sex couple; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership: Same-sex couple; measures: Value","Living arrangements: Living in a couple: Separated, but still married or in a civil partnership; measures: Value","Living arrangements: Living in a couple: Cohabiting; measures: Value","Living arrangements: Living in a couple: Cohabiting: Opposite-sex couple; measures: Value","Living arrangements: Living in a couple: Cohabiting: Same-sex couple; measures: Value","Living arrangements: Not living in a couple; measures: Value","Living arrangements: Not living in a couple: Single (never married and never registered a same-sex civil partnership); measures: Value","Living arrangements: Not living in a couple: Married or in a registered civil partnership; measures: Value","Living arrangements: Not living in a couple: Separated (including those who are married and those who are in civil partnerships); measures: Value","Living arrangements: Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved; measures: Value","Living arrangements: Not living in a couple: Widowed or surviving partner from a civil partnership; measures: Value"
"2021","Hartlepool","E06000001",73833,41802,30578,30406,172,48,11176,10736,440,32031,19902,547,1615,5186,4781
"2021","Middlesbrough","E06000002",111446,57828,42485,42245,240,89,15254,14490,764,53618,35523,1641,2519,7363,6572
"2021","Redcar and Cleveland","E06000003",111122,64428,48226,47990,236,79,16123,15483,640,46694,27505,690,2230,8348,7921
"2021","Stockton-on-Tees","E06000004",155216,92292,69508,69095,413,133,22651,21627,1024,62924,38194,1567,3320,10538,9305
"2021","Darlington","E06000005",87143,51008,37755,37503,252,73,13180,12614,566,36135,21311,707,1983,6779,5355
"2021","County Durham","E06000047",420776,244139,183323,182227,1096,263,60553,58260,2293,176637,106281,2941,8950,30651,27814
"2021","Northumberland","E06000057",264462,164248,129507,128715,792,153,34588,33308,1280,100214,55812,1684,5627,18515,18576
"2021","Newcastle upon Tyne","E08000021",231265,115693,83423,82688,735,179,32091,30139,1952,115572,82392,2901,4824,14155,11300
"2021","North Tyneside","E08000022",170264,99993,74449,73791,658,116,25428,24192,1236,70271,41697,1128,3654,12768,11024
"2021","South Tyneside","E08000023",120118,65835,49021,48708,313,100,16714,16020,694,54283,32846,846,2882,9521,8188
"2021","Sunderland","E08000024",222305,126283,93532,93047,485,138,32613,31264,1349,96022,59866,1599,4768,14931,14858
"2021","Gateshead","E08000037",159212,90526,66277,65731,546,97,24152,22864,1288,68686,42693,1224,3362,11152,10255
"2021","Halton","E06000006",103082,58622,42688,42417,271,84,15850,15226,624,44460,28206,675,2139,7215,6225
"2021","Warrington","E06000007",169609,103692,78670,78232,438,122,24900,23946,954,65917,40159,1375,2830,11513,10040
"2021","Blackburn with Darwen","E06000008",118116,65215,51016,50767,249,81,14118,13610,508,52901,34071,2312,2500,7697,6321
"2021","Blackpool","E06000009",113423,58170,39571,38791,780,95,18504,17262,1242,55253,33024,1047,2783,10753,7646
"2021","Cheshire East","E06000049",325121,206925,159325,158356,969,242,47358,45192,2166,118196,68085,2795,5322,21893,20101
"2021","Cheshire West and Chester","E06000050",290357,177901,134905,133958,947,252,42744,40942,1802,112456,67974,2225,4711,19558,17988
"2021","Allerdale","E07000026",79568,49019,38020,37820,200,36,10963,10614,349,30549,17550,532,1284,5512,5671
"2021","Barrow-in-Furness","E07000027",55307,32006,23513,23391,122,21,8472,8198,274,23301,13820,415,1002,4261,3803
"2021","Carlisle","E07000028",90171,53874,40381,40119,262,46,13447,12935,512,36297,21581,664,1781,6432,5839
"2021","Copeland","E07000029",55322,33406,26033,25889,144,26,7347,7125,222,21916,12905,382,913,3791,3925
"2021","Eden","E07000030",46327,30121,23908,23799,109,21,6192,5944,248,16206,9306,394,643,2700,3163
"2021","South Lakeland","E07000031",87566,56423,44637,44341,296,66,11720,11330,390,31143,17143,724,1216,5761,6299
"2021","Burnley","E07000117",74306,41262,30054,29912,142,45,11163,10740,423,33044,20295,1126,1716,5489,4418
"2021","Chorley","E07000118",93674,59381,44969,44703,266,60,14352,13792,560,34293,20438,597,1613,6419,5226
"2021","Fylde","E07000119",67676,41832,32879,32587,292,57,8896,8512,384,25844,13736,535,1175,5363,5035
"2021","Hyndburn","E07000120",64881,36507,26520,26372,148,40,9947,9604,343,28374,17329,846,1593,4724,3882
"2021","Lancaster","E07000121",111678,64182,47852,47440,412,76,16254,15526,728,47496,29651,1032,2126,7804,6883
"2021","Pendle","E07000122",74684,43511,33441,33271,170,53,10017,9661,356,31173,18368,1812,1591,5042,4360
"2021","Preston","E07000123",112703,61641,46064,45844,220,72,15505,14777,728,51062,34089,1762,2105,7249,5857
"2021","Ribble Valley","E07000124",50666,33209,26429,26327,102,25,6755,6558,197,17457,9812,350,793,3163,3339
"2021","Rossendale","E07000125",56540,34048,24692,24474,218,46,9310,8990,320,22492,13537,459,1198,4041,3257
"2021","South Ribble","E07000126",90731,56734,43145,42881,264,57,13532,12950,582,33997,19798,540,1471,6271,5917
"2021","West Lancashire","E07000127",93735,55924,43190,42992,198,87,12647,12240,407,37811,23516,725,1453,6066,6051
"2021","Wyre","E07000128",92806,57140,44428,44032,396,60,12652,12146,506,35666,19077,661,1537,6937,7454
"2021","Bolton","E08000001",230093,130867,100643,100139,504,181,30043,28800,1243,99226,61705,3782,4614,15644,13481
"2021","Bury","E08000002",153160,89267,67526,67051,475,135,21606,20502,1104,63893,39623,1919,2970,10443,8938
"2021","Manchester","E08000003",416255,183203,123590,121680,1910,410,59203,53987,5216,233052,174459,10449,9204,23608,15332
"2021","Oldham","E08000004",185621,101675,78540,78207,333,178,22957,22028,929,83946,53390,3915,4185,11680,10776
"2021","Rochdale","E08000005",173069,95620,71502,71148,354,172,23946,23026,920,77449,48831,2857,4054,11852,9855
"2021","Salford","E08000006",211259,107772,70013,69135,878,156,37603,34737,2866,103487,73401,2813,4198,13075,10000
"2021","Stockport","E08000007",236778,141992,107693,106859,834,219,34080,32296,1784,94786,58791,2052,3902,15321,14720
"2021","Tameside","E08000008",183795,102702,72704,72069,635,166,29832,28592,1240,81093,50690,1996,4013,13049,11345
"2021","Trafford","E08000009",184768,110623,87174,86494,680,178,23271,22125,1146,74145,47033,1902,3041,11625,10544
"2021","Wigan","E08000010",266231,159320,114657,114004,653,163,44500,42622,1878,106911,65340,1889,4971,18155,16556
"2021","Knowsley","E08000011",123477,63564,44782,44488,294,136,18646,17926,720,59913,40960,916,2718,7787,7532
