date,geography,geography code,Multiple ethnic groups in household: Total: All households,Multiple ethnic groups in household: One-person household,Multiple ethnic groups in household: All household members have the same ethnic group,Multiple ethnic groups in household: Ethnic groups differ between generations but not within partnerships,Multiple ethnic groups in household: Ethnic groups differ within partnerships,Multiple ethnic groups in household: Any other combination of multiple ethnic identities
2021,North East,E12000001,1175680,395924,731364,7995,28888,11509
2021,North West,E12000002,3153405,1014910,1921277,38535,126514,52169
2021,Yorkshire and The Humber,E12000003,2330657,733558,1445460,28507,86202,36930
2021,East Midlands,E12000004,2037332,597177,1281978,28606,90366,39205
2021,West Midlands,E12000005,2429493,725807,1495964,43550,111464,52708
2021,East,E12000006,2628782,759808,1596672,46001,168590,57711
2021,London,E12000007,3423891,1001983,1659370,142871,380076,239591
2021,South East,E12000008,3807966,1081739,2297916,61410,271417,95484
2021,South West,E12000009,2448882,741323,1515102,26568,118957,46932
2021,Wales,W92000004,1347114,429559,846702,11843,42509,16501
