date,geography,geography code,Multiple ethnic groups in household: Total: All households,Multiple ethnic groups in household: One-person household,Multiple ethnic groups in household: All household members have the same ethnic group,Multiple ethnic groups in household: Ethnic groups differ between generations but not within partnerships,Multiple ethnic groups in household: Ethnic groups differ within partnerships,Multiple ethnic groups in household: Any other combination of multiple ethnic identities
2021,Hartlepool,E06000001,40932,13616,26300,176,606,234
2021,Middlesbrough,E06000002,60262,19964,36915,735,1624,1024
2021,Redcar and Cleveland,E06000003,61638,20663,39331,323,1023,298
2021,Stockton-on-Tees,E06000004,83759,25980,54307,696,2088,688
2021,Darlington,E06000005,48918,16714,30004,360,1424,416
2021,Halton,E06000006,55951,17702,35879,451,1492,427
2021,Warrington,E06000007,90538,27364,57844,896,3493,941
2021,Blackburn with Darwen,E06000008,58767,17578,37636,701,1985,867
2021,Blackpool,E06000009,64789,24588,36982,662,1787,770
2021,"Kingston upon Hull, City of",E06000010,115472,39446,69204,1406,3176,2240
2021,East Riding of Yorkshire,E06000011,152066,45678,100603,801,4098,886
2021,North East Lincolnshire,E06000012,69826,22718,44528,460,1524,596
2021,North Lincolnshire,E06000013,73173,21366,48442,546,2044,775
2021,York,E06000014,85459,26640,51471,763,4287,2298
2021,Derby,E06000015,105652,33054,61786,2323,5562,2927
2021,Leicester,E06000016,127388,35173,76004,3505,7247,5459
2021,Rutland,E06000017,16694,4786,10826,113,834,135
2021,Nottingham,E06000018,124745,41971,63535,4162,7751,7326
2021,"Herefordshire, County of",E06000019,82828,25434,52758,690,3018,928
2021,Telford and Wrekin,E06000020,76510,21205,49730,1133,3110,1332
2021,Stoke-on-Trent,E06000021,110400,36179,67554,1532,3211,1924
2021,Bath and North East Somerset,E06000022,79250,23077,47283,948,5182,2760
2021,"Bristol, City of",E06000023,191638,57862,103612,4085,15366,10713
2021,North Somerset,E06000024,94649,29090,59068,953,4376,1162
2021,South Gloucestershire,E06000025,118101,30747,77231,1593,6139,2391
2021,Plymouth,E06000026,114558,37338,69938,1034,4130,2118
2021,Torbay,E06000027,62994,21883,37400,556,2329,826
2021,Swindon,E06000030,95861,27219,59094,1660,5767,2121
2021,Peterborough,E06000031,84533,23516,50234,2461,5267,3055
2021,Luton,E06000032,78940,21068,44688,3236,6048,3900
2021,Southend-on-Sea,E06000033,78344,26102,44583,1381,4713,1565
2021,Thurrock,E06000034,66377,16180,42332,1922,3862,2081
2021,Medway,E06000035,111458,30462,70142,2178,6049,2627
2021,Bracknell Forest,E06000036,50248,13465,30463,955,4170,1195
2021,West Berkshire,E06000037,66658,18008,42021,836,4695,1098
2021,Reading,E06000038,67683,19262,35849,2206,6372,3994
2021,Slough,E06000039,52423,11948,31609,2033,4023,2810
2021,Windsor and Maidenhead,E06000040,60931,16715,34638,1240,6552,1786
2021,Wokingham,E06000041,69164,16265,44297,1164,5973,1465
2021,Milton Keynes,E06000042,113102,29795,67310,3207,8887,3903
2021,Brighton and Hove,E06000043,121402,42101,57526,2484,12206,7085
2021,Portsmouth,E06000044,86155,27607,49560,1345,4357,3286
2021,Southampton,E06000045,102291,33711,55531,2109,6382,4558
2021,Isle of Wight,E06000046,64774,22484,39025,466,2206,593
2021,County Durham,E06000047,234761,79529,147551,1074,4565,2042
2021,Cheshire East,E06000049,174856,53136,110638,1471,7860,1751
2021,Cheshire West and Chester,E06000050,155154,46887,98927,1233,6449,1658
2021,Shropshire,E06000051,139579,41428,91370,839,4633,1309
2021,Cornwall,E06000052,250535,76862,158738,1942,9610,3383
2021,Isles of Scilly,E06000053,942,307,582,5,34,14
2021,Wiltshire,E06000054,215080,60574,139225,2016,10637,2628
2021,Bedford,E06000055,74950,21448,42703,2264,6260,2275
2021,Central Bedfordshire,E06000056,120755,31171,76544,2068,8851,2121
2021,Northumberland,E06000057,146922,48149,94267,640,3302,564
2021,"Bournemouth, Christchurch and Poole",E06000058,173843,56531,98404,2814,10995,5099
2021,Dorset,E06000059,169261,51741,108152,1014,6669,1685
2021,Buckinghamshire,E06000060,220328,57889,133941,4247,19153,5098
2021,North Northamptonshire,E06000061,148921,40715,94631,2686,7799,3090
2021,West Northamptonshire,E06000062,172640,46474,107398,3586,10421,4761
2021,Bolton,E08000001,118790,36521,74311,1674,4402,1882
2021,Bury,E08000002,80695,24880,49105,1251,4228,1231
2021,Manchester,E08000003,214732,71577,108822,6890,14823,12620
2021,Oldham,E08000004,93142,27396,59190,1613,3330,1613
2021,Rochdale,E08000005,90223,27641,56056,1531,3528,1467
2021,Salford,E08000006,115116,39141,63963,1973,6212,3827
2021,Stockport,E08000007,126647,39439,76809,1651,7116,1632
2021,Tameside,E08000008,99527,32374,61112,1205,3594,1242
2021,Trafford,E08000009,96269,28369,56793,1867,7372,1868
2021,Wigan,E08000010,143105,43950,92971,1125,3889,1170
2021,Knowsley,E08000011,66073,20645,42566,581,1743,538
2021,Liverpool,E08000012,207492,76340,112340,3478,9313,6021
2021,St. Helens,E08000013,81013,25561,52385,537,2015,515
2021,Sefton,E08000014,123073,41520,75170,990,4117,1276
2021,Wirral,E08000015,143252,49688,86365,1174,4887,1138
2021,Barnsley,E08000016,108053,33289,70926,717,2294,827
2021,Doncaster,E08000017,133480,41667,85038,1483,3785,1507
2021,Rotherham,E08000018,113925,34225,74892,1041,2736,1031
2021,Sheffield,E08000019,231950,75759,134771,4046,11309,6065
2021,Newcastle upon Tyne,E08000021,122797,42031,70138,1465,5378,3785
2021,North Tyneside,E08000022,96232,33553,58434,728,2927,590
2021,South Tyneside,E08000023,68285,24550,41431,498,1460,346
2021,Sunderland,E08000024,122176,40368,78277,646,2107,778
2021,Birmingham,E08000025,423456,133224,233008,13162,26519,17543
2021,Coventry,E08000026,134140,40777,76574,3398,7645,5746
2021,Dudley,E08000027,137069,41709,86762,2098,4775,1725
2021,Sandwell,E08000028,130246,38042,78363,3807,6293,3741
2021,Solihull,E08000029,89483,25852,55357,1553,5309,1412
2021,Walsall,E08000030,112226,32129,71376,2308,4304,2109
2021,Wolverhampton,E08000031,105141,32468,60784,3450,5413,3026
2021,Bradford,E08000032,209867,64596,128983,3790,8647,3851
2021,Calderdale,E08000033,90476,30308,54864,1034,3373,897
2021,Kirklees,E08000034,177989,55176,109308,3012,7752,2741
2021,Leeds,E08000035,341465,111380,196648,6205,17531,9701
2021,Wakefield,E08000036,153075,46419,99269,1563,4302,1522
2021,Gateshead,E08000037,88999,30807,54409,654,2383,746
2021,City of London,E09000001,4914,2506,1463,75,650,220
2021,Barking and Dagenham,E09000002,73903,17503,43285,3994,4616,4505
2021,Barnet,E09000003,148917,41658,72742,6880,18282,9355
2021,Bexley,E09000004,95300,24753,57577,2746,6958,3266
2021,Brent,E09000005,118612,31985,59725,5842,10942,10118
2021,Bromley,E09000006,135827,38668,73361,4069,15626,4103
2021,Camden,E09000007,92757,35929,34339,3609,11669,7211
2021,Croydon,E09000008,152946,43091,75544,7850,17655,8806
2021,Ealing,E09000009,133659,35662,67127,5928,15351,9591
2021,Enfield,E09000010,120923,31159,61811,7490,12476,7987
2021,Greenwich,E09000011,114051,34048,54826,5058,13044,7075
2021,Hackney,E09000012,106081,34928,42284,5006,13006,10857
2021,Hammersmith and Fulham,E09000013,81244,29324,31448,3534,9819,7119
2021,Haringey,E09000014,105092,32293,44822,5381,13385,9211
2021,Harrow,E09000015,89644,19852,53714,2960,7837,5281
2021,Havering,E09000016,101277,26129,61805,2746,7375,3222
2021,Hillingdon,E09000017,109228,26635,62840,3664,10336,5753
2021,Hounslow,E09000018,102961,26209,55632,4155,9973,6992
2021,Islington,E09000019,96496,34795,36595,4142,12409,8555
2021,Kensington and Chelsea,E09000020,66885,29232,22589,2634,8061,4369
2021,Kingston upon Thames,E09000021,65628,17716,33665,2038,8912,3297
2021,Lambeth,E09000022,134688,43154,55140,6427,15524,14443
2021,Lewisham,E09000023,122392,37147,53667,6528,15685,9365
2021,Merton,E09000024,81729,20464,40699,3511,11223,5832
2021,Newham,E09000025,115508,27038,63244,5111,9418,10697
2021,Redbridge,E09000026,103713,23886,61048,3722,9253,5804
2021,Richmond upon Thames,E09000027,80705,23871,38798,2366,12654,3016
2021,Southwark,E09000028,130818,43348,53576,6104,15240,12550
2021,Sutton,E09000029,82348,22197,45928,2794,8611,2818
2021,Tower Hamlets,E09000030,120539,38531,55623,2990,12289,11106
2021,Waltham Forest,E09000031,102902,26696,50259,5097,13095,7755
2021,Wandsworth,E09000032,137393,41132,61119,5037,18167,11938
2021,Westminster,E09000033,94817,40443,33079,3383,10536,7376
2021,Cambridgeshire,E10000003,277634,78876,164562,4352,21649,8195
2021,Cumbria,E10000006,228953,77432,143359,1041,5696,1425
2021,Derbyshire,E10000007,354214,109710,228383,2516,11266,2339
2021,Devon,E10000008,352621,107230,224110,2433,13945,4903
2021,East Sussex,E10000011,240117,76642,141927,3039,14403,4106
2021,Essex,E10000012,626474,177924,393308,9142,35328,10772
2021,Gloucestershire,E10000013,279429,84836,172718,3403,14237,4235
2021,Hampshire,E10000014,587694,161702,378936,6030,32331,8695
2021,Hertfordshire,E10000015,482893,134069,280639,11444,44022,12719
2021,Kent,E10000016,648393,183814,403937,9268,38565,12809
2021,Lancashire,E10000017,525248,165178,332055,4539,17183,6293
2021,Leicestershire,E10000018,296408,81648,193728,3059,13669,4304
2021,Lincolnshire,E10000019,333552,97972,216847,2958,11366,4409
2021,Norfolk,E10000020,404341,125512,251951,3992,16372,6514
2021,North Yorkshire,E10000023,274380,84891,176513,1640,9343,1993
2021,Nottinghamshire,E10000024,357121,105673,228840,3699,14454,4455
2021,Oxfordshire,E10000025,288108,78183,171361,4808,23906,9850
2021,Somerset,E10000027,250120,76028,159548,2112,9540,2892
2021,Staffordshire,E10000028,375221,108215,247549,3330,12316,3811
2021,Suffolk,E10000029,333543,103942,205128,3741,16218,4514
2021,Surrey,E10000030,481818,130426,282094,8780,47382,13136
2021,Warwickshire,E10000031,253264,73068,157943,3425,13959,4869
2021,West Sussex,E10000032,375216,111259,227747,5014,23805,7391
2021,Worcestershire,E10000034,259933,76079,166837,2825,10959,3233
2021,Isle of Anglesey,W06000001,30818,10189,19572,156,736,165
2021,Gwynedd,W06000002,51105,17664,31079,252,1412,698
2021,Conwy,W06000003,52233,17909,31967,329,1633,395
2021,Denbighshire,W06000004,42387,14107,26603,277,1117,283
2021,Flintshire,W06000005,66912,19471,44512,464,1898,567
2021,Wrexham,W06000006,57912,17662,37706,512,1502,530
2021,Ceredigion,W06000008,30893,10202,18877,171,1078,565
2021,Pembrokeshire,W06000009,55488,18507,34496,372,1704,409
2021,Carmarthenshire,W06000010,81756,25349,53174,497,2115,621
2021,Swansea,W06000011,104962,36154,62394,1049,3481,1884
2021,Neath Port Talbot,W06000012,62375,20368,39881,412,1337,377
2021,Bridgend,W06000013,62360,18664,41368,349,1554,425
2021,Vale of Glamorgan,W06000014,57451,17841,35932,578,2557,543
2021,Cardiff,W06000015,147333,47463,82765,3153,8634,5318
2021,Rhondda Cynon Taff,W06000016,103339,32170,67591,562,2156,860
2021,Caerphilly,W06000018,76257,22965,50861,449,1573,409
2021,Blaenau Gwent,W06000019,30340,10175,19394,173,447,151
2021,Torfaen,W06000020,40241,12316,26476,242,925,282
2021,Monmouthshire,W06000021,40924,12287,26528,261,1525,323
2021,Newport,W06000022,66053,19997,40927,1120,2937,1072
2021,Powys,W06000023,60182,19841,37890,279,1747,425
2021,Merthyr Tydfil,W06000024,25783,8258,16706,180,440,199
