date,geography,geography code,National identity: Total: All usual residents,National identity: British only identity,National identity: English only identity,National identity: English and British only identity,National identity: Welsh only identity,National identity: Welsh and British only identity,National identity: Any other combination of only UK identities,National identity: Scottish only identity,National identity: Scottish and British only identity,National identity: Northern Irish only identity,National identity: Northern Irish and British only identity,National identity: Cornish only identity,National identity: Cornish and British only identity,National identity: Any other combination of only UK identities ,National identity: Irish only identity,National identity: Irish and at least one UK identity,National identity: Other identity only,National identity: Other identity and at least one UK identity,National identity: Non-UK identity only,National identity: UK identity and non-UK identity
2021,Hartlepool,E06000001,92338,52963,16299,19966,75,47,576,313,118,45,28,2,0,70,84,17,1943,368,2027,385
2021,Middlesbrough,E06000002,143925,82627,20643,26894,133,54,947,444,173,140,56,4,0,130,225,42,11138,1222,11363,1264
2021,Redcar and Cleveland,E06000003,136531,79634,25337,27558,162,75,1242,631,291,123,60,5,1,131,152,41,1851,479,2003,520
2021,Stockton-on-Tees,E06000004,196594,117266,31864,37907,228,120,1842,928,416,166,89,6,0,237,287,56,5728,1296,6015,1352
2021,Darlington,E06000005,107800,62880,17863,19363,150,79,1587,898,320,128,56,3,0,182,167,54,4723,934,4890,988
2021,Halton,E06000006,128478,76240,21277,24805,438,145,945,435,135,153,68,2,0,152,324,61,3581,662,3905,723
2021,Warrington,E06000007,210977,122919,32590,37412,826,369,2059,904,418,297,137,6,1,296,764,175,11444,2419,12208,2594
2021,Blackburn with Darwen,E06000008,154734,99622,18757,19807,153,67,1379,702,242,215,52,1,1,166,350,44,12453,2102,12803,2146
2021,Blackpool,E06000009,141037,80247,22934,25886,455,165,3264,1915,712,293,87,15,1,241,471,60,6618,937,7089,997
2021,"Kingston upon Hull, City of",E06000010,267015,141624,41123,52434,253,93,1490,778,266,163,68,6,1,208,269,74,26655,3000,26924,3074
2021,East Riding of Yorkshire,E06000011,342212,197518,64215,64454,643,285,3108,1557,741,286,141,12,2,369,597,150,8842,2400,9439,2550
2021,North East Lincolnshire,E06000012,156968,86829,29523,31727,250,77,1149,601,245,109,45,7,0,142,183,30,6269,931,6452,961
2021,North Lincolnshire,E06000013,169680,94143,30369,30633,380,128,1696,920,335,205,65,5,0,166,278,52,10683,1318,10961,1370
2021,York,E06000014,202822,114321,28948,36521,623,298,3187,1369,701,337,183,19,7,571,648,331,13933,4012,14581,4343
2021,Derby,E06000015,261366,143065,42583,36390,552,283,2218,984,413,335,116,16,3,351,1093,217,30048,4917,31141,5134
2021,Leicester,E06000016,368571,205602,30171,30309,497,183,1860,758,264,316,93,11,3,415,1078,216,87659,10996,88737,11212
2021,Rutland,E06000017,41054,23518,7589,6839,179,78,738,323,147,68,58,7,0,135,141,34,1430,508,1571,542
2021,Nottingham,E06000018,323633,174341,42266,41969,786,389,2919,1113,417,466,163,17,4,739,1519,398,51378,7668,52897,8066
2021,"Herefordshire, County of",E06000019,187035,102556,32496,30733,4130,1610,2255,787,391,184,103,29,5,756,382,139,10577,2157,10959,2296
2021,Telford and Wrekin,E06000020,185541,103344,32719,30303,1259,468,2021,811,381,285,134,26,6,378,423,81,13004,1919,13427,2000
2021,Stoke-on-Trent,E06000021,258369,141300,46186,43883,597,222,1435,586,218,211,80,12,0,328,383,90,21322,2951,21705,3041
2021,Bath and North East Somerset,E06000022,193414,108927,27442,32279,2024,882,2527,741,498,296,160,120,16,696,778,299,13828,4428,14606,4727
2021,"Bristol, City of",E06000023,472467,262435,54627,66925,5654,2565,6213,1823,936,793,351,363,64,1883,2498,947,56261,14342,58759,15289
2021,North Somerset,E06000024,216727,123321,36706,36961,2284,1050,2390,898,498,219,112,74,16,573,683,218,10351,2763,11034,2981
2021,South Gloucestershire,E06000025,290422,163084,47155,50087,2976,1499,2760,936,479,261,148,113,25,798,822,215,17398,4426,18220,4641
2021,Plymouth,E06000026,264694,151509,43806,45648,1456,567,3992,1364,586,353,164,812,114,599,569,186,14021,2940,14590,3126
2021,Torbay,E06000027,139321,77266,28682,23573,815,293,1746,826,334,130,65,98,13,280,373,97,5091,1385,5464,1482
2021,Swindon,E06000030,233407,121695,36458,34435,1293,606,2358,958,475,262,136,49,8,470,884,183,30813,4682,31697,4865
2021,Peterborough,E06000031,215674,110438,30711,24444,447,188,1995,949,411,240,104,14,3,274,643,121,41804,4883,42447,5004
2021,Luton,E06000032,225264,131448,20872,14418,248,83,1566,732,255,312,66,6,2,193,3087,246,46886,6410,49973,6656
2021,Southend-on-Sea,E06000033,180684,101519,33968,28090,367,124,1326,637,262,190,56,5,0,176,919,172,11761,2438,12680,2610
2021,Thurrock,E06000034,175998,93841,33626,22967,204,92,744,334,110,143,26,3,2,126,755,94,20903,2772,21658,2866
2021,Medway,E06000035,279774,158035,52491,41923,534,204,1867,833,345,261,95,18,2,313,1196,195,19590,3739,20786,3934
2021,Bracknell Forest,E06000036,124608,69020,20291,18952,485,248,1399,590,304,147,73,17,2,266,596,136,10763,2718,11359,2854
2021,West Berkshire,E06000037,161448,91003,26216,26880,896,472,2103,833,479,198,111,30,8,444,823,219,9622,3214,10445,3433
2021,Reading,E06000038,174225,88050,18525,19642,839,426,1786,625,345,250,91,46,8,421,1382,226,36635,6714,38017,6940
2021,Slough,E06000039,158498,96373,11000,8248,183,91,634,278,124,103,22,9,0,98,739,101,35721,5408,36460,5509
2021,Windsor and Maidenhead,E06000040,153496,88267,21045,18612,800,422,2345,911,556,281,121,30,8,438,1312,235,15685,4773,16997,5008
2021,Wokingham,E06000041,177503,103273,24665,25191,838,569,2213,847,545,210,140,30,5,436,965,238,14213,5338,15178,5576
2021,Milton Keynes,E06000042,287058,158075,40676,34267,799,349,3344,1631,682,422,138,26,7,438,1844,271,39784,7649,41628,7920
2021,Brighton and Hove,E06000043,277103,159825,31540,34828,1137,451,3898,1511,636,590,224,97,14,826,2303,707,32917,9497,35220,10204
2021,Portsmouth,E06000044,208002,116370,31450,31477,825,287,2063,905,427,243,113,32,7,336,602,155,21101,3672,21703,3827
2021,Southampton,E06000045,248923,131193,31714,35606,860,381,2307,839,391,370,147,67,8,485,990,287,39048,6537,40038,6824
2021,Isle of Wight,E06000046,140459,77886,30125,24364,594,211,1285,616,229,129,63,29,5,214,456,91,4174,1273,4630,1364
2021,County Durham,E06000047,522068,311459,85933,100898,705,340,5376,2670,1151,552,273,24,2,704,736,287,12644,3690,13380,3977
2021,Cheshire East,E06000049,398770,230803,64628,69180,2136,1046,4513,1869,1052,537,254,23,2,776,1384,344,20102,4634,21486,4978
2021,Cheshire West and Chester,E06000050,357149,208517,53705,62698,5092,2287,4544,1559,914,694,323,22,3,1029,1567,348,14655,3736,16222,4084
2021,Shropshire,E06000051,323604,180564,59995,54816,6789,2601,4034,1304,623,445,238,44,7,1373,978,227,10821,2779,11799,3006
2021,Cornwall,E06000052,570305,297322,90096,53793,3815,940,101219,2629,707,605,224,79938,9032,8084,1353,434,16606,4727,17959,5161
2021,Isles of Scilly,E06000053,2050,1136,354,257,12,3,156,10,5,3,0,114,8,16,6,0,84,42,90,42
2021,Wiltshire,E06000054,510338,293542,86617,85092,3927,1972,7266,2682,1611,753,525,181,38,1476,1350,468,23069,7035,24419,7503
2021,Bedford,E06000055,185225,104437,28312,21841,524,206,1685,717,306,258,94,23,3,284,1003,219,22750,4248,23753,4467
2021,Central Bedfordshire,E06000056,294247,162780,58076,45649,960,417,3017,1329,682,308,175,33,9,481,1996,313,16884,4155,18880,4468
2021,Northumberland,E06000057,320569,199900,47444,57808,477,218,6804,3989,1734,346,196,17,2,520,528,198,5209,1983,5737,2181
2021,"Bournemouth, Christchurch and Poole",E06000058,400196,218163,68117,62097,1793,831,4111,1755,852,440,197,104,16,747,1450,395,35895,7344,37345,7739
2021,Dorset,E06000059,379577,215286,77066,64261,1853,862,4098,1682,869,390,215,178,30,734,988,266,10980,3917,11968,4183
2021,Buckinghamshire,E06000060,553080,325591,85888,74602,2060,1118,6476,2432,1551,743,390,106,6,1248,3597,787,40535,12426,44132,13213
2021,North Northamptonshire,E06000061,359523,188558,66852,53767,960,419,6852,4019,1469,460,173,23,3,705,1520,268,35106,5221,36626,5489
2021,West Northamptonshire,E06000062,425725,222620,75580,59948,1429,587,4467,2033,821,636,222,40,6,709,2324,382,51631,6757,53955,7139
2021,Cambridge,E07000008,145671,64374,11513,17245,481,318,2457,876,541,312,147,35,14,532,1205,513,37985,9580,39190,10093
2021,East Cambridgeshire,E07000009,87763,48259,15452,14092,294,116,1023,453,259,85,51,8,1,166,388,127,6225,1787,6613,1914
2021,Fenland,E07000010,102462,49853,23418,17326,227,102,826,419,152,86,45,6,2,116,229,52,9516,913,9745,965
2021,Huntingdonshire,E07000011,180833,98790,34289,27875,656,301,2342,1103,510,210,120,31,1,367,646,189,13021,2724,13667,2913
2021,South Cambridgeshire,E07000012,162117,88842,24498,24209,510,339,2334,875,580,238,160,38,5,438,826,279,14544,5736,15370,6015
2021,Allerdale,E07000026,96154,56690,16540,18764,212,103,1432,803,346,92,54,1,2,134,130,41,1629,613,1759,654
2021,Barrow-in-Furness,E07000027,67411,39600,11247,13548,121,51,1044,582,225,86,42,0,1,108,99,21,1387,293,1486,314
2021,Carlisle,E07000028,110024,63138,17537,19941,209,83,3378,2084,789,191,83,5,2,224,242,42,4601,853,4843,895
2021,Copeland,E07000029,67076,39513,11661,13476,115,46,894,496,222,57,26,3,1,89,82,27,970,292,1052,319
