date,geography,geography code,National identity: Total: All usual residents,National identity: British only identity,National identity: English only identity,National identity: English and British only identity,National identity: Welsh only identity,National identity: Welsh and British only identity,National identity: Any other combination of only UK identities,National identity: Scottish only identity,National identity: Scottish and British only identity,National identity: Northern Irish only identity,National identity: Northern Irish and British only identity,National identity: Cornish only identity,National identity: Cornish and British only identity,National identity: Any other combination of only UK identities ,National identity: Irish only identity,National identity: Irish and at least one UK identity,National identity: Other identity only,National identity: Other identity and at least one UK identity,National identity: Non-UK identity only,National identity: UK identity and non-UK identity
2021,North East,E12000001,2647013,1584516,404964,491178,3209,1464,31694,16434,6736,3474,1554,102,12,3382,4755,1398,102538,21297,107293,22695
2021,North West,E12000002,7417397,4371835,1116163,1192824,26763,11193,79855,33862,14341,15113,4868,333,63,11275,35407,6546,488038,88773,523445,95319
2021,Yorkshire and The Humber,E12000003,5480773,3219045,837995,922533,9653,4199,48282,22973,9728,5919,2421,250,51,6940,13312,3698,353334,68722,366646,72420
2021,East Midlands,E12000004,4880054,2664553,894784,770045,12927,5704,47766,22695,9494,5323,2273,399,54,7528,15316,3401,398126,67432,413442,70833
2021,West Midlands,E12000005,5950757,3384240,1006226,868639,29347,12174,44261,17090,7626,6757,2497,445,88,9758,25698,4950,490209,85013,515907,89963
2021,East,E12000006,6335074,3444505,1164836,958921,14988,7033,57015,24761,11890,6848,3041,580,111,9784,33502,6792,534835,112647,568337,119439
2021,London,E12000007,8799729,5011396,717894,594149,19167,10161,78513,29943,15665,13917,4504,799,227,13458,99780,16941,1878830,372898,1978610,389839
2021,South East,E12000008,9278065,5256993,1506684,1354195,33153,16298,99205,39780,21350,11501,5572,1516,284,19202,45521,11029,761797,193190,807318,204219
2021,South West,E12000009,5701188,3166210,965891,905192,43461,18740,161644,24497,11889,6645,3450,83936,9693,21534,17499,5535,331255,85761,348754,91296
2021,Wales,W92000004,3107493,574329,283291,55134,1715975,250641,59750,12219,2074,3620,654,724,86,40373,8756,1981,123056,34580,131812,36561
