date,geography,geography code,Number of disabled people in household: Total: All households,Number of disabled people in household: No people disabled under the Equality Act in household,Number of disabled people in household: 1 person disabled under the Equality Act in household,Number of disabled people in household: 2 or more people disabled under the Equality Act in household
2021,North East,E12000001,1175681,739576,343974,92131
2021,North West,E12000002,3153403,2049142,870295,233966
2021,Yorkshire and The Humber,E12000003,2330656,1544204,623593,162859
2021,East Midlands,E12000004,2037333,1356541,533196,147596
2021,West Midlands,E12000005,2429493,1608817,641412,179264
2021,East,E12000006,2628782,1816840,644288,167654
2021,London,E12000007,3423890,2512350,736752,174788
2021,South East,E12000008,3807964,2663881,911892,232191
2021,South West,E12000009,2448884,1636847,644678,167359
2021,Wales,W92000004,1347112,836508,396883,113721
