date,geography,geography code,Number of disabled people in household: Total: All households,Number of disabled people in household: No people disabled under the Equality Act in household,Number of disabled people in household: 1 person disabled under the Equality Act in household,Number of disabled people in household: 2 or more people disabled under the Equality Act in household
2021,Hartlepool,E06000001,40930,24700,12660,3570
2021,Middlesbrough,E06000002,60262,37850,17717,4695
2021,Redcar and Cleveland,E06000003,61638,38039,18560,5039
2021,Stockton-on-Tees,E06000004,83757,54323,22977,6457
2021,Darlington,E06000005,48918,32403,13283,3232
2021,Halton,E06000006,55951,34172,16725,5054
2021,Warrington,E06000007,90538,62081,22706,5751
2021,Blackburn with Darwen,E06000008,58767,37063,16911,4793
2021,Blackpool,E06000009,64789,38044,20908,5837
2021,"Kingston upon Hull, City of",E06000010,115472,74379,32763,8330
2021,East Riding of Yorkshire,E06000011,152066,103392,38887,9787
2021,North East Lincolnshire,E06000012,69826,45046,19631,5149
2021,North Lincolnshire,E06000013,73173,47873,19698,5602
2021,York,E06000014,85459,59441,21101,4917
2021,Derby,E06000015,105650,68691,28687,8272
2021,Leicester,E06000016,127388,85516,32364,9508
2021,Rutland,E06000017,16694,11898,3911,885
2021,Nottingham,E06000018,124743,79960,35464,9319
2021,"Herefordshire, County of",E06000019,82827,55695,21806,5326
2021,Telford and Wrekin,E06000020,76512,48859,21113,6540
2021,Stoke-on-Trent,E06000021,110400,68681,32444,9275
2021,Bath and North East Somerset,E06000022,79250,54991,19632,4627
2021,"Bristol, City of",E06000023,191637,129906,48960,12771
2021,North Somerset,E06000024,94648,63326,25108,6214
2021,South Gloucestershire,E06000025,118101,81794,28810,7497
2021,Plymouth,E06000026,114559,71436,33487,9636
2021,Torbay,E06000027,62994,38229,19193,5572
2021,Swindon,E06000030,95862,66887,23016,5959
2021,Peterborough,E06000031,84533,57836,20888,5809
2021,Luton,E06000032,78939,55383,18393,5163
2021,Southend-on-Sea,E06000033,78344,53041,20096,5207
2021,Thurrock,E06000034,66377,46785,15148,4444
2021,Medway,E06000035,111458,74749,28248,8461
2021,Bracknell Forest,E06000036,50248,37077,10576,2595
2021,West Berkshire,E06000037,66658,48204,14918,3536
2021,Reading,E06000038,67683,49352,14645,3686
2021,Slough,E06000039,52423,38615,10810,2998
2021,Windsor and Maidenhead,E06000040,60932,46176,12162,2594
2021,Wokingham,E06000041,69163,52028,13859,3276
2021,Milton Keynes,E06000042,113102,80128,26204,6770
2021,Brighton and Hove,E06000043,121402,81781,31861,7760
2021,Portsmouth,E06000044,86155,57920,22533,5702
2021,Southampton,E06000045,102291,68838,26565,6888
2021,Isle of Wight,E06000046,64775,40110,19417,5248
2021,County Durham,E06000047,234761,143487,71333,19941
2021,Cheshire East,E06000049,174856,122084,42570,10202
2021,Cheshire West and Chester,E06000050,155156,104375,40016,10765
2021,Shropshire,E06000051,139579,93595,36594,9390
2021,Cornwall,E06000052,250535,158445,71789,20301
