date,geography,geography code,Occupation (current): Total: All usual residents aged 16 years and over in employment the week before the census,"Occupation (current): 1. Managers, directors and senior officials",Occupation (current): 2. Professional occupations,Occupation (current): 3. Associate professional and technical occupations,Occupation (current): 4. Administrative and secretarial occupations,Occupation (current): 5. Skilled trades occupations,"Occupation (current): 6. Caring, leisure and other service occupations",Occupation (current): 7. Sales and customer service occupations,"Occupation (current): 8. Process, plant and machine operatives",Occupation (current): 9. Elementary occupations
2021,Hartlepool,E06000001,37749,3348,5838,4497,3391,4736,4381,3613,3622,4323
2021,Middlesbrough,E06000002,56434,4409,8996,6109,4856,5906,7578,5394,5577,7609
2021,Redcar and Cleveland,E06000003,55623,4801,8411,6605,4983,6800,7430,4760,5345,6488
2021,Stockton-on-Tees,E06000004,86442,8985,16671,10903,8413,8868,8858,7330,6993,9421
2021,Darlington,E06000005,49296,5230,8463,5973,4961,5042,4895,4657,3847,6228
2021,Halton,E06000006,58706,5870,8767,7260,5877,5667,5585,6143,5884,7653
2021,Warrington,E06000007,103191,13604,20853,13972,10010,8742,8344,8503,7152,12011
2021,Blackburn with Darwen,E06000008,63556,5966,10409,6781,6291,6744,7201,6277,6470,7417
2021,Blackpool,E06000009,59362,6200,7502,6001,6631,6480,8632,5743,4715,7458
2021,"Kingston upon Hull, City of",E06000010,117789,8253,14557,11961,9378,15820,13117,11993,14573,18137
2021,East Riding of Yorkshire,E06000011,156119,21363,28215,19406,14215,19462,14891,11084,11365,16118
2021,North East Lincolnshire,E06000012,68851,6058,8490,7328,5865,8108,7344,5685,10396,9577
2021,North Lincolnshire,E06000013,76223,8279,10321,8278,6393,9215,7323,6003,10070,10341
2021,York,E06000014,96198,11603,23463,12626,8190,8627,8466,8205,4966,10052
2021,Derby,E06000015,116200,10517,21692,13293,9880,10981,11704,9862,11558,16713
2021,Leicester,E06000016,154936,11006,24074,13678,12354,12069,15552,14761,22261,29181
2021,Rutland,E06000017,18783,3426,3567,3063,1583,1897,1577,1051,1021,1598
2021,Nottingham,E06000018,128866,10297,24432,14343,10112,10634,14291,12113,11229,21415
2021,"Herefordshire, County of",E06000019,88507,11979,14131,9965,7964,12927,8686,6212,6943,9700
2021,Telford and Wrekin,E06000020,85498,9152,14031,10426,7686,8883,8386,6757,9432,10745
2021,Stoke-on-Trent,E06000021,112579,8808,14100,10978,9334,13468,13618,11057,12577,18639
2021,Bath and North East Somerset,E06000022,89812,13076,22044,12201,7921,8841,7631,5875,4102,8121
2021,"Bristol, City of",E06000023,238513,24219,64929,35165,20448,19912,19568,16410,13017,24845
2021,North Somerset,E06000024,102702,14625,20359,13585,10134,10436,10139,7377,6711,9336
2021,South Gloucestershire,E06000025,147612,17918,31300,19437,17372,16114,12405,10669,8855,13542
2021,Plymouth,E06000026,121018,10874,20138,15675,11406,15496,13823,11112,9029,13465
2021,Torbay,E06000027,58933,7199,8239,6364,4952,7759,8347,5143,4109,6821
2021,Swindon,E06000030,117865,12567,21222,14798,11300,11519,10317,9729,10909,15504
2021,Peterborough,E06000031,100968,9979,15830,11291,9118,8947,9135,8723,11152,16793
2021,Luton,E06000032,98721,8547,15550,9938,8433,9659,10526,7854,11485,16729
2021,Southend-on-Sea,E06000033,83260,10787,15911,11769,9250,8227,8171,6369,5062,7714
2021,Thurrock,E06000034,85948,9480,12527,9673,10207,9661,7211,7076,8615,11498
2021,Medway,E06000035,132610,14826,21929,17307,13910,15896,12828,10137,11111,14666
2021,Bracknell Forest,E06000036,66398,10132,13742,10767,6650,6604,5981,4304,2967,5251
2021,West Berkshire,E06000037,82307,13269,18327,12023,7806,8216,7031,5211,4027,6397
2021,Reading,E06000038,88868,9390,22757,11993,7062,6953,8079,6736,5095,10803
2021,Slough,E06000039,73701,7303,13888,8098,6736,6230,6884,6122,7650,10790
2021,Windsor and Maidenhead,E06000040,76302,15930,18678,12666,6582,5784,5427,3770,2848,4617
2021,Wokingham,E06000041,89467,15849,25529,14751,8325,6594,5939,4739,3103,4638
2021,Milton Keynes,E06000042,143378,18299,30540,19938,13825,11004,11017,11353,9345,18057
2021,Brighton and Hove,E06000043,139292,19701,36478,23620,10344,10753,12075,10144,5135,11042
2021,Portsmouth,E06000044,97787,9806,18084,12207,8982,10663,10674,8481,7288,11602
2021,Southampton,E06000045,118228,10223,23404,14011,9892,12153,12651,9903,10307,15684
2021,Isle of Wight,E06000046,57913,7243,8981,6602,4850,8084,7591,5104,3588,5870
2021,County Durham,E06000047,222215,22537,37179,26917,21178,26099,23112,19432,20568,25193
2021,Cheshire East,E06000049,192488,31910,41211,26358,17063,17214,15574,13131,11778,18249
2021,Cheshire West and Chester,E06000050,169088,23721,34739,22261,14966,15809,14821,13851,11667,17253
2021,Shropshire,E06000051,152424,21180,26819,18664,13271,21109,15219,10852,10178,15132
2021,Cornwall,E06000052,254248,32386,39181,28474,20774,39684,28356,20800,17293,27300
2021,Isles of Scilly,E06000053,1113,191,139,124,75,191,150,84,65,94
2021,Wiltshire,E06000054,252345,36607,46920,37260,25833,28608,22686,16548,15405,22478
2021,Bedford,E06000055,90865,11797,18284,12254,8152,8798,8128,6498,6134,10820
2021,Central Bedfordshire,E06000056,151077,22832,29383,22805,15297,16739,12379,9605,9246,12791
2021,Northumberland,E06000057,140777,17405,24722,17034,13435,16928,15432,12010,9968,13843
2021,"Bournemouth, Christchurch and Poole",E06000058,186030,24266,36384,24034,16486,20154,19901,16046,11031,17728
2021,Dorset,E06000059,167777,24133,29063,21194,15632,23230,17212,11930,9525,15858
2021,Buckinghamshire,E06000060,273236,50441,61466,40954,25760,25403,21485,16538,12757,18432
2021,North Northamptonshire,E06000061,178855,21751,26861,20376,16768,19477,15814,13354,17639,26815
2021,West Northamptonshire,E06000062,215995,28471,37897,27068,20833,21932,18001,14527,16341,30925
2021,Cambridge,E07000008,70598,7446,29962,8532,4096,3577,4824,3444,2374,6343
2021,East Cambridgeshire,E07000009,44695,6481,9649,6118,4221,5026,4144,2585,2804,3667
2021,Fenland,E07000010,47108,5028,5248,5157,4115,6175,4963,3505,6615,6302
2021,Huntingdonshire,E07000011,91391,13200,18416,13493,9425,9129,7496,6112,6414,7706
2021,South Cambridgeshire,E07000012,82267,12816,26002,11201,6957,7037,5938,3902,3129,5285
2021,Allerdale,E07000026,44233,4706,7009,4719,3426,7104,4687,3387,4250,4945
2021,Barrow-in-Furness,E07000027,31183,2492,5711,3840,2441,4736,3566,2520,2301,3576
2021,Carlisle,E07000028,52948,5484,7894,5344,4792,6818,5251,4589,6291,6485
2021,Copeland,E07000029,30570,2807,5181,4124,2443,4328,2943,2032,2965,3747
2021,Eden,E07000030,27333,3671,3792,2700,2095,4960,2364,2077,2432,3242
2021,South Lakeland,E07000031,50137,7534,9048,5431,3865,7832,4555,3813,2664,5395
2021,Amber Valley,E07000032,60171,7635,10404,7440,5461,7697,5428,4428,5454,6224
2021,Bolsover,E07000033,38103,3841,5001,3924,3409,4661,4388,3206,3863,5810
2021,Chesterfield,E07000034,47532,4995,7994,5317,4528,5337,5679,4290,3865,5527
2021,Derbyshire Dales,E07000035,33230,5537,6783,3701,2802,4545,2650,1875,2275,3062
2021,Erewash,E07000036,54967,6133,9102,6609,5418,6881,5028,4547,4747,6502
2021,High Peak,E07000037,44614,5873,8839,5598,3694,5209,4453,3120,3593,4235
2021,North East Derbyshire,E07000038,46563,6028,8011,5492,4610,5813,4639,3731,3527,4712
2021,South Derbyshire,E07000039,53905,7651,10303,6889,5007,5736,4688,3607,4674,5350
2021,East Devon,E07000040,66727,9434,11683,8240,5925,9147,7043,5259,3597,6399
2021,Exeter,E07000041,59699,5846,14748,7326,5305,5353,5803,5109,3654,6555
2021,Mid Devon,E07000042,40283,5312,6482,4430,3586,6041,3907,3127,3277,4121
2021,North Devon,E07000043,45163,5749,6898,5067,3618,7162,4874,3406,3237,5152
2021,South Hams,E07000044,40582,6738,8286,5137,3261,6131,3274,2680,1729,3346
2021,Teignbridge,E07000045,62138,8403,11561,7544,5507,8125,6677,4663,3910,5748
2021,Torridge,E07000046,30053,3595,3801,2900,2524,5648,3723,2332,2211,3319
2021,West Devon,E07000047,25384,3458,4444,2889,2122,4264,2456,1751,1529,2471
2021,Eastbourne,E07000061,43832,4928,7784,5138,3906,4792,6068,3769,2554,4893
2021,Hastings,E07000062,40899,4437,6752,5489,3816,5063,5531,3410,2558,3843
2021,Lewes,E07000063,44507,6557,8783,6518,3919,5301,4522,2991,2322,3594
2021,Rother,E07000064,37934,5866,6478,4725,3745,5289,4322,2671,1827,3011
2021,Wealden,E07000065,74545,12879,13625,10220,7390,9736,7230,4892,3119,5454
2021,Basildon,E07000066,89011,10880,15369,11530,10680,9967,7924,6581,6499,9581
2021,Braintree,E07000067,76282,10693,12192,10303,7892,9669,7290,5565,5335,7343
2021,Brentwood,E07000068,37901,7010,8922,6046,4613,3263,2536,1878,1496,2137
2021,Castle Point,E07000069,41006,5373,5837,5381,5352,5501,3806,3106,3152,3498
2021,Chelmsford,E07000070,89862,13598,20713,13126,9815,8348,6873,5736,4399,7254
2021,Colchester,E07000071,92015,11921,18906,13059,8486,9315,9682,6866,5425,8355
2021,Epping Forest,E07000072,65796,12368,13155,9395,7991,6959,4587,3561,3371,4409
2021,Harlow,E07000073,45981,4808,6889,5202,4968,5411,4800,3669,4302,5932
2021,Maldon,E07000074,31255,5186,4980,4132,3538,4224,2414,2192,1974,2615
2021,Rochford,E07000075,40658,5903,7360,6021,5392,4730,3317,2677,2329,2929
2021,Tendring,E07000076,58280,7191,7457,6596,5591,8071,7829,5007,4518,6020
2021,Uttlesford,E07000077,45743,8868,9467,7026,4584,4670,3478,2525,2101,3024
2021,Cheltenham,E07000078,59158,7892,14593,7823,6836,4921,4702,4264,2805,5322
2021,Cotswold,E07000079,44079,8540,8375,5834,3804,5403,3585,2872,1972,3694
2021,Forest of Dean,E07000080,39992,5126,6221,4875,3797,5815,4347,2677,3192,3942
2021,Gloucester,E07000081,65621,6245,10844,8019,7174,7208,7580,5648,5576,7327
2021,Stroud,E07000082,59918,8984,12574,8210,5380,7354,5190,3714,3617,4895
