date,geography,geography code,Occupation (current): Total: All usual residents aged 16 years and over in employment the week before the census,"Occupation (current): 1. Managers, directors and senior officials",Occupation (current): 2. Professional occupations,Occupation (current): 3. Associate professional and technical occupations,Occupation (current): 4. Administrative and secretarial occupations,Occupation (current): 5. Skilled trades occupations,"Occupation (current): 6. Caring, leisure and other service occupations",Occupation (current): 7. Sales and customer service occupations,"Occupation (current): 8. Process, plant and machine operatives",Occupation (current): 9. Elementary occupations
2021,North East,E12000001,1138056,112546,207319,138466,111276,120941,120123,107476,93930,125979
2021,North West,E12000002,3341746,381837,642943,422028,323044,334817,334929,281995,253570,366583
2021,Yorkshire and The Humber,E12000003,2461368,275517,445150,302214,222600,272789,239674,204822,207067,291535
2021,East Midlands,E12000004,2272324,272040,397272,271177,206288,246106,215486,174907,201645,287403
2021,West Midlands,E12000005,2638889,304067,484581,311517,247300,283488,252225,206242,225733,323736
2021,East,E12000006,3028641,413913,593363,403020,297310,323622,274802,212902,209244,300465
2021,London,E12000007,4360077,634405,1123398,668876,370335,328042,336092,276860,219351,402718
2021,South East,E12000008,4471777,665423,948916,637552,418153,447317,406891,304995,248363,394167
2021,South West,E12000009,2692334,344168,513706,344899,250257,326017,266925,202354,173764,270244
2021,Wales,W92000004,1368451,143938,249466,161273,128116,166613,153029,114559,107475,143982
