date,geography,geography code,Provision of unpaid care: Provides no unpaid care,Provision of unpaid care: Provides 19 or less hours unpaid care a week,Provision of unpaid care: Provides 20 to 49 hours unpaid care a week,Provision of unpaid care: Provides 50 or more hours unpaid carea week
2021,Hartlepool,E06000001,89.0,4.2,2.9,3.9
2021,Middlesbrough,E06000002,90.2,3.7,2.6,3.5
2021,Redcar and Cleveland,E06000003,89.5,4.2,2.5,3.7
2021,Stockton-on-Tees,E06000004,90.1,4.2,2.3,3.4
2021,Darlington,E06000005,90.5,4.4,2.1,3.0
2021,Halton,E06000006,88.7,4.6,2.7,4.0
2021,Warrington,E06000007,90.6,4.8,1.9,2.7
2021,Blackburn with Darwen,E06000008,90.2,4.0,2.5,3.4
2021,Blackpool,E06000009,89.1,4.3,2.7,3.9
2021,"Kingston upon Hull, City of",E06000010,91.1,3.4,2.1,3.5
2021,East Riding of Yorkshire,E06000011,91.2,4.4,1.7,2.6
2021,North East Lincolnshire,E06000012,90.6,4.0,2.2,3.2
2021,North Lincolnshire,E06000013,90.6,4.1,2.1,3.1
2021,York,E06000014,92.0,4.6,1.3,2.1
2021,Derby,E06000015,90.4,4.3,2.2,3.1
2021,Leicester,E06000016,91.4,3.4,2.2,3.0
2021,Rutland,E06000017,92.2,4.5,1.2,2.1
2021,Nottingham,E06000018,90.6,3.9,2.2,3.2
2021,"Herefordshire, County of",E06000019,91.2,4.7,1.6,2.4
2021,Telford and Wrekin,E06000020,89.4,4.8,2.3,3.5
2021,Stoke-on-Trent,E06000021,89.8,4.3,2.4,3.5
2021,Bath and North East Somerset,E06000022,91.5,4.9,1.5,2.2
2021,"Bristol, City of",E06000023,91.3,4.5,1.7,2.5
2021,North Somerset,E06000024,91.2,4.8,1.6,2.4
2021,South Gloucestershire,E06000025,91.2,4.8,1.6,2.4
2021,Plymouth,E06000026,90.1,4.4,2.2,3.3
2021,Torbay,E06000027,89.1,4.8,2.4,3.6
2021,Swindon,E06000030,91.5,4.2,1.8,2.6
2021,Peterborough,E06000031,91.3,3.9,2.0,2.8
2021,Luton,E06000032,91.5,3.7,2.1,2.8
