date,geography,geography code,Provision of unpaid care: Provides no unpaid care,Provision of unpaid care: Provides 19 or less hours unpaid care a week,Provision of unpaid care: Provides 20 to 49 hours unpaid care a week,Provision of unpaid care: Provides 50 or more hours unpaid carea week
2021,North East,E12000001,89.9,4.3,2.3,3.4
2021,North West,E12000002,90.3,4.5,2.1,3.1
2021,Yorkshire and The Humber,E12000003,90.7,4.4,2.0,2.9
2021,East Midlands,E12000004,90.6,4.6,1.9,2.9
2021,West Midlands,E12000005,90.5,4.5,2.1,3.0
2021,East,E12000006,91.3,4.5,1.7,2.5
2021,London,E12000007,92.2,3.8,1.7,2.3
2021,South East,E12000008,91.6,4.5,1.6,2.4
2021,South West,E12000009,91.0,4.7,1.7,2.6
2021,Wales,W92000004,89.5,4.7,2.2,3.6
