date,geography,geography code,Provision of unpaid care: Total: All usual residents aged 5 and over,Provision of unpaid care: Provides no unpaid care,Provision of unpaid care: Provides 19 hours or less unpaid care a week,Provision of unpaid care: Provides 9 hours or less unpaid care a week,Provision of unpaid care: Provides 10 to 19 hours unpaid care a week,Provision of unpaid care: Provides 20 to 49 hours unpaid care a week,Provision of unpaid care: Provides 20 to 34 hours unpaid care a week,Provision of unpaid care: Provides 35 to 49 hours unpaid care a week,Provision of unpaid care: Provides 50 or more hours unpaid care a week
2021,Hartlepool,E06000001,87356,77802,3660,2410,1250,2512,1062,1450,3382
2021,Middlesbrough,E06000002,134996,122459,4781,3124,1657,3340,1467,1873,4416
2021,Redcar and Cleveland,E06000003,129717,115877,5578,3768,1810,3254,1394,1860,5008
2021,Stockton-on-Tees,E06000004,185862,167639,7785,5353,2432,4240,1867,2373,6198
2021,Darlington,E06000005,102305,92501,4595,3277,1318,2108,900,1208,3101
2021,Halton,E06000006,121521,107792,5660,3777,1883,3322,1497,1825,4747
2021,Warrington,E06000007,200341,181242,9837,7158,2679,3801,1818,1983,5461
2021,Blackburn with Darwen,E06000008,144682,131403,5484,3649,1835,3396,1531,1865,4399
2021,Blackpool,E06000009,133676,119063,5829,3856,1973,3523,1534,1989,5261
2021,"Kingston upon Hull, City of",E06000010,251061,229820,8148,5515,2633,5147,2025,3122,7946
2021,East Riding of Yorkshire,E06000011,327527,296909,15283,11286,3997,5651,2662,2989,9684
2021,North East Lincolnshire,E06000012,148510,134457,6002,4176,1826,3202,1359,1843,4849
2021,North Lincolnshire,E06000013,161235,145805,6836,4734,2102,3408,1562,1846,5186
2021,York,E06000014,194206,179338,8620,6550,2070,2445,1229,1216,3803
2021,Derby,E06000015,246144,223874,10052,7096,2956,5157,2392,2765,7061
2021,Leicester,E06000016,346269,319742,10963,7262,3701,7054,3222,3832,8510
2021,Rutland,E06000017,39405,36234,1817,1419,398,476,226,250,878
2021,Nottingham,E06000018,305813,281467,10610,7365,3245,6026,2707,3319,7710
2021,"Herefordshire, County of",E06000019,178605,162028,8815,6510,2305,2952,1448,1504,4810
2021,Telford and Wrekin,E06000020,174980,156954,8214,5959,2255,3913,1773,2140,5899
2021,Stoke-on-Trent,E06000021,242744,219182,10014,6785,3229,5505,2419,3086,8043
2021,Bath and North East Somerset,E06000022,184388,169418,8570,6485,2085,2551,1282,1269,3849
2021,"Bristol, City of",E06000023,446523,412550,17739,13233,4506,6916,3194,3722,9318
