date,geography,geography code,Religion (detailed): Total: All Usual Residents,Religion (detailed): Christian,Religion (detailed): Buddhist,Religion (detailed): Hindu,Religion (detailed): Jewish,Religion (detailed): Muslim ,Religion (detailed): Sikh,Religion (detailed): No religion,Religion (detailed): No religion: Agnostic,Religion (detailed): No religion: Atheist,Religion (detailed): No religion: Free Thinker,Religion (detailed): No religion: Humanist,Religion (detailed): No religion: No religion,Religion (detailed): No religion: Realist,Religion (detailed): Other religion,Religion (detailed): Other religion: Alevi,Religion (detailed): Other religion: Animism,Religion (detailed): Other religion: Baha'i,Religion (detailed): Other religion: Believe in God,Religion (detailed): Other religion: Brahma Kumari,Religion (detailed): Other religion: Chinese Religion,Religion (detailed): Other religion: Church of All Religion,Religion (detailed): Other religion: Confucianist,Religion (detailed): Other religion: Deist,Religion (detailed): Other religion: Druid,Religion (detailed): Other religion: Druze,Religion (detailed): Other religion: Eckankar,Religion (detailed): Other religion: Heathen,Religion (detailed): Other religion: Jain,Religion (detailed): Other religion: Mixed Religion,Religion (detailed): Other religion: Mysticism,Religion (detailed): Other religion: Native American Church,Religion (detailed): Other religion: New Age,Religion (detailed): Other religion: Occult,Religion (detailed): Other religion: Other religions,Religion (detailed): Other religion: Own Belief System,Religion (detailed): Other religion: Pagan,Religion (detailed): Other religion: Pantheism,Religion (detailed): Other religion: Rastafarian,Religion (detailed): Other religion: Ravidassia,Religion (detailed): Other religion: Reconstructionist,Religion (detailed): Other religion: Satanism,Religion (detailed): Other religion: Scientology,Religion (detailed): Other religion: Shamanism,Religion (detailed): Other religion: Shintoism,Religion (detailed): Other religion: Spiritual,Religion (detailed): Other religion: Spiritualist,Religion (detailed): Other religion: Taoist,Religion (detailed): Other religion: Theism,Religion (detailed): Other religion: Thelemite,Religion (detailed): Other religion: Traditional African Religion,Religion (detailed): Other religion: Unification Church,Religion (detailed): Other religion: Universalist,Religion (detailed): Other religion: Valmiki,Religion (detailed): Other religion: Vodun,Religion (detailed): Other religion: Wicca,Religion (detailed): Other religion: Witchcraft,Religion (detailed): Other religion: Yazidi ,Religion (detailed): Other religion: Zoroastrian,Religion (detailed): Religion not stated
2021,North East,E12000001,2647013,1343948,7026,10924,4389,72102,7206,1058121,1045,526,8,334,1056206,2,9952,130,19,136,51,0,3,0,6,47,99,5,8,258,107,193,3,4,15,24,1869,72,2875,67,86,17,30,309,33,21,42,836,1670,103,24,8,8,6,21,0,6,596,37,7,101,133345
2021,North West,E12000002,7417406,3895779,23028,49749,33285,563105,11862,2419624,3117,1429,30,982,2414061,5,28112,359,52,479,201,9,34,3,6,88,232,26,25,542,716,734,9,2,33,53,6091,198,7865,218,408,47,73,601,113,97,90,2822,3316,342,107,30,50,22,63,1,27,1511,117,72,228,392862
2021,Yorkshire and The Humber,E12000003,5480779,2461519,15803,29243,9355,442533,24034,2161185,2695,1206,23,847,2156406,8,23623,845,72,304,170,30,9,3,8,78,209,15,17,545,209,495,11,7,28,46,4961,210,6631,177,377,267,63,524,74,342,69,2028,2830,276,80,23,29,8,56,5,11,1242,91,31,117,313484
2021,East Midlands,E12000004,4880053,2214151,14521,120345,4313,210766,53950,1950354,2309,1023,20,738,1946259,5,24812,757,43,269,196,19,2,1,5,83,222,20,24,466,1324,755,7,12,26,39,4606,157,7227,151,392,461,55,428,56,120,52,2019,2963,214,57,14,32,1,44,23,5,1190,84,47,144,286841
2021,West Midlands,E12000005,5950757,2770559,18804,88116,4394,569963,172398,1955003,2332,1038,23,789,1950811,10,31806,176,57,323,195,15,3,2,4,84,233,10,17,479,629,1031,8,4,22,32,5460,172,6932,165,883,5835,59,423,114,498,77,2180,3097,281,61,14,36,8,52,475,15,1326,90,58,171,339714
2021,East,E12000006,6335071,2955071,26814,86631,42012,234744,24284,2544509,3242,1496,34,1166,2538560,11,36379,2591,58,498,227,16,10,2,5,106,237,20,24,501,2522,1263,9,7,50,48,6904,251,7969,252,425,969,83,569,77,538,121,3176,4016,388,112,11,53,14,77,307,11,1376,108,10,368,384627
2021,London,E12000007,8799725,3577681,77425,453034,145466,1318754,144543,2380405,6076,2334,38,1304,2370646,7,86755,19637,118,1086,686,91,25,3,29,228,165,445,117,306,17521,3466,31,8,60,62,16071,374,4620,352,2126,1283,122,522,263,1303,500,6919,3206,794,162,37,344,107,137,141,110,925,111,89,2053,615662
2021,South East,E12000008,9278066,4313319,54433,154748,18682,309067,74348,3733094,5627,2350,69,1905,3723135,8,54096,577,136,935,378,42,18,5,8,189,422,53,64,750,1602,1939,25,15,69,76,10606,348,12642,405,559,641,119,795,989,3971,266,5600,5705,615,145,35,69,27,136,81,38,2143,172,24,662,566279
2021,South West,E12000009,5701189,2635872,24579,27746,7387,80152,7465,2513372,3908,1654,45,1514,2506233,18,36884,391,175,458,210,6,7,3,5,133,449,25,23,629,261,1106,34,11,69,77,6661,288,11868,375,547,44,94,582,114,735,120,4338,4191,510,81,38,30,5,137,0,20,1637,158,55,184,367732
2021,Wales,W92000004,3107497,1354773,10075,12242,2044,66947,4048,1446398,1762,792,15,667,1443157,5,15929,212,69,227,101,6,3,2,0,57,222,7,10,243,102,420,9,8,23,33,2789,130,5104,141,146,9,45,303,26,265,38,1693,2140,199,30,18,10,7,42,0,11,867,77,21,64,195041
