date,geography,geography code,Religion (detailed): Total: All Usual Residents,Religion (detailed): Christian,Religion (detailed): Buddhist,Religion (detailed): Hindu,Religion (detailed): Jewish,Religion (detailed): Muslim ,Religion (detailed): Sikh,Religion (detailed): No religion,Religion (detailed): No religion: Agnostic,Religion (detailed): No religion: Atheist,Religion (detailed): No religion: Free Thinker,Religion (detailed): No religion: Humanist,Religion (detailed): No religion: No religion,Religion (detailed): No religion: Realist,Religion (detailed): Other religion,Religion (detailed): Other religion: Alevi,Religion (detailed): Other religion: Animism,Religion (detailed): Other religion: Baha'i,Religion (detailed): Other religion: Believe in God,Religion (detailed): Other religion: Brahma Kumari,Religion (detailed): Other religion: Chinese Religion,Religion (detailed): Other religion: Church of All Religion,Religion (detailed): Other religion: Confucianist,Religion (detailed): Other religion: Deist,Religion (detailed): Other religion: Druid,Religion (detailed): Other religion: Druze,Religion (detailed): Other religion: Eckankar,Religion (detailed): Other religion: Heathen,Religion (detailed): Other religion: Jain,Religion (detailed): Other religion: Mixed Religion,Religion (detailed): Other religion: Mysticism,Religion (detailed): Other religion: Native American Church,Religion (detailed): Other religion: New Age,Religion (detailed): Other religion: Occult,Religion (detailed): Other religion: Other religions,Religion (detailed): Other religion: Own Belief System,Religion (detailed): Other religion: Pagan,Religion (detailed): Other religion: Pantheism,Religion (detailed): Other religion: Rastafarian,Religion (detailed): Other religion: Ravidassia,Religion (detailed): Other religion: Reconstructionist,Religion (detailed): Other religion: Satanism,Religion (detailed): Other religion: Scientology,Religion (detailed): Other religion: Shamanism,Religion (detailed): Other religion: Shintoism,Religion (detailed): Other religion: Spiritual,Religion (detailed): Other religion: Spiritualist,Religion (detailed): Other religion: Taoist,Religion (detailed): Other religion: Theism,Religion (detailed): Other religion: Thelemite,Religion (detailed): Other religion: Traditional African Religion,Religion (detailed): Other religion: Unification Church,Religion (detailed): Other religion: Universalist,Religion (detailed): Other religion: Valmiki,Religion (detailed): Other religion: Vodun,Religion (detailed): Other religion: Wicca,Religion (detailed): Other religion: Witchcraft,Religion (detailed): Other religion: Yazidi ,Religion (detailed): Other religion: Zoroastrian,Religion (detailed): Religion not stated
2021,Hartlepool,E06000001,92338,48495,180,222,27,1213,166,36995,23,21,0,3,36948,0,285,0,0,1,1,0,0,0,0,3,5,0,0,12,6,4,0,0,0,0,47,2,85,1,1,0,0,14,0,3,0,23,45,5,3,0,0,0,0,0,0,18,1,0,5,4755
2021,Middlesbrough,E06000002,143923,66143,437,1436,41,14703,606,52415,38,22,0,10,52345,0,459,0,0,5,4,0,0,0,0,3,8,0,0,7,2,3,0,0,0,0,102,5,134,2,9,0,2,20,2,1,2,36,69,5,1,0,2,0,1,0,0,28,1,1,4,7683
2021,Redcar and Cleveland,E06000003,136530,72359,280,139,37,984,70,54921,39,25,0,16,54841,0,492,0,0,2,2,0,0,0,0,3,4,0,0,13,3,6,1,1,0,1,83,5,192,3,4,0,0,13,0,1,3,45,62,4,1,0,0,0,0,0,1,35,4,0,0,7248
2021,Stockton-on-Tees,E06000004,196593,100420,532,811,61,6675,782,76839,61,38,2,19,76719,0,549,2,2,0,6,0,0,0,0,5,5,0,0,11,13,10,0,1,1,0,97,2,182,8,4,0,4,16,1,0,2,44,84,2,0,0,0,1,3,0,0,33,3,2,5,9924
2021,Darlington,E06000005,107801,56194,344,453,36,1849,443,42780,41,35,0,17,42687,0,406,4,1,6,3,0,0,0,0,2,3,0,0,11,1,11,0,0,0,3,82,2,120,3,5,0,1,9,2,1,2,43,62,5,1,1,0,0,1,0,0,20,1,0,0,5296
2021,Halton,E06000006,128476,75269,291,327,46,805,80,45260,39,16,2,9,45194,0,452,0,0,0,0,0,0,0,0,0,2,0,0,5,0,3,0,0,0,0,96,0,146,2,3,0,1,6,1,1,2,37,119,1,1,1,0,0,0,0,2,22,0,0,1,5946
2021,Warrington,E06000007,210978,119650,605,1495,190,3686,478,73041,72,45,1,23,72900,0,799,9,0,8,9,0,0,0,0,3,4,0,1,22,22,28,0,0,0,2,159,8,241,0,12,0,0,11,3,9,8,80,104,6,1,0,0,0,1,0,0,40,1,5,2,11034
2021,Blackburn with Darwen,E06000008,154738,58793,262,483,49,54146,139,32717,43,17,0,11,32646,0,438,0,0,5,1,0,4,1,0,1,4,1,0,14,9,7,0,0,2,0,118,3,110,4,5,0,0,5,1,1,1,29,58,5,1,0,0,0,1,0,0,23,0,3,21,7711
2021,Blackpool,E06000009,141034,71698,500,511,227,2004,109,57812,50,30,1,12,57719,0,705,0,1,2,2,0,0,0,0,3,6,0,3,17,3,8,1,0,1,0,123,4,244,7,8,0,0,14,0,1,1,37,158,7,0,1,4,0,1,0,0,43,2,0,3,7468
2021,"Kingston upon Hull, City of",E06000010,267016,106411,746,646,146,9285,277,131424,134,49,2,26,131212,1,1124,81,1,24,3,1,0,0,0,4,8,0,0,38,9,12,0,0,0,1,239,5,397,6,13,9,2,24,1,3,3,62,76,9,5,0,3,0,1,0,0,72,7,2,3,16957
2021,East Riding of Yorkshire,E06000011,342215,182396,885,758,284,1966,227,133915,139,49,6,59,133662,0,1224,15,1,5,17,0,0,1,0,3,12,0,0,31,9,25,0,0,1,4,205,13,463,9,16,3,6,12,5,4,6,101,145,9,8,1,0,0,2,3,1,81,4,0,3,20560
2021,North East Lincolnshire,E06000012,156969,71063,417,425,79,1922,183,73008,57,27,0,13,72911,0,654,10,1,5,7,0,0,0,0,3,7,4,0,22,5,14,0,1,0,0,155,4,171,2,14,0,0,11,5,0,1,43,102,7,1,1,0,0,1,0,0,52,4,1,0,9218
2021,North Lincolnshire,E06000013,169685,88455,406,418,49,4201,566,65585,56,24,0,22,65478,5,615,19,1,4,2,0,0,0,0,2,7,0,0,15,1,17,0,0,2,0,143,5,217,2,6,4,2,9,0,2,2,40,63,6,0,0,0,0,2,0,0,37,2,0,3,9390
2021,York,E06000014,202816,89019,1045,1043,273,2488,179,93578,257,76,2,51,93192,0,1261,113,5,35,3,0,0,0,2,9,7,0,1,33,10,25,1,1,0,3,232,8,316,9,9,0,7,45,6,65,6,140,94,20,0,1,1,0,1,0,0,43,7,0,3,13930
2021,Derby,E06000015,261364,104969,828,3065,150,29137,9762,95638,95,49,0,44,95450,0,1298,8,4,6,12,2,0,0,0,3,9,0,0,20,22,44,0,0,0,2,239,11,388,6,27,82,4,21,6,2,5,95,166,14,5,0,4,0,4,1,0,69,5,4,8,16517
2021,Leicester,E06000016,368571,91161,1181,65821,326,86443,16451,84607,148,48,3,23,84385,0,2072,97,1,20,11,6,0,0,0,6,6,10,2,18,513,95,0,0,3,2,304,18,307,18,51,142,4,28,1,3,1,149,107,18,4,1,3,0,4,0,1,66,8,8,36,20509
2021,Rutland,E06000017,41051,22728,150,125,53,258,67,15238,19,7,0,10,15202,0,201,0,0,2,2,0,0,0,0,1,5,0,0,6,0,7,0,0,0,0,40,2,58,1,20,0,0,12,0,0,0,19,16,0,1,0,2,0,0,0,0,6,1,0,0,2231
2021,Nottingham,E06000018,323629,112200,1671,5403,941,39540,4110,133403,226,105,1,31,133040,0,2262,264,4,36,58,0,0,0,0,16,13,6,5,40,112,48,0,3,1,8,411,21,529,9,82,11,4,48,8,32,6,191,136,23,4,1,6,0,2,0,1,86,7,14,16,24099
2021,"Herefordshire, County of",E06000019,187039,102614,646,384,142,790,117,68474,90,48,0,70,68266,0,910,2,8,17,3,0,0,0,1,3,11,0,0,28,0,46,1,0,0,1,198,6,300,14,5,1,0,13,6,6,1,95,81,17,2,1,0,0,7,0,0,26,6,0,4,12962
2021,Telford and Wrekin,E06000020,185542,88275,597,1352,78,5043,2851,75964,66,41,0,19,75836,2,934,3,1,5,1,0,1,0,1,1,6,0,0,19,7,30,0,0,1,0,197,4,230,1,8,106,1,16,3,10,4,42,142,13,1,0,3,0,1,2,0,67,1,6,0,10448
2021,Stoke-on-Trent,E06000021,258370,118434,811,1356,83,23790,602,97433,95,39,0,27,97270,2,1151,31,1,3,5,1,0,0,0,3,10,0,0,33,10,19,2,0,2,0,212,6,355,7,38,3,3,24,5,3,1,68,197,8,3,0,0,0,1,1,1,87,4,0,4,14710
2021,Bath and North East Somerset,E06000022,193415,81553,996,875,325,1909,162,92567,179,62,3,52,92270,1,1098,5,7,11,5,1,1,0,0,7,14,2,2,11,12,39,0,0,3,4,251,5,299,16,17,10,4,14,1,10,5,166,77,23,3,0,0,0,7,0,1,50,4,0,11,13930
2021,"Bristol, City of",E06000023,472464,152126,2710,3545,1228,31776,2247,242865,610,207,0,121,241924,3,3544,11,19,92,28,1,0,1,0,15,22,6,3,34,30,133,3,1,1,15,787,38,820,54,148,0,10,114,9,11,16,587,252,71,7,5,9,1,6,0,0,99,13,42,30,32423
2021,North Somerset,E06000024,216725,100990,695,468,166,1346,117,98085,137,67,1,59,97821,0,1162,5,1,11,8,0,0,0,0,3,12,0,0,12,8,28,0,1,0,3,214,8,370,11,10,0,1,16,3,2,2,142,199,13,8,3,1,0,4,0,0,57,1,0,5,13696
2021,South Gloucestershire,E06000025,290428,128014,1056,2896,173,4720,1006,133750,181,75,0,42,133452,0,1321,4,5,20,7,0,0,0,1,5,11,0,1,10,41,40,0,0,0,2,327,9,375,9,14,1,3,29,1,3,7,136,165,16,3,1,11,0,3,0,0,56,3,1,1,17492
2021,Plymouth,E06000026,264696,112526,1018,814,207,3474,96,129337,177,77,3,45,129034,1,1529,10,6,14,10,0,0,0,1,5,15,0,0,46,3,41,2,1,0,3,290,7,480,11,18,2,3,28,13,23,3,174,159,15,3,0,1,0,1,0,0,128,12,0,1,15695
