date,geography,geography code,Schoolchild or full-time student indicator: Total: All usual residents aged 5 years and over,Schoolchild or full-time student indicator: Student,Schoolchild or full-time student indicator: Not a student
2021,North East,E12000001,2512708,503002,2009706
2021,North West,E12000002,7009744,1447474,5562270
2021,Yorkshire and The Humber,E12000003,5182217,1073113,4109104
2021,East Midlands,E12000004,4626856,941825,3685031
2021,West Midlands,E12000005,5615367,1193371,4421996
2021,East,E12000006,5985931,1159811,4826120
2021,London,E12000007,8270772,1835065,6435707
2021,South East,E12000008,8782763,1752265,7030498
2021,South West,E12000009,5426740,1014579,4412161
2021,Wales,W92000004,2952409,587588,2364821
