date,geography,geography code,Schoolchild or full-time student indicator: Total: All usual residents aged 5 years and over,Schoolchild or full-time student indicator: Student,Schoolchild or full-time student indicator: Not a student
2021,Hartlepool,E06000001,87356,17188,70168
2021,Middlesbrough,E06000002,134996,32585,102411
2021,Redcar and Cleveland,E06000003,129717,23369,106348
2021,Stockton-on-Tees,E06000004,185862,37316,148546
2021,Darlington,E06000005,102305,18813,83492
2021,Halton,E06000006,121524,23160,98364
2021,Warrington,E06000007,200343,36792,163551
2021,Blackburn with Darwen,E06000008,144682,35290,109392
2021,Blackpool,E06000009,133676,23578,110098
2021,"Kingston upon Hull, City of",E06000010,251060,54703,196357
2021,East Riding of Yorkshire,E06000011,327528,52526,275002
2021,North East Lincolnshire,E06000012,148511,27708,120803
2021,North Lincolnshire,E06000013,161235,28707,132528
2021,York,E06000014,194206,48779,145427
2021,Derby,E06000015,246144,55701,190443
2021,Leicester,E06000016,346272,98628,247644
2021,Rutland,E06000017,39406,7103,32303
2021,Nottingham,E06000018,305813,102350,203463
2021,"Herefordshire, County of",E06000019,178605,28366,150239
2021,Telford and Wrekin,E06000020,174976,35893,139083
2021,Stoke-on-Trent,E06000021,242744,52769,189975
2021,Bath and North East Somerset,E06000022,184389,46409,137980
2021,"Bristol, City of",E06000023,446523,108835,337688
2021,North Somerset,E06000024,206068,36480,169588
2021,South Gloucestershire,E06000025,274306,53414,220892
2021,Plymouth,E06000026,251490,54709,196781
2021,Torbay,E06000027,133264,21501,111763
2021,Swindon,E06000030,219784,42162,177622
2021,Peterborough,E06000031,201510,43896,157614
2021,Luton,E06000032,209302,54560,154742
2021,Southend-on-Sea,E06000033,170444,31766,138678
2021,Thurrock,E06000034,163739,36524,127215
2021,Medway,E06000035,262465,53997,208468
2021,Bracknell Forest,E06000036,117490,22882,94608
2021,West Berkshire,E06000037,153138,28953,124185
2021,Reading,E06000038,163986,38606,125380
2021,Slough,E06000039,146728,37786,108942
2021,Windsor and Maidenhead,E06000040,145476,29133,116343
2021,Wokingham,E06000041,167650,35915,131735
2021,Milton Keynes,E06000042,269327,59908,209419
2021,Brighton and Hove,E06000043,265352,62694,202658
2021,Portsmouth,E06000044,196723,49106,147617
2021,Southampton,E06000045,235126,60197,174929
2021,Isle of Wight,E06000046,134907,20119,114788
2021,County Durham,E06000047,497316,98781,398535
2021,Cheshire East,E06000049,378842,65235,313607
2021,Cheshire West and Chester,E06000050,339532,62738,276794
2021,Shropshire,E06000051,309184,49975,259209
2021,Cornwall,E06000052,544773,94591,450182
2021,Isles of Scilly,E06000053,1958,259,1699
2021,Wiltshire,E06000054,484705,84967,399738
2021,Bedford,E06000055,174062,35138,138924
2021,Central Bedfordshire,E06000056,276447,51892,224555
2021,Northumberland,E06000057,306332,48826,257506
2021,"Bournemouth, Christchurch and Poole",E06000058,381318,75143,306175
2021,Dorset,E06000059,364555,56110,308445
2021,Buckinghamshire,E06000060,522190,104524,417666
2021,North Northamptonshire,E06000061,339321,64856,274465
2021,West Northamptonshire,E06000062,401760,81263,320497
2021,Bolton,E08000001,277505,62169,215336
2021,Bury,E08000002,182692,37629,145063
2021,Manchester,E08000003,517560,156241,361319
2021,Oldham,E08000004,226083,53952,172131
2021,Rochdale,E08000005,209134,46508,162626
2021,Salford,E08000006,252666,56815,195851
2021,Stockport,E08000007,278198,51652,226546
2021,Tameside,E08000008,217405,42719,174686
2021,Trafford,E08000009,221586,47421,174165
2021,Wigan,E08000010,311548,56786,254762
2021,Knowsley,E08000011,144784,27501,117283
2021,Liverpool,E08000012,459716,116175,343541
2021,St. Helens,E08000013,173589,30578,143011
2021,Sefton,E08000014,265725,45894,219831
2021,Wirral,E08000015,303883,56342,247541
2021,Barnsley,E08000016,231109,40541,190568
2021,Doncaster,E08000017,291164,52064,239100
2021,Rotherham,E08000018,251162,46766,204396
2021,Sheffield,E08000019,526342,131048,395294
2021,Newcastle upon Tyne,E08000021,284474,82809,201665
2021,North Tyneside,E08000022,197976,35069,162907
2021,South Tyneside,E08000023,139952,25400,114552
2021,Sunderland,E08000024,260323,48863,211460
2021,Birmingham,E08000025,1069896,295947,773949
2021,Coventry,E08000026,324882,89083,235799
2021,Dudley,E08000027,305312,57583,247729
2021,Sandwell,E08000028,319656,75641,244015
2021,Solihull,E08000029,204546,39940,164606
2021,Walsall,E08000030,265931,58781,207150
2021,Wolverhampton,E08000031,247402,55885,191517
2021,Bradford,E08000032,510315,124422,385893
2021,Calderdale,E08000033,195314,38160,157154
2021,Kirklees,E08000034,408072,89081,318991
2021,Leeds,E08000035,765154,184538,580616
2021,Wakefield,E08000036,333296,59040,274256
2021,Gateshead,E08000037,186097,33981,152116
2021,City of London,E09000001,8369,1163,7206
2021,Barking and Dagenham,E09000002,201617,57545,144072
2021,Barnet,E09000003,365238,83439,281799
2021,Bexley,E09000004,231441,49270,182171
2021,Brent,E09000005,319846,74097,245749
2021,Bromley,E09000006,310500,60771,249729
2021,Camden,E09000007,200104,49200,150904
2021,Croydon,E09000008,365548,79478,286070
2021,Ealing,E09000009,345600,78326,267274
2021,Enfield,E09000010,308725,74646,234079
2021,Greenwich,E09000011,270041,61184,208857
2021,Hackney,E09000012,243011,53319,189692
2021,Hammersmith and Fulham,E09000013,174082,35938,138144
2021,Haringey,E09000014,249306,52707,196599
2021,Harrow,E09000015,245503,54520,190983
2021,Havering,E09000016,245561,48843,196718
2021,Hillingdon,E09000017,286028,67281,218747
2021,Hounslow,E09000018,269960,60510,209450
2021,Islington,E09000019,205378,42097,163281
2021,Kensington and Chelsea,E09000020,137204,27957,109247
2021,Kingston upon Thames,E09000021,158504,36481,122023
2021,Lambeth,E09000022,302389,56936,245453
2021,Lewisham,E09000023,281426,60841,220585
2021,Merton,E09000024,201655,41350,160305
2021,Newham,E09000025,327180,85833,241347
2021,Redbridge,E09000026,289066,71082,217984
2021,Richmond upon Thames,E09000027,184176,39352,144824
2021,Southwark,E09000028,291275,64309,226966
2021,Sutton,E09000029,196843,41794,155049
2021,Tower Hamlets,E09000030,291216,71270,219946
2021,Waltham Forest,E09000031,259441,56165,203276
2021,Wandsworth,E09000032,308802,56176,252626
2021,Westminster,E09000033,195734,41184,154550
2021,Cambridgeshire,E10000003,644379,136476,507903
2021,Cumbria,E10000006,477442,75308,402134
2021,Derbyshire,E10000007,756322,125635,630687
2021,Devon,E10000008,776297,138706,637591
2021,East Sussex,E10000011,520854,87334,433520
2021,Essex,E10000012,1420380,262984,1157396
2021,Gloucestershire,E10000013,612811,110693,502118
2021,Hampshire,E10000014,1329646,236199,1093447
2021,Hertfordshire,E10000015,1128639,232667,895972
2021,Kent,E10000016,1488783,290782,1198001
2021,Lancashire,E10000017,1171629,236991,934638
2021,Leicestershire,E10000018,676345,133278,543067
2021,Lincolnshire,E10000019,732546,131996,600550
2021,Norfolk,E10000020,873602,151532,722070
2021,North Yorkshire,E10000023,587750,95030,492720
2021,Nottinghamshire,E10000024,782932,141018,641914
2021,Oxfordshire,E10000025,687300,150399,536901
2021,Somerset,E10000027,544500,90599,453901
2021,Staffordshire,E10000028,832395,145276,687119
2021,Suffolk,E10000029,723427,122376,601051
2021,Surrey,E10000030,1137473,235102,902371
2021,Warwickshire,E10000031,565763,106586,459177
2021,West Sussex,E10000032,838151,148629,689522
