"date","geography","geography code","Sex: All persons; measures: Value","Sex: Female; measures: Value","Sex: Male; measures: Value"
"2021","North East","E12000001",2647013,1353618,1293395
"2021","North West","E12000002",7417397,3777256,3640141
"2021","Yorkshire and The Humber","E12000003",5480777,2791685,2689092
"2021","East Midlands","E12000004",4880054,2477865,2402189
"2021","West Midlands","E12000005",5950757,3023193,2927564
"2021","East","E12000006",6335074,3228097,3106977
"2021","London","E12000007",8799728,4531622,4268106
"2021","South East","E12000008",9278065,4738825,4539240
"2021","South West","E12000009",5701186,2911551,2789635
"2021","Wales","W92000004",3107494,1586490,1521004
