"date","geography","geography code","Sex: All persons; measures: Value","Sex: Female; measures: Value","Sex: Male; measures: Value"
"2021","Darlington","E06000005",107799,55129,52670
"2021","County Durham","E06000047",522068,266764,255304
"2021","Hartlepool","E06000001",92338,47653,44685
"2021","Middlesbrough","E06000002",143924,73040,70884
"2021","Northumberland","E06000057",320567,163989,156578
"2021","Redcar and Cleveland","E06000003",136531,70446,66085
"2021","Stockton-on-Tees","E06000004",196595,100072,96523
"2021","Gateshead","E08000037",196151,99952,96199
"2021","Newcastle upon Tyne","E08000021",300125,151802,148323
"2021","North Tyneside","E08000022",208967,107630,101337
"2021","South Tyneside","E08000023",147776,76062,71714
"2021","Sunderland","E08000024",274171,141078,133093
"2021","Blackburn with Darwen","E06000008",154739,78043,76696
"2021","Blackpool","E06000009",141036,71410,69626
"2021","Cheshire East","E06000049",398772,203195,195577
"2021","Cheshire West and Chester","E06000050",357150,182842,174308
"2021","Halton","E06000006",128478,65547,62931
"2021","Warrington","E06000007",210974,106529,104445
"2021","Cumbria","E10000006",499846,253704,246142
"2021","Bolton","E08000001",295963,150056,145907
"2021","Bury","E08000002",193851,98741,95110
"2021","Manchester","E08000003",551938,277877,274061
"2021","Oldham","E08000004",242089,123766,118323
"2021","Rochdale","E08000005",223773,114055,109718
"2021","Salford","E08000006",269923,134389,135534
"2021","Stockport","E08000007",294773,151373,143400
"2021","Tameside","E08000008",231073,117797,113276
"2021","Trafford","E08000009",235052,120644,114408
"2021","Wigan","E08000010",329330,166333,162997
"2021","Lancashire","E10000017",1235354,628381,606973
"2021","Knowsley","E08000011",154517,80668,73849
"2021","Liverpool","E08000012",486088,249460,236628
"2021","Sefton","E08000014",279233,143990,135243
"2021","St. Helens","E08000013",183248,93334,89914
"2021","Wirral","E08000015",320199,165122,155077
"2021","East Riding of Yorkshire","E06000011",342215,174368,167847
"2021","Kingston upon Hull, City of","E06000010",267014,133781,133233
"2021","North East Lincolnshire","E06000012",156966,80154,76812
"2021","North Lincolnshire","E06000013",169680,85970,83710
"2021","York","E06000014",202821,105298,97523
"2021","North Yorkshire","E10000023",615491,313811,301680
"2021","Barnsley","E08000016",244572,124293,120279
"2021","Doncaster","E08000017",308106,155280,152826
"2021","Rotherham","E08000018",265807,135547,130260
"2021","Sheffield","E08000019",556521,282327,274194
"2021","Bradford","E08000032",546412,278968,267444
"2021","Calderdale","E08000033",206631,105901,100730
"2021","Kirklees","E08000034",433216,220870,212346
"2021","Leeds","E08000035",811953,415579,396374
"2021","Wakefield","E08000036",353370,179539,173831
"2021","Derby","E06000015",261364,131854,129510
"2021","Leicester","E06000016",368572,186460,182112
"2021","Nottingham","E06000018",323632,164628,159004
"2021","Rutland","E06000017",41049,19977,21072
"2021","Derbyshire","E10000007",794636,404853,389783
"2021","Leicestershire","E10000018",712366,360613,351753
"2021","Lincolnshire","E10000019",768364,391934,376430
"2021","Nottinghamshire","E10000024",824822,420034,404788
"2021","North Northamptonshire","E06000061",359522,182452,177070
"2021","West Northamptonshire","E06000062",425725,215060,210665
"2021","Herefordshire, County of","E06000019",187034,95180,91854
"2021","Shropshire","E06000051",323606,163923,159683
"2021","Stoke-on-Trent","E06000021",258369,129893,128476
"2021","Telford and Wrekin","E06000020",185541,94206,91335
"2021","Staffordshire","E10000028",876104,442702,433402
"2021","Warwickshire","E10000031",596773,302775,293998
"2021","Birmingham","E08000025",1144919,584496,560423
"2021","Coventry","E08000026",345324,173137,172187
"2021","Dudley","E08000027",323488,164471,159017
"2021","Sandwell","E08000028",341832,173577,168255
"2021","Solihull","E08000029",216240,111280,104960
"2021","Walsall","E08000030",284124,145467,138657
"2021","Wolverhampton","E08000031",263727,134175,129552
"2021","Worcestershire","E10000034",603676,307911,295765
"2021","Bedford","E06000055",185225,94101,91124
"2021","Central Bedfordshire","E06000056",294252,149123,145129
"2021","Luton","E06000032",225262,112438,112824
"2021","Peterborough","E06000031",215673,109067,106606
"2021","Southend-on-Sea","E06000033",180686,92773,87913
"2021","Thurrock","E06000034",176000,89787,86213
"2021","Cambridgeshire","E10000003",678849,343381,335468
"2021","Essex","E10000012",1503521,771189,732332
"2021","Hertfordshire","E10000015",1198798,613393,585405
"2021","Norfolk","E10000020",916120,466869,449251
"2021","Suffolk","E10000029",760688,385976,374712
"2021","Camden","E09000007",210136,110652,99484
