date,geography,geography code,Sexual orientation: Total: All usual residents aged 16 years and over,Sexual orientation: Straight or Heterosexual,Sexual orientation: Gay or Lesbian,Sexual orientation: Bisexual,Sexual orientation: All other sexual orientations,Sexual orientation: Not answered
2021,North East,E12000001,2178960,1983445,34016,25954,5851,129694
2021,North West,E12000002,6025635,5430293,101710,73334,17878,402420
2021,Yorkshire and The Humber,E12000003,4460300,4002966,63793,58585,14776,320180
2021,East Midlands,E12000004,3998050,3589098,51369,50084,12000,295499
2021,West Midlands,E12000005,4801329,4316682,58009,50983,13539,362116
2021,East,E12000006,5148284,4642794,62516,58885,15731,368358
2021,London,E12000007,7103985,6123195,158760,108140,37482,676408
2021,South East,E12000008,7554581,6787148,112033,97831,25112,532457
2021,South West,E12000009,4735840,4238858,67500,67894,15991,345597
2021,Wales,W92000004,2559414,2288630,38101,31814,6948,193921
