,LSOA21CD,LSOA21NM,geometry,nc_walk_15_all,nc_walk_30_all,nc_transit_15_all,nc_transit_30_all
0,E01010568,Bradford 016A,"POLYGON ((416422.17 439366.289000001, 416475.128 439193.353, 416529 439250, 416588 439225.999, 416497.6018 439065.7611, 416767.263 438993.872, 416740.821 438956.525, 416554.188 438728.312000001, 416362.189 438568.594000001, 416207.594 438481.280999999, 416007.711 438529.999, 415762.9826 438492.396400001, 415760.9763 438561.6404, 415809.999 438803.797, 415842 438869, 415777.443 438893.549000001, 415734.133 438843.138, 415568.777 438895.276000001, 415575 438930.172, 415632 438949, 415724.881 438929.491, 415880.251 439006.586999999, 415849.765 439027.818, 415857.226 439064.443, 415805.679 439076.652000001, 415754.133 439140.407, 415712.76 439130.233999999, 415579.8308 439222.989800001, 415574.054 439246, 415624.543 439243.643999999, 415642.456 439205.196, 415864.095 439223.9375, 415885.783 439159.247500001, 415942.151 439224.77, 416055.127 439175.873, 416154.191 439253.793, 416223.083 439351.102, 416209 439375, 416279.446 439357.781500001, 416329.653 439422.086999999, 416397.637 439370.163000001, 416422.17 439366.289000001))",0.0,0.16666666666666666,0.0,0.0
1,E01010569,Bradford 016B,"POLYGON ((415371.559 439225.549000001, 415417.28 439125.786, 415261.667 439067.064999999, 415174.881 438920.319, 415156.069 438810.749, 415149.923 438763.611, 415097.006 438779.592, 415082.1596 438741.546, 415113.426 438677.655999999, 415042.902 438608.127, 415084.431 438580.27, 415053.423 438553.104, 415082.632 438506.993000001, 415044.5147 438501.5474, 415030.357 438523.488, 414988.194 438495.958000001, 414891.385 438421.744999999, 414735.57 438432.289999999, 414772 438391, 414742.009 438253.800000001, 414796.763 438174.676999999, 414772.353 438121.609999999, 414819.142 438143.083000001, 414832 438104, 414939.996 438075.33, 414886.117 437969.727, 414760.156 438040.526000001, 414690.789 438070.863, 414490.269 438135.206, 414331.964 438151.234999999, 413968.501 438222, 413982.187 438366.687000001, 414112.395 438483.5865, 414205.387 438501.674000001, 414339.9734 438532.855, 414392.406 438547.5, 414374.297 438779.015000001, 414460.25 438839.037, 414616.773 438845.533, 414718.505 438833.255000001, 414862.088 438883.365, 415013.701 439096.880999999, 415045.793 439060.171, 415143.909 439176.234999999, 415209.532 439168.469000001, 415295.987 439233.125, 415336.845 439249.723999999, 415371.559 439225.549000001))",0.0,2.5,0.0,1.0
2,E01010570,Bradford 018A,"POLYGON ((413955.24 439413.594000001, 414146.534 439290.516000001, 414255.037 439329.688999999, 414312.372 439283.007999999, 414228.195 439027.252, 414231.359 439024.66, 414328.2355 439008.999, 414318.418 439041.041999999, 414405.516 439127.775, 414447.866 439064.693, 414422.401 439016.374, 414581.736 439084.534, 414643.877 439019.526000001, 414727.426 439046.445, 414770.298 439009.999, 414661.37 438941.722999999, 414674.779 438909.970000001, 414616.773 438845.533, 414460.25 438839.037, 414374.297 438779.015000001, 414287.978 438781.789999999, 414028.306 438744, 413880.827 438758.455, 413694.281 438794.594000001, 413593.857 438790.091, 413597.186 438758.200999999, 413491.258 438763.275, 413330.688 438785.312000001, 413248 438756.405999999, 413193.094 438669.594000001, 413226.091 438566.6, 413117.225 438601.426000001, 413086.903 438685.596999999, 412931.188 438821.312000001, 412916.406 438901.812000001, 412868.3025 438917.220000001, 412825.5 439004, 412826.813 439137.187000001, 412800.906 439167.812000001, 412841.812 439228, 412826.752 439269.153999999, 412916.069 439310.881999999, 412899.056 439362.73, 412955.552 439329.352, 413124 439012, 413236.988 438951.333000001, 413281.69 439078.453, 413200.32 439306.249, 413232.293 439322.327, 413532.955 439249.068, 413707.344 439344.284, 413955.24 439413.594000001))",0.0,0.5,0.0,1.25
3,E01010571,Bradford 016C,"POLYGON ((415809.999 438803.797, 415760.9763 438561.6404, 415762.9826 438492.396400001, 415639.42 438328.481000001, 415529 438146.312000001, 415177.06 437967.806, 415012.728 437903.368000001, 414886.117 437969.727, 414939.996 438075.33, 414832 438104, 414819.142 438143.083000001, 414772.353 438121.609999999, 414796.763 438174.676999999, 414742.009 438253.800000001, 414772 438391, 414735.57 438432.289999999, 414891.385 438421.744999999, 414988.194 438495.958000001, 415030.357 438523.488, 415044.5147 438501.5474, 415082.632 438506.993000001, 415053.423 438553.104, 415084.431 438580.27, 415042.902 438608.127, 415113.426 438677.655999999, 415230.743 438706.436000001, 415395.891 438763.563999999, 415493.608 438684.596999999, 415494.998 438684.051000001, 415461.4225 438552.703500001, 415547.2205 438491.395, 415581 438499, 415573.564 438543.832, 415594.103 438528.304, 415616.846 438578.403999999, 415591.009 438585.581, 415607.437 438694.851, 415682.246 438647.797, 415734.133 438843.138, 415777.443 438893.549000001, 415842 438869, 415809.999 438803.797))",0.16666666666666666,3.6666666666666665,0.0,1.8333333333333333
4,E01010572,Bradford 016D,"POLYGON ((415579.8308 439222.989800001, 415712.76 439130.233999999, 415754.133 439140.407, 415805.679 439076.652000001, 415857.226 439064.443, 415849.765 439027.818, 415880.251 439006.586999999, 415724.881 438929.491, 415632 438949, 415575 438930.172, 415568.777 438895.276000001, 415734.133 438843.138, 415682.246 438647.797, 415607.437 438694.851, 415591.009 438585.581, 415616.846 438578.403999999, 415594.103 438528.304, 415573.564 438543.832, 415581 438499, 415547.2205 438491.395, 415461.4225 438552.703500001, 415494.998 438684.051000001, 415493.608 438684.596999999, 415395.891 438763.563999999, 415230.743 438706.436000001, 415113.426 438677.655999999, 415082.1596 438741.546, 415097.006 438779.592, 415149.923 438763.611, 415156.069 438810.749, 415174.881 438920.319, 415261.667 439067.064999999, 415417.28 439125.786, 415466.981 439131.016000001, 415429.978 439201.218, 415472.358 439202.655999999, 415541.688 439132.5285, 415597.261 439166.698999999, 415550.468 439196.475, 415579.8308 439222.989800001))",0.0,1.4,0.0,0.0
5,E01010573,Bradford 013A,"POLYGON ((413919.313 441380, 414156.712 441324.813999999, 414223.406 441389.187000001, 414342.656 441370.437000001, 414649.31 441209.093, 414738.219 441110.5, 414844 441085.687000001, 414895.188 441041.095000001, 415062.807 441028.5, 415162.5 441067.5, 415288.694 440970.403999999, 415477.761 440930.983999999, 415520.5667 440887.692, 415817.093 440872.596999999, 415906.689 440852.005999999, 416016.188 441172.719000001, 416197.31 441134.598999999, 416277.189 441115.195, 416308.313 441272.280999999, 416765.516 441135.132999999, 416906.906 441066, 416782.584 440905.1635, 416779.906 440824.905999999, 417006.8158 440821.962400001, 417095.188 440423.905999999, 417088.313 440329.687000001, 417137.688 440222.780999999, 417172.209 440212.188999999, 417123.194 440058.903999999, 417193.7995 440033.409499999, 417101.9215 439926.5825, 417258.688 439848.219000001, 417348.5 439754.312000001, 417449.313 439741.812000001, 417150.532 439454.431, 417078.313 439343.187000001, 416898.569 439183.789999999, 416767.263 438993.872, 416497.6018 439065.7611, 416588 439225.999, 416668 439392.0276, 416726.307 439353.02, 416834.664 439419.503, 416995.383 439366.362, 416959.099 439759.584000001, 417026.579 439829.085000001, 417005.012 439827.876, 417007.999 439876, 416895 439896, 416788.6025 439832.994999999, 416771.989 439951.102, 416706.759 439952.187999999, 416647.895 440012.005999999, 416579.141 439969.718, 416491.948 439924.248, 416470.0075 439940.5275, 416364.815 440204.066, 416188.227 440011, 416096.362 440001.601, 416067.688 440357.187999999, 415945.514 440286.317, 415783.201 440304.541999999, 415677 440287, 415552.102 440315.309, 415471 440328, 415321 440235, 415321 440182.1, 415324.456 440050.524, 415286.712 440063.321, 415277.328 440115.021, 415037.68 440113.494999999, 414924.632 440019.615, 414921.7065 439946.605, 414835.34 439950.34, 414828.401 439920.711999999, 414850.739 439883.661, 414906.333 439873.4465, 415009.987 439921.022, 415024.265 439978.443, 415078 439967.001, 415054.532 439950.789999999, 415080.247 439814.1, 414949.772 439838.638, 414899.147 439803.109999999, 414833.498 439803.399, 414788.973 439728.999, 414748.687 439627.708000001, 414774.162 439589.158, 414731.847 439566.6425, 414710.201 439596.339, 414578.479 439582.438999999, 414580.298 439531.111, 414532.836 439468.661, 414613 439458, 414722.709 439518.676000001, 414775.78 439464.939999999, 414814.796 439484.028999999, 414862.702 439449.613, 414839.286 439394.757999999, 414915.393 439404.892999999, 414855.586 439318.67, 414773.085 439278.484999999, 414761.9004 439195.9508, 414923.686 439326.537, 415143.909 439176.234999999, 415045.793 439060.171, 415013.701 439096.880999999, 414862.088 438883.365, 414718.505 438833.255000001, 414616.773 438845.533, 414674.779 438909.970000001, 414661.37 438941.722999999, 414770.298 439009.999, 414727.426 439046.445, 414643.877 439019.526000001, 414581.736 439084.534, 414422.401 439016.374, 414447.866 439064.693, 414405.516 439127.775, 414318.418 439041.041999999, 414328.2355 439008.999, 414231.359 439024.66, 414228.195 439027.252, 414312.372 439283.007999999, 414255.037 439329.688999999, 414146.534 439290.516000001, 413955.24 439413.594000001, 413707.344 439344.284, 413532.955 439249.068, 413232.293 439322.327, 413200.32 439306.249, 413281.69 439078.453, 413236.988 438951.333000001, 413124 439012, 412955.552 439329.352, 412899.056 439362.73, 412916.069 439310.881999999, 412826.752 439269.153999999, 412796.688 439288.812000001, 412794.499 439404.594000001, 412903.188 439805.595000001, 412936.813 440000.094000001, 412886 440076.312000001, 412934.313 440142.687000001, 413066 440176, 413163.594 440291.312000001, 413190.406 440448, 413124.745 440588.057, 413147.813 440731.312000001, 413387.406 441158, 413412.001 441185.594000001, 413549.313 441202.594000001, 413828.5 441421.5, 413914.903 441428.687000001, 413919.313 441380))",0.0,0.0,0.4,0.4
6,E01010574,Bradford 013B,"POLYGON ((416067.688 440357.187999999, 416096.362 440001.601, 416188.227 440011, 416364.815 440204.066, 416470.0075 439940.5275, 416491.948 439924.248, 416579.141 439969.718, 416632 439828, 416547.19 439796.989, 416501.46 439850.026000001, 416416.13 439845.52, 416402.467 439752.059, 416439 439744, 416452.41 439682.687000001, 416354.087 439668.391000001, 416317.778 439633.702, 416238.913 439664.301000001, 416288.6414 439788.4344, 416252.367 439816.040999999, 416216.046 439799.569, 416135.397 439879.598999999, 416097.186 439843.495999999, 416088.956 439702.182, 415925.6 439708.6, 415953.483 439642.253, 416051.202 439627.285, 416055.858 439582.409, 415991.114 439552.5, 416021.474 439454.454, 416063.879 439435.9715, 415977.133 439333.953, 415900.8495 439370.478499999, 415850.8 439281.494999999, 415831.103 439312, 415750.607 439319.454, 415728.935 439358.914999999, 415706.129 439330.562000001, 415678.361 439384.435000001, 415625.062 439486.684, 415579.6035 439491.323999999, 415558.341 439540.210999999, 415523.476 439524.34, 415566.66 439482.880999999, 415514.366 439473.877, 415507.126 439522.596000001, 415480.627 439516.710999999, 415534.548 439629.905999999, 415519.388 439684.301000001, 415533.525 439742.151000001, 415494.0456 439702.946, 415522.689 439808.605, 415663.332 439787.296, 415722.96 439807.515000001, 415744 440212, 415783.201 440304.541999999, 415945.514 440286.317, 416067.688 440357.187999999))",0.0,0.0,0.0,0.0
7,E01010575,Bradford 013C,"POLYGON ((415552.102 440315.309, 415677 440287, 415783.201 440304.541999999, 415744 440212, 415722.96 439807.515000001, 415663.332 439787.296, 415522.689 439808.605, 415494.0456 439702.946, 415400.722 439636.749, 415452.543 439642.168, 415481.208 439605.289000001, 415420.133 439577.261, 415393.4125 439611.592, 415348.152 439573.552999999, 415353.044 439615.569, 415307.404 439590.184, 415276.996 439632.003, 415030.971 439735.187999999, 414943 439771, 414934.033 439815.899, 414899.147 439803.109999999, 414949.772 439838.638, 415080.247 439814.1, 415054.532 439950.789999999, 415078 439967.001, 415024.265 439978.443, 415009.987 439921.022, 414906.333 439873.4465, 414850.739 439883.661, 414828.401 439920.711999999, 414835.34 439950.34, 414921.7065 439946.605, 414924.632 440019.615, 415037.68 440113.494999999, 415277.328 440115.021, 415286.712 440063.321, 415324.456 440050.524, 415321 440182.1, 415321 440235, 415471 440328, 415552.102 440315.309))",0.0,0.0,0.0,1.3333333333333333
8,E01010576,Bradford 016E,"POLYGON ((416771.989 439951.102, 416788.6025 439832.994999999, 416895 439896, 417007.999 439876, 417005.012 439827.876, 417026.579 439829.085000001, 416959.099 439759.584000001, 416995.383 439366.362, 416834.664 439419.503, 416726.307 439353.02, 416668 439392.0276, 416588 439225.999, 416529 439250, 416475.128 439193.353, 416422.17 439366.289000001, 416397.637 439370.163000001, 416329.653 439422.086999999, 416279.446 439357.781500001, 416209 439375, 416223.083 439351.102, 416154.191 439253.793, 416055.127 439175.873, 415942.151 439224.77, 415885.783 439159.247500001, 415864.095 439223.9375, 415642.456 439205.196, 415624.543 439243.643999999, 415625.3205 439283.875, 415680.754 439321.992000001, 415649.381 439362.134, 415678.361 439384.435000001, 415706.129 439330.562000001, 415728.935 439358.914999999, 415750.607 439319.454, 415831.103 439312, 415850.8 439281.494999999, 415900.8495 439370.478499999, 415977.133 439333.953, 416063.879 439435.9715, 416021.474 439454.454, 415991.114 439552.5, 416055.858 439582.409, 416051.202 439627.285, 415953.483 439642.253, 415925.6 439708.6, 416088.956 439702.182, 416097.186 439843.495999999, 416135.397 439879.598999999, 416216.046 439799.569, 416252.367 439816.040999999, 416288.6414 439788.4344, 416238.913 439664.301000001, 416317.778 439633.702, 416354.087 439668.391000001, 416452.41 439682.687000001, 416439 439744, 416402.467 439752.059, 416416.13 439845.52, 416501.46 439850.026000001, 416547.19 439796.989, 416632 439828, 416579.141 439969.718, 416647.895 440012.005999999, 416706.759 439952.187999999, 416771.989 439951.102))",0.0,0.0,0.0,0.4
9,E01010577,Bradford 013D,"POLYGON ((414934.033 439815.899, 414943 439771, 415030.971 439735.187999999, 415276.996 439632.003, 415307.404 439590.184, 415353.044 439615.569, 415348.152 439573.552999999, 415393.4125 439611.592, 415420.133 439577.261, 415481.208 439605.289000001, 415452.543 439642.168, 415400.722 439636.749, 415494.0456 439702.946, 415533.525 439742.151000001, 415519.388 439684.301000001, 415534.548 439629.905999999, 415480.627 439516.710999999, 415507.126 439522.596000001, 415514.366 439473.877, 415566.66 439482.880999999, 415523.476 439524.34, 415558.341 439540.210999999, 415579.6035 439491.323999999, 415625.062 439486.684, 415678.361 439384.435000001, 415649.381 439362.134, 415680.754 439321.992000001, 415625.3205 439283.875, 415624.543 439243.643999999, 415574.054 439246, 415579.8308 439222.989800001, 415550.468 439196.475, 415597.261 439166.698999999, 415541.688 439132.5285, 415472.358 439202.655999999, 415429.978 439201.218, 415466.981 439131.016000001, 415417.28 439125.786, 415371.559 439225.549000001, 415336.845 439249.723999999, 415295.987 439233.125, 415209.532 439168.469000001, 415143.909 439176.234999999, 414923.686 439326.537, 414761.9004 439195.9508, 414773.085 439278.484999999, 414855.586 439318.67, 414915.393 439404.892999999, 414839.286 439394.757999999, 414862.702 439449.613, 414814.796 439484.028999999, 414775.78 439464.939999999, 414722.709 439518.676000001, 414613 439458, 414532.836 439468.661, 414580.298 439531.111, 414578.479 439582.438999999, 414710.201 439596.339, 414731.847 439566.6425, 414774.162 439589.158, 414748.687 439627.708000001, 414788.973 439728.999, 414833.498 439803.399, 414899.147 439803.109999999, 414934.033 439815.899))",0.0,0.0,0.0,0.6
