Nature of Organisation,Beneficiary Group,Charity,Food Moved KG,Food Moved Meal Equivalents,CFMs Served,CFM Beneficiaries,Value of food (£),date - Year,long,lat,name
,Children (Under 18),DAZL HH,5,11.905,1,115,15.60,2022,-1.551651,53.790612,Fruit
,Children (Under 18),DAZL HH,18,42.858,1,115,56.16,2022,-1.551651,53.790612,Vegetable
,Children (Under 18),DAZL HH,19.2,45.7152,1,115,59.90,2023,-1.551651,53.790612,Fruit
,Children (Under 18),DAZL HH,16.6,39.5246,1,115,51.79,2023,-1.551651,53.790612,Vegetable
,Children (Under 18),DAZL HH,9,21.429,1,115,28.08,2024,-1.551651,53.790612,Fruit
,Children (Under 18),DAZL HH,11,26.191,1,115,34.32,2024,-1.551651,53.790612,Vegetable
Community centre,Children (Under 18),CFYDC (Chance),37.4,89.0494,1,115,116.69,2022,-1.551651,53.790612,Fruit
Community centre,Children (Under 18),CFYDC (Chance),120.35,286.55335,1,115,497.35,2022,-1.551651,53.790612,Vegetable
Community centre,Children (Under 18),CFYDC (Chance),35.1,83.5731,1,115,210.41,2022,-1.413575,53.533241,Vegetable
Community centre,Children (Under 18),CFYDC (Chance),34,80.954,1,115,91.10,2023,-1.551651,53.790612,Fruit
Community centre,Children (Under 18),CFYDC (Chance),128.6,306.1966,1,115,537.92,2023,-1.551651,53.790612,Vegetable
Community centre,Children (Under 18),CFYDC (Chance),224.88,535.43928,1,115,"1,565.44",2023,-1.413575,53.533241,Vegetable
Community centre,Children (Under 18),CFYDC (Chance),167,397.627,1,115,897.36,2024,-1.551651,53.790612,Vegetable
Community centre,Children (Under 18),CFYDC (Chance),7.2,17.1432,1,115,51.41,2024,-1.413575,53.533241,Vegetable
Community centre,Children (Under 18),CFYDC (Touchstone),20,47.62,1,115,62.40,2022,-1.551651,53.790612,Fruit
Community centre,Children (Under 18),CFYDC (Touchstone),18,42.858,1,115,64.20,2022,-1.551651,53.790612,Vegetable
Community centre,Children (Under 18),CFYDC Chance YSH,37.2,88.5732,1,115,225.41,2022,-1.413575,53.533241,Vegetable
Community centre,Children (Under 18),Hunslet Club HH,4.8,11.4288,1,115,,2023,-1.551651,53.790612,Fruit
Community centre,Children (Under 18),Leeds Learning Partnership HH,4.8,11.4288,1,115,,2023,-1.551651,53.790612,Fruit
Community centre,Children (Under 18),Leeds Learning Partnership HH,7,16.667,1,115,,2023,-1.551651,53.790612,Vegetable
