Nature of Organisation,Beneficiary Group,Charity,Food Moved KG,Food Moved Meal Equivalents,CFMs Served,CFM Beneficiaries,Value of food,date - Year,long,lat,name,details.address.postcode,allocationpostcode,ONS Postcode Lookup.lat,ONS Postcode Lookup.long
Community centre,,BHT Early Education & Training,156.4,372.3884,1,115,509.33,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,BD4 9EB,53.77655,-1.717483
Community centre,,BHT Early Education & Training,45.4,108.0974,1,115,141.65,2023,-1.551651,53.790612,Fruit,LS11 5JJ,BD4 9EB,53.77655,-1.717483
Community centre,,BHT Early Education & Training,91.3,217.3853,1,115,320.53,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,BD4 9EB,53.77655,-1.717483
Day centre / Drop in centre,,Bradford Deaf Centre (YSH),19.3,45.9533,1,115,97.60,2022,-1.413575,53.533241,Vegetable,S73 8HA,BD1 3RP,53.798557,-1.760953
Food service only,,Bradford Inn Churches (YSH),37,88.097,1,115,264.18,2022,-1.413575,53.533241,Vegetable,S73 8HA,BD4 7BQ,53.788026,-1.746248
Food service only,,Bradford Inn Churches (YSH),137.48,327.33988,1,115,981.61,2023,-1.413575,53.533241,Vegetable,S73 8HA,BD4 7BQ,53.788026,-1.746248
Food service only,,Bradford Inn Churches (YSH),23.2,55.2392,1,115,165.65,2024,-1.413575,53.533241,Vegetable,S73 8HA,BD4 7BQ,53.788026,-1.746248
Food service only,,Catch/Ark (Community Action To Create Hope) LW,0,0,1,115,0.00,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS8 3QY,53.816336,-1.512463
Food service only,,Cavendish Primary School,32.2,76.6682,1,115,100.46,2022,-1.551651,53.790612,Fruit,LS11 5JJ,BD2 2DU,53.820525,-1.72024
Food service only,,Cavendish Primary School,65.4,155.7174,1,115,204.05,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,BD2 2DU,53.820525,-1.72024
Food service only,,Cavendish Primary School,13.2,31.4292,1,115,41.18,2023,-1.551651,53.790612,Fruit,LS11 5JJ,BD2 2DU,53.820525,-1.72024
Food service only,,Cavendish Primary School,83.7,199.2897,1,115,430.29,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,BD2 2DU,53.820525,-1.72024
Food service only,,Cavendish Primary School,91.5,217.8615,1,115,422.06,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,BD2 2DU,53.820525,-1.72024
Community centre,,Clapgate Primary School,28.4,67.6204,1,115,88.61,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS10 4AW,53.751864,-1.521232
Community centre,,Clapgate Primary School,81.8,194.7658,1,115,259.24,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS10 4AW,53.751864,-1.521232
Community centre,,Clapgate Primary School,7.6,18.0956,1,115,23.71,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS10 4AW,53.751864,-1.521232
Community centre,,Clapgate Primary School,137.4,327.1494,1,115,674.01,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS10 4AW,53.751864,-1.521232
Community centre,,Clapgate Primary School,75.5,179.7655,1,115,361.39,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS10 4AW,53.751864,-1.521232
Food service only,,Communityworks - Bradford,10,23.81,1,115,31.20,2022,-1.551651,53.790612,Fruit,LS11 5JJ,BD3 0DW,53.803162,-1.740793
Food service only,,Communityworks - Bradford,140,333.34,1,115,454.14,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,BD3 0DW,53.803162,-1.740793
Food service only,,Communityworks - Bradford,45.4,108.0974,1,115,141.65,2023,-1.551651,53.790612,Fruit,LS11 5JJ,BD3 0DW,53.803162,-1.740793
Food service only,,Communityworks - Bradford,169.7,404.0557,1,115,818.90,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,BD3 0DW,53.803162,-1.740793
Food service only,,Communityworks - Bradford,17.4,41.4294,1,115,54.29,2024,-1.551651,53.790612,Fruit,LS11 5JJ,BD3 0DW,53.803162,-1.740793
Food service only,,Communityworks - Bradford,99.2,236.1952,1,115,467.09,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,BD3 0DW,53.803162,-1.740793
Food service only,,Family Action Armley Children's Centre,8,19.048,1,115,24.96,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS12 1UT,53.796547,-1.586986
,,Family Action Club - Gipton South Children's Centre,24.15,57.50115,1,115,97.66,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS9 6QJ,53.807217,-1.491336
Food service only,,Family Action Henry Barran Community Centre,24.15,57.50115,1,115,97.66,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS8 3JR,53.81635,-1.495751
Food service only,,Food for Life (Tuesday),6,14.286,1,115,18.72,2022,-1.551651,53.790612,Fruit,LS11 5JJ,BD10 9HT,53.828308,-1.723607
Food service only,,Food for Life (Tuesday),79.3,188.8133,1,115,299.72,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,BD10 9HT,53.828308,-1.723607
Food service only,,Food for Life (Tuesday),28.2,67.1442,1,115,87.98,2023,-1.551651,53.790612,Fruit,LS11 5JJ,BD10 9HT,53.828308,-1.723607
Food service only,,Food for Life (Tuesday),150.6,358.5786,1,115,587.32,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,BD10 9HT,53.828308,-1.723607
Food service only,,Food for Life (Tuesday),83.8,199.5278,1,115,401.35,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,BD10 9HT,53.828308,-1.723607
