Nature of Organisation,Charity,Food Moved KG,Food Moved Meal Equivalents,CFMs Served,CFM Beneficiaries,Value of food (£),allocationpostcode,ONS Postcode Lookup.lat,ONS Postcode Lookup.long,Primary_Beneficiary_Group_Mapped,member_id
Community centre,St Catherines Church & Centre,18189.06,43308.15186,1,115,"74,998.09",WF1 5HL,53.670867,-1.48087,Homeless people & rough sleepers,119
Day centre / Drop in centre,The Life Centre,10786.83,25683.44223,1,115,"48,237.93",BD4 6BU,53.764742,-1.730456,The local community,121
Day centre / Drop in centre,Trinity Mission Castleford CIO,16823.96,40057.84876,1,115,"68,025.44",WF10 1DZ,53.725007,-1.354036,People with drug or alcohol addiction,122
Food service only,Hamara Hlc,14556.57,34659.19317,1,115,"49,729.98",LS11 6RD,53.772544,-1.55058,Asylum seekers & refugees,570
Food service only,LWSS Council support Hubs,14471.32,34456.21292,1,115,"41,700.72",LS9 0NP,53.783194,-1.502891,,574
Food service only,Right Choices Food Bank,11701.2,27860.5572,1,115,"34,828.04",LS6 3HN,53.820336,-1.578504,,575
Residential setting,St Georges Crypt Centre,26980.28,64240.04668,1,115,"117,441.40",LS1 3BR,53.801117,-1.553361,Homeless people & rough sleepers,577
Community centre,St Vincents Support Centre & Cafe,21165.71,50395.55551,1,115,"79,785.40",LS9 9LF,53.797287,-1.518362,The local community,579
Food service only,Batley Care and Drop In (RC),14055.79,33466.83599,1,115,"56,039.42",WF17 5DS,53.714254,-1.632554,Long term unemployed,934
Day centre / Drop in centre,Beacon House Hostel,12624.8,30059.6488,1,115,"52,890.83",BD8 7NH,53.808706,-1.761639,Homeless people & rough sleepers,935
Faith organisation,Bradford Salvation Army Lunch Club,13852.63,32983.11203,1,115,"62,632.70",BD6 1NS,53.766764,-1.768901,The local community,937
Food service only,Happy Days UK (The Banqueting Table),27360.86,65146.20766,1,115,"108,962.04",HX1 1YS,53.724603,-1.864019,Homeless people & rough sleepers,942
Food service only,Community Awareness Programme (CAP),19432.12,46267.87772,1,115,"79,248.54",WF1 1DH,53.680692,-1.500067,Homeless people & rough sleepers,946
Food service only,Communityworks - Bradford,15771.54,37552.03674,1,115,"55,134.34",BD3 0DW,53.803162,-1.740793,,947
Food service only,Huddersfield Mission Cafe,16572.8,39459.8368,1,115,"63,045.47",HD1 1QA,53.648008,-1.780381,Homeless people & rough sleepers,959
Community centre,Ravenscliffe Community Association - Gateway Café,15440.42,36763.64002,1,115,"62,907.01",BD10 0JR,53.817119,-1.712623,The local community,969
Community centre,Scholemoor Beacon,1531.52,3646.54912,1,115,"5,751.09",BD7 2RJ,53.784794,-1.7987,,976
Community centre,Sesku Academy,6770.75,16121.15575,1,115,"28,011.71",WF9 3QS,53.589842,-1.317133,Families with children,977
Community centre,St Georges Lupset,24486.494,58302.34221,1,115,"97,177.76",WF2 8AA,53.670308,-1.535369,The local community,983
Community centre,The Well Project,12943.25,30817.87825,1,115,"54,673.66",WF6 2DP,53.700455,-1.414344,The local community,992
Food service only,Welcome Centre,19576.94,46612.69414,1,115,"68,243.29",HD1 3RR,53.63812,-1.784879,The local community,994
School,Leeds Mencap (Jimbo's),13791.06,32836.51386,1,115,"48,459.41",LS9 9LU,53.79683,-1.511592,Children (Under 18),1439
Food service only,Nerukas Soul Food Kitchen,14198.9,33807.5809,1,115,"46,034.55",LS8 5ES,53.809293,-1.524143,Families with children,1444
