from_id,to_id,travel_time
E00059464,non_FS_56,39.0
E00059837,non_FS_56,8.0
E00059837,non_FS_58,56.0
E00059837,non_FS_61,55.0
E00059455,non_FS_56,9.0
E00059455,non_FS_57,58.0
E00059455,non_FS_58,54.0
E00059455,non_FS_61,48.0
E00059456,non_FS_56,2.0
E00059456,non_FS_57,58.0
E00059456,non_FS_58,54.0
E00059456,non_FS_61,49.0
E00059836,non_FS_56,11.0
E00059836,non_FS_58,57.0
E00059836,non_FS_61,58.0
E00059835,non_FS_56,12.0
E00059835,non_FS_57,59.0
E00059835,non_FS_58,55.0
E00059835,non_FS_61,57.0
E00059829,non_FS_56,5.0
E00059829,non_FS_57,58.0
E00059829,non_FS_58,54.0
E00059829,non_FS_61,52.0
E00059454,non_FS_56,7.0
E00059454,non_FS_57,58.0
E00059454,non_FS_58,54.0
E00059454,non_FS_61,49.0
E00059453,non_FS_56,4.0
E00059453,non_FS_57,58.0
E00059453,non_FS_58,54.0
E00059453,non_FS_61,49.0
E00059834,non_FS_56,19.0
E00059834,non_FS_57,58.0
E00059834,non_FS_58,54.0
E00059834,non_FS_61,58.0
E00059830,non_FS_56,10.0
E00059830,non_FS_57,58.0
E00059830,non_FS_58,54.0
E00059830,non_FS_61,51.0
E00060169,non_FS_61,49.0
E00060174,non_FS_61,44.0
E00060173,non_FS_61,46.0
E00060172,non_FS_61,49.0
E00060170,non_FS_61,49.0
E00060240,non_FS_61,39.0
E00060206,non_FS_61,25.0
E00060206,non_FS_62,50.0
E00060239,non_FS_61,29.0
E00060239,non_FS_62,54.0
E00060237,non_FS_61,32.0
E00060237,non_FS_62,57.0
E00060171,non_FS_61,43.0
E00060166,non_FS_61,43.0
E00060167,non_FS_61,41.0
E00060222,non_FS_61,36.0
E00060221,non_FS_61,36.0
E00060220,non_FS_61,35.0
E00060162,non_FS_61,37.0
E00180015,non_FS_61,32.0
E00180015,non_FS_62,57.0
E00180084,non_FS_61,42.0
E00060161,non_FS_61,36.0
