from_id,to_id,travel_time
E00060205,119,29.0
E00060227,119,21.0
E00060228,119,23.0
E00060007,119,28.0
E00060005,119,23.0
E00059998,119,25.0
E00060006,119,22.0
E00060000,119,20.0
E00060004,119,21.0
E00060030,946,23.0
E00060030,3600,25.0
E00060030,10168,23.0
E00060044,983,24.0
E00060035,983,16.0
E00059997,983,14.0
E00060039,983,21.0
E00060034,983,21.0
E00060024,983,19.0
E00060226,119,16.0
E00060225,119,15.0
E00060095,119,13.0
E00060045,119,15.0
E00060224,119,9.0
E00060091,119,11.0
E00060092,119,11.0
E00060223,119,10.0
E00060093,119,6.0
E00168728,119,15.0
E00168728,3600,29.0
E00060094,119,4.0
E00168727,119,14.0
E00168727,3600,29.0
E00060090,119,9.0
E00060048,119,3.0
E00060048,946,30.0
E00060048,3600,27.0
E00060048,10168,30.0
E00060088,119,9.0
E00060088,946,28.0
E00060088,3600,25.0
E00060088,10168,28.0
E00060089,119,6.0
E00060087,119,3.0
E00060087,3600,29.0
E00060078,119,5.0
E00060078,3600,29.0
E00168729,119,10.0
E00168729,946,26.0
E00168729,3600,23.0
E00168729,10168,26.0
E00168726,119,13.0
E00168726,946,23.0
E00168726,3600,21.0
E00168726,10168,23.0
E00059467,10032,29.0
E00059465,10032,27.0
E00059425,10032,11.0
E00059427,10032,9.0
E00059366,10032,5.0
E00059369,10032,11.0
E00059426,10032,7.0
E00059424,10032,11.0
E00059373,10032,8.0
E00059370,10032,8.0
E00059374,10032,16.0
E00059372,10032,8.0
E00059423,10032,18.0
E00059371,10032,14.0
E00059422,10032,17.0
E00059367,10032,16.0
E00059368,10032,22.0
E00059619,119,30.0
E00060057,11702,17.0
E00059850,977,23.0
E00059850,9475,23.0
E00059850,10548,23.0
E00059850,11994,10.0
E00059848,977,29.0
E00059848,9475,29.0
E00059848,10548,29.0
E00059848,11994,13.0
E00059840,977,13.0
E00059840,9475,13.0
E00059840,10548,13.0
E00059840,11994,12.0
E00059841,977,15.0
E00059841,9475,15.0
E00059841,10548,15.0
E00059841,11994,8.0
E00180122,977,30.0
E00180122,9475,30.0
E00180122,10548,30.0
E00059796,977,27.0
E00059796,9475,27.0
E00059796,10548,27.0
E00059845,977,2.0
E00059845,9475,2.0
E00059845,10548,2.0
E00059845,11994,21.0
E00059844,977,9.0
E00059844,9475,9.0
E00059844,10548,9.0
E00059844,11994,13.0
E00059849,977,22.0
E00059849,9475,22.0
E00059849,10548,22.0
E00059849,11994,10.0
E00059847,977,17.0
E00059847,9475,17.0
E00059847,10548,17.0
E00059847,11994,7.0
E00059839,977,25.0
E00059839,9475,25.0
E00059839,10548,25.0
E00059839,11994,5.0
E00059874,977,21.0
E00059874,9475,21.0
E00059874,10548,21.0
E00059874,11994,1.0
E00059871,977,27.0
E00059871,9475,27.0
E00059871,10548,27.0
E00059871,11994,5.0
E00059869,977,20.0
E00059869,9475,20.0
E00059869,10548,20.0
E00059869,11994,3.0
E00059870,977,18.0
E00059870,9475,18.0
E00059870,10548,18.0
E00059870,11994,11.0
E00059868,977,17.0
E00059868,9475,17.0
E00059868,10548,17.0
E00059868,11994,15.0
E00168734,977,18.0
E00168734,9475,18.0
E00168734,10548,18.0
E00168734,11994,16.0
E00059872,977,3.0
E00059872,9475,3.0
E00059872,10548,3.0
E00059872,11994,25.0
E00059873,977,6.0
E00059873,9475,6.0
E00059873,10548,6.0
E00059873,11994,18.0
E00059846,977,6.0
E00059846,9475,6.0
E00059846,10548,6.0
E00059846,11994,24.0
E00059865,977,7.0
E00059865,9475,7.0
E00059865,10548,7.0
E00059865,11994,20.0
E00059867,977,30.0
E00059867,9475,30.0
E00059867,10548,30.0
E00059866,977,30.0
E00059866,9475,30.0
E00059866,10548,30.0
E00059864,977,18.0
E00059864,9475,18.0
E00059864,10548,18.0
E00059864,11994,29.0
E00059862,977,17.0
E00059862,9475,17.0
E00059862,10548,17.0
E00059862,11994,24.0
E00168736,977,16.0
E00168736,9475,16.0
E00168736,10548,16.0
E00168736,11994,20.0
E00059860,977,18.0
E00059860,9475,18.0
E00059860,10548,18.0
E00059860,11994,27.0
E00059858,977,30.0
E00059858,9475,30.0
E00059858,10548,30.0
E00168735,977,20.0
E00168735,9475,20.0
E00168735,10548,20.0
E00168735,11994,24.0
E00059857,977,18.0
E00059857,9475,18.0
E00059857,10548,18.0
E00059857,11994,25.0
E00059854,977,28.0
E00059854,9475,28.0
E00059854,10548,28.0
E00059856,977,24.0
E00059856,9475,24.0
E00059856,10548,24.0
E00059851,977,21.0
E00059851,9475,21.0
E00059851,10548,21.0
E00059851,11994,28.0
E00059843,977,22.0
E00059843,9475,22.0
E00059843,10548,22.0
E00059762,4574,28.0
E00059759,4574,25.0
E00059751,4574,28.0
E00059751,10662,29.0
E00059755,4574,27.0
E00059756,4574,17.0
E00059738,10662,25.0
E00059737,10662,25.0
E00059706,10662,28.0
E00059753,4574,21.0
E00059753,10662,26.0
E00059743,4574,18.0
E00059743,10662,27.0
E00059746,4574,27.0
E00059746,10662,26.0
E00059752,4574,12.0
E00059752,10662,27.0
E00059749,4574,11.0
E00059749,10662,25.0
E00059748,4574,9.0
E00059748,10662,26.0
E00059745,4574,14.0
E00059745,10662,23.0
E00059744,4574,7.0
E00059744,10662,25.0
E00059741,4574,19.0
E00059741,10662,21.0
E00059742,4574,11.0
E00059742,10662,28.0
E00056097,7709,19.0
E00056118,7709,21.0
E00056116,7709,25.0
E00056113,7709,20.0
E00056111,7709,24.0
E00056115,7709,25.0
E00056114,4732,29.0
E00056114,7709,25.0
E00056112,4732,23.0
E00056112,7709,29.0
E00056109,7709,24.0
E00056110,7709,28.0
E00056067,4732,7.0
E00056068,4732,19.0
E00056044,4732,16.0
E00056044,7709,26.0
E00056060,4732,18.0
E00056060,7709,28.0
E00056043,4732,9.0
E00056059,4732,24.0
E00056059,10575,25.0
E00056061,4732,21.0
E00056061,10575,20.0
E00055517,4732,14.0
E00056058,4732,19.0
E00056055,4732,24.0
E00056055,10575,19.0
E00056075,4732,20.0
E00178667,4732,20.0
E00178671,10575,26.0
E00056063,4732,24.0
E00056063,10575,22.0
E00178661,4732,30.0
E00178661,10575,20.0
E00178683,10575,21.0
E00056053,4732,28.0
E00056053,10575,8.0
E00178687,10575,11.0
E00175532,4732,18.0
E00175532,11011,26.0
E00056057,4732,20.0
E00056056,3906,29.0
E00056056,4732,24.0
E00056056,10136,29.0
E00055516,4732,23.0
E00055516,10575,14.0
