from_id,to_id,travel_time
E00059837,non_FS_56,8.0
E00059455,non_FS_56,9.0
E00059456,non_FS_56,2.0
E00059836,non_FS_56,11.0
E00059835,non_FS_56,12.0
E00059829,non_FS_56,5.0
E00059454,non_FS_56,7.0
E00059453,non_FS_56,4.0
E00059834,non_FS_56,19.0
E00059830,non_FS_56,10.0
E00060048,non_FS_61,29.0
E00060088,non_FS_61,27.0
E00168729,non_FS_61,25.0
E00168726,non_FS_61,22.0
E00059833,non_FS_56,18.0
E00059452,non_FS_56,7.0
E00059451,non_FS_56,9.0
E00059831,non_FS_56,12.0
E00059448,non_FS_56,24.0
E00059832,non_FS_56,20.0
E00059838,non_FS_56,13.0
E00059449,non_FS_56,15.0
E00059446,non_FS_56,23.0
E00168751,non_FS_56,18.0
E00059440,non_FS_56,14.0
E00059450,non_FS_56,11.0
E00059445,non_FS_56,18.0
E00059438,non_FS_56,21.0
E00059441,non_FS_56,18.0
E00059442,non_FS_56,20.0
E00059447,non_FS_56,20.0
E00059439,non_FS_56,18.0
E00059437,non_FS_56,27.0
E00060057,non_FS_61,28.0
E00059537,non_FS_59,28.0
E00059537,non_FS_60,30.0
E00059751,non_FS_57,23.0
E00059751,non_FS_58,24.0
E00059755,non_FS_57,27.0
E00059755,non_FS_58,28.0
E00059756,non_FS_57,26.0
E00059756,non_FS_58,28.0
E00059750,non_FS_57,25.0
E00059750,non_FS_58,26.0
E00059754,non_FS_57,28.0
E00059747,non_FS_57,23.0
E00059747,non_FS_58,26.0
E00059738,non_FS_57,18.0
E00059738,non_FS_58,22.0
E00059708,non_FS_57,22.0
E00059708,non_FS_58,27.0
E00059737,non_FS_57,18.0
E00059737,non_FS_58,21.0
E00059706,non_FS_57,20.0
E00059706,non_FS_58,25.0
E00059753,non_FS_57,20.0
E00059753,non_FS_58,22.0
E00059743,non_FS_57,21.0
E00059743,non_FS_58,23.0
E00059746,non_FS_57,20.0
E00059746,non_FS_58,22.0
E00059752,non_FS_57,26.0
E00059752,non_FS_58,26.0
E00059749,non_FS_57,27.0
E00059749,non_FS_58,25.0
E00059748,non_FS_57,28.0
E00059748,non_FS_58,26.0
E00059745,non_FS_57,19.0
E00059745,non_FS_58,20.0
E00059744,non_FS_57,29.0
E00059744,non_FS_58,24.0
E00059741,non_FS_57,15.0
E00059741,non_FS_58,17.0
E00059742,non_FS_58,28.0
E00056114,non_FS_7,29.0
E00056112,non_FS_7,23.0
E00056067,non_FS_7,7.0
E00056068,non_FS_7,19.0
E00056044,non_FS_7,16.0
E00056060,non_FS_7,18.0
E00056043,non_FS_7,9.0
E00056059,non_FS_7,24.0
E00056061,non_FS_7,21.0
E00055517,non_FS_7,14.0
E00056058,non_FS_7,19.0
E00056055,non_FS_7,24.0
E00056075,non_FS_7,20.0
E00056075,non_FS_8,28.0
E00059637,non_FS_8,7.0
E00178667,non_FS_7,20.0
E00059638,non_FS_8,5.0
E00178671,non_FS_8,22.0
E00056063,non_FS_7,24.0
E00178661,non_FS_7,30.0
E00178683,non_FS_8,17.0
E00056053,non_FS_7,28.0
E00056053,non_FS_8,28.0
E00178687,non_FS_8,22.0
E00056256,non_FS_10,24.0
E00056215,non_FS_10,30.0
E00056216,non_FS_10,25.0
E00175532,non_FS_7,18.0
E00056057,non_FS_7,20.0
E00056056,non_FS_7,24.0
E00055516,non_FS_7,23.0
E00175544,non_FS_7,19.0
E00055519,non_FS_7,25.0
E00055518,non_FS_7,29.0
E00175531,non_FS_7,24.0
E00055515,non_FS_7,27.0
E00055556,non_FS_7,23.0
E00056107,non_FS_7,26.0
E00056259,non_FS_10,28.0
E00055611,non_FS_10,28.0
E00056252,non_FS_10,19.0
E00055561,non_FS_7,28.0
E00055557,non_FS_7,28.0
E00055563,non_FS_7,25.0
E00055514,non_FS_7,25.0
E00055560,non_FS_7,28.0
E00055560,non_FS_11,28.0
E00055558,non_FS_7,30.0
E00055546,non_FS_7,29.0
E00055546,non_FS_11,29.0
E00056214,non_FS_10,24.0
E00178646,non_FS_10,24.0
E00056257,non_FS_10,18.0
E00056260,non_FS_10,22.0
E00056261,non_FS_10,16.0
E00178645,non_FS_10,28.0
E00056258,non_FS_10,16.0
E00178647,non_FS_10,25.0
E00056251,non_FS_10,14.0
E00056670,non_FS_10,13.0
E00056249,non_FS_10,26.0
E00178716,non_FS_10,12.0
E00056253,non_FS_10,23.0
E00055606,non_FS_11,28.0
E00055606,non_FS_12,29.0
E00055605,non_FS_11,23.0
E00055605,non_FS_12,24.0
E00055604,non_FS_12,29.0
E00055555,non_FS_7,29.0
E00055555,non_FS_11,29.0
E00055550,non_FS_7,29.0
E00055550,non_FS_11,29.0
E00055548,non_FS_11,24.0
E00055548,non_FS_12,25.0
E00055553,non_FS_11,28.0
E00055551,non_FS_11,25.0
E00055551,non_FS_12,27.0
E00055549,non_FS_11,22.0
E00055549,non_FS_12,23.0
E00055552,non_FS_11,28.0
E00055547,non_FS_11,19.0
E00055547,non_FS_12,20.0
E00055544,non_FS_11,19.0
E00055544,non_FS_12,21.0
E00055513,non_FS_11,18.0
E00055513,non_FS_12,20.0
E00059652,non_FS_8,30.0
E00059655,non_FS_8,28.0
E00059651,non_FS_8,20.0
E00056092,non_FS_8,26.0
E00056091,non_FS_7,27.0
E00178658,non_FS_7,30.0
E00178658,non_FS_8,27.0
E00178684,non_FS_8,25.0
E00056088,non_FS_8,22.0
E00059648,non_FS_8,17.0
E00056090,non_FS_8,18.0
E00180003,non_FS_8,28.0
E00180117,non_FS_8,26.0
E00059654,non_FS_8,24.0
E00180051,non_FS_8,27.0
E00059625,non_FS_8,27.0
E00059650,non_FS_8,21.0
E00059624,non_FS_8,24.0
E00059642,non_FS_8,19.0
E00059649,non_FS_8,21.0
E00059647,non_FS_8,14.0
E00059645,non_FS_8,13.0
E00059643,non_FS_8,10.0
E00059644,non_FS_8,19.0
E00059641,non_FS_8,15.0
E00059640,non_FS_8,17.0
E00059639,non_FS_8,8.0
E00059623,non_FS_8,11.0
E00059636,non_FS_8,9.0
E00059635,non_FS_8,13.0
E00059634,non_FS_8,10.0
E00058179,non_FS_15,22.0
E00058179,non_FS_16,24.0
E00058193,non_FS_15,17.0
E00058193,non_FS_16,18.0
E00058190,non_FS_15,19.0
E00058190,non_FS_16,20.0
E00056248,non_FS_10,23.0
E00055603,non_FS_11,27.0
E00055603,non_FS_12,27.0
E00178703,non_FS_10,8.0
E00056254,non_FS_10,17.0
E00178696,non_FS_10,30.0
E00056208,non_FS_10,14.0
E00055602,non_FS_11,20.0
E00055602,non_FS_12,21.0
E00056244,non_FS_10,7.0
E00055600,non_FS_11,24.0
E00055600,non_FS_12,24.0
E00056245,non_FS_10,21.0
E00055597,non_FS_10,26.0
E00055599,non_FS_11,20.0
E00055599,non_FS_12,21.0
E00056213,non_FS_10,21.0
E00056246,non_FS_10,12.0
E00055598,non_FS_11,20.0
E00055598,non_FS_12,21.0
E00055596,non_FS_10,28.0
E00055596,non_FS_12,29.0
E00056240,non_FS_10,18.0
E00055593,non_FS_11,17.0
E00055593,non_FS_12,18.0
E00056241,non_FS_10,8.0
E00055594,non_FS_11,14.0
E00055594,non_FS_12,15.0
E00056050,non_FS_8,22.0
E00056052,non_FS_8,27.0
E00056048,non_FS_8,23.0
E00056046,non_FS_8,25.0
E00056047,non_FS_8,26.0
E00056051,non_FS_8,29.0
E00055512,non_FS_11,17.0
E00055512,non_FS_12,19.0
E00055545,non_FS_11,19.0
E00055545,non_FS_12,19.0
E00055543,non_FS_11,20.0
E00055543,non_FS_12,23.0
E00055542,non_FS_11,19.0
E00055542,non_FS_12,22.0
E00055511,non_FS_11,15.0
E00055511,non_FS_12,16.0
E00055540,non_FS_11,14.0
E00055540,non_FS_12,15.0
E00055510,non_FS_11,14.0
E00055510,non_FS_12,17.0
E00055535,non_FS_11,10.0
E00055535,non_FS_12,12.0
E00056242,non_FS_10,10.0
E00055595,non_FS_11,21.0
E00055595,non_FS_12,21.0
E00055566,non_FS_11,27.0
E00055566,non_FS_12,24.0
E00056239,non_FS_10,24.0
E00056238,non_FS_10,11.0
E00055592,non_FS_10,30.0
E00055592,non_FS_11,29.0
E00055592,non_FS_12,26.0
E00056243,non_FS_10,19.0
E00055590,non_FS_11,13.0
E00055590,non_FS_12,13.0
E00055589,non_FS_11,9.0
E00055589,non_FS_12,10.0
E00055588,non_FS_11,17.0
E00055588,non_FS_12,14.0
E00055591,non_FS_11,20.0
E00055591,non_FS_12,18.0
E00178640,non_FS_10,28.0
E00056212,non_FS_10,21.0
E00055580,non_FS_11,21.0
E00055580,non_FS_12,18.0
E00056236,non_FS_10,19.0
E00056233,non_FS_10,15.0
E00055586,non_FS_11,14.0
E00055586,non_FS_12,11.0
E00055579,non_FS_11,11.0
E00055579,non_FS_12,8.0
E00056211,non_FS_10,24.0
E00055583,non_FS_11,26.0
E00055583,non_FS_12,23.0
E00056699,non_FS_10,14.0
E00178649,non_FS_10,13.0
E00056655,non_FS_10,29.0
E00056655,non_FS_13,28.0
E00056664,non_FS_10,27.0
E00056658,non_FS_10,24.0
E00056234,non_FS_10,14.0
E00056648,non_FS_10,17.0
E00056698,non_FS_10,19.0
E00056690,non_FS_10,19.0
E00178650,non_FS_10,19.0
E00055537,non_FS_11,23.0
