,nc_walk_15,nc_walk_30,nc_transit_15,nc_transit_30,fnv_walk_15,na_walk_15,unhealthy_walk_15,carb_walk_15,protien_walk_15,dairy_walk_15,oil_walk_15,fnv_walk_30,na_walk_30,unhealthy_walk_30,carb_walk_30,protien_walk_30,dairy_walk_30,oil_walk_30,fnv_transit_15,na_transit_15,unhealthy_transit_15,carb_transit_15,protien_transit_15,dairy_transit_15,oil_transit_15,fnv_transit_30,na_transit_30,unhealthy_transit_30,carb_transit_30,protien_transit_30,dairy_transit_30,oil_transit_30,combined,pp_dec_domain_supermarket_proximity,pp_dec_domain_supermarket_accessibility,pp_dec_domain_ecommerce_access,pp_dec_domain_socio_demographic,pp_dec_domain_nonsupermarket_proximity,pp_dec_domain_food_for_families,pp_dec_domain_fuel_poverty,pp_dec_combined
nc_walk_15,1.0,0.8306946317395479,0.9812978994416875,0.7344600556395462,0.9245371429339261,0.7325427718598226,0.9182159172489701,0.8518220991838391,0.8641407095372874,0.9003428159387754,0.12776322385298342,0.8049449019179937,0.6582469464353176,0.7975604029944939,0.7688781342902378,0.759263602633605,0.7647120547842009,0.0769320385038672,0.9232184734946638,0.7466345746477171,0.9144823132915904,0.856050340521371,0.862159088501988,0.8972058197157189,0.12603461778982236,0.7385021639475705,0.6381626910028235,0.7343549463320097,0.722175773339446,0.7214395418630258,0.7332163075306366,0.06323852126851937,-0.05626277014942732,0.3358908817953337,0.2936264880148675,-0.2032039580570946,-0.4182721819242082,0.27449425560337637,-0.20403863758366095,-0.35945188434739916,-0.06003061867347529
nc_walk_30,0.8306946317395479,1.0,0.8549448385342037,0.9070439504849808,0.7341939207558017,0.591231090531787,0.7161845573244099,0.6847698877506455,0.6566159088887089,0.7242506033255118,0.0446003261800429,0.9443495655611341,0.7949648188156935,0.9334863867229554,0.9163789293797204,0.8796206816523547,0.8834239412854956,0.08967398663800472,0.7694453949704328,0.6285455023328411,0.7497298272318691,0.7223228504714565,0.6879070096245202,0.7550783241929604,0.04851672449935206,0.9049430977132304,0.8023700596140663,0.8992070507527651,0.8860545185236789,0.8778000936459811,0.8910638071536312,0.08347546809714022,-0.012252177189346333,0.3932794910565134,0.3572284073579784,-0.14347916397465502,-0.4296030222178056,0.33745361596552426,-0.24798291607797843,-0.37102008310767876,-0.01702165543383556
nc_transit_15,0.9812978994416875,0.8549448385342037,1.0,0.7744407314457101,0.9000944131858208,0.7153841235157328,0.8927197717809892,0.8310168645884518,0.8398228602507424,0.8819205600846179,0.11247552078117964,0.8148081724902134,0.6654087065731418,0.8083022450731178,0.7793042269092966,0.7672316410471914,0.7704779136837309,0.06653620902812613,0.933789879279173,0.7560797481117486,0.9251013233660537,0.8695980355664978,0.8715374137706682,0.9136674091326972,0.11467833090343467,0.7707666397273074,0.6654485006658151,0.7664186177544225,0.7563770624445003,0.751959267382512,0.7611039852003156,0.052960735968224225,-0.03901915865880581,0.34279030657527343,0.30403511772606484,-0.18841467488407387,-0.41082370322607586,0.27736746130792767,-0.19110113380926302,-0.3508876256595666,-0.042705467729579866
nc_transit_30,0.7344600556395462,0.9070439504849808,0.7744407314457101,1.0,0.6292094696351267,0.506906048139119,0.6097886874920215,0.6147229169106682,0.5639546984357684,0.6323912134120588,0.024595957844982932,0.8191999132969243,0.6823413775524996,0.8053545072127102,0.814642824152351,0.754538696228363,0.7589084615076915,0.0531581931265537,0.6800432716108459,0.5548313604032395,0.6585374068289613,0.6654836013146914,0.6063813841736007,0.6777074388780706,0.027773931579300214,0.9684865418182558,0.8508089274284624,0.9620733914377959,0.9489373672311414,0.9322338468720451,0.9451957261957401,0.07994170842087873,0.017165124911547164,0.3991763654486874,0.3579288064516021,-0.0866307998948555,-0.40097329792783476,0.30057186326434787,-0.1843205945622222,-0.31714818747451706,0.010842561944024994
fnv_walk_15,0.9245371429339261,0.7341939207558017,0.9000944131858208,0.6292094696351267,1.0,0.7877458111369079,0.9829715193344153,0.9585902885412912,0.9327856696380368,0.9748927095288036,0.15854815984066697,0.779984524163386,0.637592911827532,0.7757213670913273,0.7666019256590085,0.7423961041569207,0.7331845225290637,0.1251440056888789,0.9803361549398982,0.7877161943583159,0.9626046301581133,0.9427631350010032,0.9156985096565047,0.9533431929386041,0.15713446049209584,0.6771272259289377,0.587762626625852,0.6756514621947499,0.6748857939696522,0.6692131946738712,0.6640172487722066,0.10631618423016641,-0.07795827227084674,0.3019411615025632,0.26173945059235126,-0.20150502239433526,-0.41462184044059536,0.2691702293820395,-0.21742221991138055,-0.37705213160678147,-0.08259289615408642
na_walk_15,0.7325427718598226,0.591231090531787,0.7153841235157328,0.506906048139119,0.7877458111369079,1.0,0.7986924202548537,0.7893689284926659,0.7162260067146801,0.7817261982840197,0.1897172812269063,0.6202864621083969,0.689650510286578,0.6305636750717881,0.6313229414338188,0.5836906694453603,0.576157690670544,0.15375858163245534,0.7739109443118743,0.9867307657737825,0.7824488023982136,0.7765307216315424,0.7047635646867535,0.7652069274190461,0.18919921886721208,0.5443111472021398,0.5753923839606222,0.5498156000482394,0.5580258825124674,0.532212562999224,0.5287827552647698,0.11812965469115883,-0.00788348297208261,0.3098386120389756,0.2229847057338893,-0.1463081265985397,-0.36266445557880145,0.305369322318594,-0.19995859830765436,-0.34267968792765735,-0.014999488890719009
unhealthy_walk_15,0.9182159172489701,0.7161845573244099,0.8927197717809892,0.6097886874920215,0.9829715193344153,0.7986924202548537,1.0,0.950280327860598,0.9447039199158094,0.9641121018363532,0.25012703270604686,0.7641130767027956,0.6409469005606427,0.7764396144998748,0.7530467795218021,0.7411212333987918,0.7252777273723691,0.18732604078262138,0.9651272288192151,0.7982735499159896,0.979261762361585,0.93559441083477,0.9283226655845068,0.9442022107734082,0.24772253290329624,0.6583942816050712,0.5827594592650038,0.6661465421715356,0.6577760174776162,0.6562238409783988,0.6492588263928348,0.14707009213636807,-0.06774498164249378,0.3043106886795758,0.24891779908344397,-0.2054160164917523,-0.41349061547191224,0.2835123263319527,-0.20652357983754083,-0.37606875160040115,-0.07236067880921347
carb_walk_15,0.8518220991838391,0.6847698877506455,0.8310168645884518,0.6147229169106682,0.9585902885412912,0.7893689284926659,0.950280327860598,1.0,0.9155926604882315,0.9370193764200516,0.17712400007113882,0.737527141988254,0.6174050502097284,0.737886539367013,0.7670074860784046,0.7088732505078963,0.6842558340183578,0.13749112177416162,0.9396404604354568,0.7865429416587814,0.9302654521445943,0.9798335455520035,0.8976369501922953,0.9158199313014184,0.17594060814673151,0.6653943027988372,0.5867808681763964,0.6650331836745363,0.6875827913546387,0.656777384707355,0.6468025920220157,0.1037753564167808,-0.03872600474440957,0.2898794641484157,0.2730400890028196,-0.13808675739345264,-0.3858883762544832,0.27282705938672935,-0.21044537739935745,-0.3567360420093612,-0.045285419052721126
protien_walk_15,0.8641407095372874,0.6566159088887089,0.8398228602507424,0.5639546984357684,0.9327856696380368,0.7162260067146801,0.9447039199158094,0.9155926604882315,1.0,0.9144530003351526,0.1902137842962926,0.7141681295531511,0.5868262151337034,0.7234069662672278,0.7113705124000859,0.7396507524358198,0.6883189606552116,0.1186836030143297,0.9174931164566718,0.7196050351550036,0.9275200707952308,0.9027117122876827,0.9797301762477372,0.8978997632643911,0.18916979450089041,0.6162658905691212,0.5404800555021846,0.6199956461909041,0.6187661254451864,0.639330882390118,0.6146009314033436,0.09024812855433141,-0.031243604351528356,0.28539033300163186,0.23241902618845187,-0.16893690714986312,-0.3763303387394095,0.2692335298044718,-0.16755533027682704,-0.32471818442122424,-0.034712726282613175
dairy_walk_15,0.9003428159387754,0.7242506033255118,0.8819205600846179,0.6323912134120588,0.9748927095288036,0.7817261982840197,0.9641121018363532,0.9370193764200516,0.9144530003351526,1.0,0.190885889501067,0.7681854569019863,0.6337959530510014,0.76796969926364,0.760547059270218,0.738212230938532,0.7366311832199166,0.15134901803953388,0.9602092484742113,0.7838284014637171,0.9484493919310512,0.9257331917635195,0.9030580031018041,0.9793173187369233,0.18886647371026913,0.6784848307662059,0.5903843580632795,0.6784167425323203,0.6829549011935067,0.6738816823034013,0.6701464281285717,0.12468582529298568,-0.06779862965093073,0.29111054730163144,0.25565191236477597,-0.19785165972353055,-0.4033035266866168,0.26904053027073377,-0.20664287996538636,-0.3572224469021457,-0.07339389233321118
